Wavelength (nm)	Q31 abs e
350.00	14144
351.00	13957
352.00	13706
353.00	13478
354.00	13255
355.00	13037
356.00	12831
357.00	12641
358.00	12518
359.00	12405
360.00	12354
361.00	12329
362.00	12348
363.00	12423
364.00	12483
365.00	12625
366.00	12751
367.00	12936
368.00	13144
369.00	13321
370.00	13546
371.00	13811
372.00	14028
373.00	14324
374.00	14551
375.00	14887
376.00	15171
377.00	15575
378.00	15932
379.00	16318
380.00	16721
381.00	17193
382.00	17670
383.00	18211
384.00	18799
385.00	19485
386.00	20222
387.00	21021
388.00	21940
389.00	22919
390.00	24042
391.00	25243
392.00	26593
393.00	28040
394.00	29609
395.00	31289
396.00	33107
397.00	35073
398.00	37123
399.00	39280
400.00	41529
401.00	43956
402.00	46525
403.00	49296
404.00	52231
405.00	55386
406.00	58808
407.00	62534
408.00	66617
409.00	71126
410.00	76171
411.00	81705
412.00	87638
413.00	94063
414.00	1.0103e+05
415.00	1.0847e+05
416.00	1.1644e+05
417.00	1.2479e+05
418.00	1.3346e+05
419.00	1.4241e+05
420.00	1.5141e+05
421.00	1.6030e+05
422.00	1.6893e+05
423.00	1.7708e+05
424.00	1.8425e+05
425.00	1.9037e+05
426.00	1.9519e+05
427.00	1.9838e+05
428.00	2.0000e+05
429.00	1.9972e+05
430.00	1.9771e+05
431.00	1.9379e+05
432.00	1.8816e+05
433.00	1.8116e+05
434.00	1.7291e+05
435.00	1.6338e+05
436.00	1.5311e+05
437.00	1.4238e+05
438.00	1.3138e+05
439.00	1.2025e+05
440.00	1.0927e+05
441.00	98730
442.00	88695
443.00	79280
444.00	70416
445.00	62308
446.00	54863
447.00	48112
448.00	41970
449.00	36551
450.00	31744
451.00	27538
452.00	23874
453.00	20683
454.00	17938
455.00	15581
456.00	13510
457.00	11836
458.00	10351
459.00	9091.1
460.00	8033.9
461.00	7151.1
462.00	6363.4
463.00	5731.0
464.00	5185.8
465.00	4729.4
466.00	4322.1
467.00	4043.1
468.00	3724.5
469.00	3526.4
470.00	3323.6
471.00	3188.8
472.00	3041.4
473.00	2944.8
474.00	2819.6
475.00	2756.2
476.00	2670.6
477.00	2605.6
478.00	2551.7
479.00	2542.2
480.00	2469.3
481.00	2483.6
482.00	2486.7
483.00	2520.0
484.00	2551.7
485.00	2608.8
486.00	2662.7
487.00	2732.4
488.00	2803.7
489.00	2870.3
490.00	2962.2
491.00	3030.4
492.00	3087.4
493.00	3149.2
494.00	3214.2
495.00	3272.8
496.00	3318.8
497.00	3348.9
498.00	3388.5
499.00	3393.3
500.00	3393.3
501.00	3401.2
502.00	3388.5
503.00	3402.8
504.00	3363.2
505.00	3348.9
506.00	3348.9
507.00	3333.1
508.00	3336.2
509.00	3329.9
510.00	3341.0
511.00	3369.5
512.00	3415.5
513.00	3469.4
514.00	3570.8
515.00	3699.2
516.00	3868.8
517.00	4073.2
518.00	4342.7
519.00	4648.5
520.00	5079.6
521.00	5555.1
522.00	6108.2
523.00	6735.9
524.00	7469.7
525.00	8293.8
526.00	9164.0
527.00	10090
528.00	11071
529.00	12094
530.00	13088
531.00	14084
532.00	15046
533.00	15958
534.00	16789
535.00	17524
536.00	18147
537.00	18618
538.00	18944
539.00	19095
540.00	19041
541.00	18807
542.00	18394
543.00	17830
544.00	17133
545.00	16361
546.00	15486
547.00	14600
548.00	13640
549.00	12749
550.00	11869
551.00	11050
552.00	10240
553.00	9534.8
554.00	8912.0
555.00	8358.8
556.00	7910.3
557.00	7577.5
558.00	7325.5
559.00	7235.1
560.00	7192.3
561.00	7339.7
562.00	7618.7
563.00	7973.7
564.00	8439.7
565.00	9043.5
566.00	9713.9
567.00	10403
568.00	11132
569.00	11816
570.00	12451
571.00	12985
572.00	13391
573.00	13668
574.00	13765
575.00	13697
576.00	13464
577.00	13099
578.00	12606
579.00	11998
580.00	11323
581.00	10578
582.00	9758.3
583.00	8965.8
584.00	8138.5
585.00	7352.4
586.00	6601.2
587.00	5887.9
588.00	5231.8
589.00	4623.2
590.00	4089.1
591.00	3574.0
592.00	3109.6
593.00	2673.7
594.00	2340.9
595.00	2011.3
596.00	1735.5
597.00	1493.0
598.00	1271.1
599.00	1107.9
600.00	933.51
601.00	794.04
602.00	706.87
603.00	599.10
604.00	534.12
605.00	465.96
606.00	405.74
607.00	377.21
608.00	353.44
609.00	309.06
610.00	291.62
611.00	283.70
612.00	242.49
613.00	259.93
614.00	215.55
615.00	226.64
616.00	255.17
617.00	229.81
618.00	255.17
619.00	253.59
620.00	253.59
621.00	264.68
622.00	255.17
623.00	264.68
624.00	294.79
625.00	274.19
626.00	285.28
627.00	269.43
628.00	293.21
629.00	275.77
630.00	280.53
631.00	286.87
632.00	267.85
633.00	237.74
634.00	266.27
635.00	250.42
636.00	234.57
637.00	228.23
638.00	239.32
639.00	206.04
640.00	220.30
641.00	188.60
642.00	156.91
643.00	155.32
644.00	136.30
645.00	139.47
646.00	126.79
647.00	115.70
648.00	95.095
649.00	85.585
650.00	90.340
651.00	68.151
652.00	60.227
653.00	60.227
654.00	41.208
655.00	36.453
656.00	38.038
657.00	33.283
658.00	38.038
659.00	23.774
660.00	15.849
661.00	9.5095
662.00	31.698
663.00	7.9246
664.00	4.7547
665.00	4.0038e-07
666.00	1.5849
667.00	12.679
668.00	23.774
669.00	7.9246
670.00	-6.3396
671.00	-1.5849
672.00	3.1698
673.00	11.094
674.00	7.9246
675.00	6.3396
676.00	4.0038e-07
677.00	11.094
678.00	7.9246
679.00	1.5849
680.00	3.1698
681.00	9.5095
682.00	-4.7547
683.00	6.3396
684.00	17.434
685.00	25.359
686.00	25.359
687.00	14.264
688.00	9.5095
689.00	11.094
690.00	14.264
691.00	30.113
692.00	19.019
693.00	7.9246
694.00	6.3396
695.00	17.434
696.00	-1.5849
697.00	20.604
698.00	4.7547
699.00	20.604
700.00	15.849
701.00	22.189
702.00	-1.5849
703.00	31.698
704.00	12.679
705.00	11.094
706.00	31.698
707.00	12.679
708.00	4.0038e-07
709.00	19.019
710.00	17.434
711.00	-6.3396
712.00	6.3396
713.00	20.604
714.00	-3.1698
715.00	19.019
716.00	-9.5095
717.00	3.1698
718.00	-4.7547
719.00	7.9246
720.00	6.3396
721.00	-1.5849
722.00	17.434
723.00	14.264
724.00	39.623
725.00	7.9246
726.00	7.9246
727.00	1.5849
728.00	12.679
729.00	25.359
730.00	9.5095
731.00	3.1698
732.00	7.9246
733.00	12.679
734.00	14.264
735.00	9.5095
736.00	14.264
737.00	26.943
738.00	17.434
739.00	15.849
740.00	19.019
741.00	6.3396
742.00	19.019
743.00	19.019
744.00	6.3396
745.00	15.849
746.00	19.019
747.00	17.434
748.00	20.604
749.00	4.0038e-07
750.00	4.7547
751.00	25.359
752.00	9.5095
753.00	6.3396
754.00	39.623
755.00	19.019
756.00	23.774
757.00	14.264
758.00	26.943
759.00	23.774
760.00	49.132
761.00	34.868
762.00	22.189
763.00	34.868
764.00	38.038
765.00	30.113
766.00	30.113
767.00	14.264
768.00	19.019
769.00	30.113
770.00	4.0038e-07
771.00	23.774
772.00	23.774
773.00	34.868
774.00	17.434
775.00	53.887
776.00	41.208
777.00	34.868
778.00	28.528
779.00	36.453
780.00	33.283
781.00	38.038
782.00	36.453
783.00	52.302
784.00	44.378
785.00	47.547
786.00	36.453
787.00	34.868
788.00	39.623
789.00	49.132
790.00	33.283
791.00	36.453
792.00	34.868
793.00	39.623
794.00	41.208
795.00	50.717
796.00	41.208
797.00	38.038
798.00	33.283
799.00	41.208
