Wavelength (nm)	N03 abs e
200.00	41693
201.00	39328
202.00	40033
203.00	41465
204.00	43485
205.00	45943
206.00	48349
207.00	50855
208.00	53195
209.00	55085
210.00	56547
211.00	57272
212.00	57340
213.00	56881
214.00	56186
215.00	55251
216.00	54209
217.00	53084
218.00	51823
219.00	50419
220.00	48843
221.00	47180
222.00	45386
223.00	43614
224.00	41887
225.00	40282
226.00	38779
227.00	37463
228.00	36356
229.00	35484
230.00	34835
231.00	34505
232.00	34462
233.00	34688
234.00	35144
235.00	35741
236.00	36416
237.00	37122
238.00	37738
239.00	38214
240.00	38516
241.00	38485
242.00	38011
243.00	36977
244.00	35389
245.00	33422
246.00	31223
247.00	29055
248.00	27077
249.00	25335
250.00	23822
251.00	22546
252.00	21487
253.00	20626
254.00	19993
255.00	19545
256.00	19288
257.00	19111
258.00	18985
259.00	18778
260.00	18459
261.00	17952
262.00	17268
263.00	16457
264.00	15573
265.00	14682
266.00	13843
267.00	13069
268.00	12409
269.00	11811
270.00	11325
271.00	10907
272.00	10568
273.00	10292
274.00	10075
275.00	9889.4
276.00	9752.8
277.00	9648.7
278.00	9557.5
279.00	9486.4
280.00	9432.5
281.00	9405.1
282.00	9375.1
283.00	9360.2
284.00	9346.7
285.00	9306.6
286.00	9243.4
287.00	9149.5
288.00	9043.1
289.00	8902.5
290.00	8720.1
291.00	8526.1
292.00	8293.7
293.00	8067.9
294.00	7821.0
295.00	7587.0
296.00	7353.6
297.00	7134.4
298.00	6906.3
299.00	6706.2
300.00	6514.9
301.00	6339.1
302.00	6185.5
303.00	6040.4
304.00	5908.1
305.00	5788.6
306.00	5682.3
307.00	5585.2
308.00	5500.9
309.00	5399.9
310.00	5314.0
311.00	5255.3
312.00	5224.9
313.00	5189.8
314.00	5177.6
315.00	5195.3
316.00	5255.1
317.00	5342.4
318.00	5484.1
319.00	5622.9
320.00	5786.3
321.00	5944.6
322.00	6110.5
323.00	6202.4
324.00	6251.4
325.00	6215.6
326.00	6105.3
327.00	5907.2
328.00	5637.5
329.00	5327.0
330.00	4992.5
331.00	4659.4
332.00	4342.7
333.00	4055.8
334.00	3798.4
335.00	3575.3
336.00	3368.4
337.00	3197.4
338.00	3062.4
339.00	2938.8
340.00	2843.3
341.00	2761.8
342.00	2675.9
343.00	2637.7
344.00	2593.1
345.00	2528.2
346.00	2490.3
347.00	2460.3
348.00	2435.1
349.00	2399.0
350.00	2364.7
351.00	2326.1
352.00	2303.9
353.00	2271.0
354.00	2227.5
355.00	2184.2
356.00	2139.1
357.00	2086.0
358.00	2043.5
359.00	2010.3
360.00	1955.1
361.00	1894.9
362.00	1854.2
363.00	1788.1
364.00	1745.0
365.00	1689.9
366.00	1627.2
367.00	1573.7
368.00	1565.0
369.00	1502.0
370.00	1490.6
371.00	1465.6
372.00	1434.0
373.00	1400.6
374.00	1397.3
375.00	1368.3
376.00	1382.4
377.00	1356.4
378.00	1347.1
379.00	1347.8
380.00	1359.5
381.00	1335.2
382.00	1332.9
383.00	1344.8
384.00	1346.5
385.00	1360.8
386.00	1396.8
387.00	1384.4
388.00	1398.9
389.00	1372.3
390.00	1410.4
391.00	1420.6
392.00	1392.3
393.00	1396.9
394.00	1402.7
395.00	1418.4
396.00	1408.4
397.00	1400.7
398.00	1416.3
399.00	1402.9
400.00	1390.4
401.00	1390.9
402.00	1404.2
403.00	1394.0
404.00	1407.0
405.00	1422.7
406.00	1452.9
407.00	1459.8
408.00	1487.6
409.00	1517.5
410.00	1535.4
411.00	1556.1
412.00	1605.7
413.00	1609.9
414.00	1640.8
415.00	1687.0
416.00	1748.6
417.00	1776.7
418.00	1825.2
419.00	1899.5
420.00	1956.5
421.00	2019.3
422.00	2082.3
423.00	2168.6
424.00	2238.9
425.00	2314.3
426.00	2435.2
427.00	2568.4
428.00	2650.5
429.00	2793.1
430.00	2923.1
431.00	3074.7
432.00	3210.7
433.00	3413.0
434.00	3580.8
435.00	3764.6
436.00	3982.9
437.00	4196.5
438.00	4414.9
439.00	4621.0
440.00	4853.0
441.00	5099.7
442.00	5331.4
443.00	5549.6
444.00	5790.0
445.00	6015.6
446.00	6279.7
447.00	6523.3
448.00	6770.6
449.00	7036.8
450.00	7284.2
451.00	7542.8
452.00	7832.8
453.00	8165.5
454.00	8537.2
455.00	8902.9
456.00	9319.1
457.00	9792.4
458.00	10252
459.00	10804
460.00	11346
461.00	11989
462.00	12676
463.00	13443
464.00	14252
465.00	15077
466.00	15900
467.00	16737
468.00	17681
469.00	18535
470.00	19421
471.00	20346
472.00	21248
473.00	22001
474.00	22638
475.00	23355
476.00	23912
477.00	24446
478.00	24801
479.00	25138
480.00	25426
481.00	25592
482.00	25731
483.00	25978
484.00	26210
485.00	26550
486.00	27001
487.00	27289
488.00	27937
489.00	28730
490.00	29779
491.00	30865
492.00	32091
493.00	33561
494.00	35066
495.00	36771
496.00	38919
497.00	40914
498.00	43140
499.00	45515
500.00	47957
501.00	50364
502.00	52656
503.00	55249
504.00	57900
505.00	60117
506.00	61888
507.00	63131
508.00	64664
509.00	65500
510.00	65483
511.00	64913
512.00	64048
513.00	62776
514.00	60405
515.00	57887
516.00	54927
517.00	51135
518.00	47560
519.00	43433
520.00	39430
521.00	35409
522.00	31613
523.00	27831
524.00	24306
525.00	21186
526.00	18299
527.00	15747
528.00	13401
529.00	11459
530.00	9714.8
531.00	8174.0
532.00	6889.9
533.00	5758.0
534.00	4864.3
535.00	4106.9
536.00	3478.4
537.00	2934.6
538.00	2459.9
539.00	2076.9
540.00	1768.7
541.00	1451.1
542.00	1269.8
543.00	1085.0
544.00	943.20
545.00	827.07
546.00	719.82
547.00	605.91
548.00	541.67
549.00	493.72
550.00	442.59
551.00	380.00
552.00	363.62
553.00	315.71
554.00	294.54
555.00	255.44
556.00	240.03
557.00	218.72
558.00	237.42
559.00	213.25
560.00	171.73
561.00	161.94
562.00	168.68
563.00	136.68
564.00	135.10
565.00	171.76
566.00	102.70
567.00	108.27
568.00	109.40
569.00	116.60
570.00	110.39
571.00	90.342
572.00	90.415
573.00	93.920
574.00	79.893
575.00	84.000
576.00	70.789
577.00	82.589
578.00	74.931
579.00	70.158
580.00	68.636
581.00	65.232
582.00	62.664
583.00	48.496
584.00	45.832
585.00	49.171
586.00	54.387
587.00	46.108
588.00	40.961
589.00	37.325
590.00	28.018
591.00	32.143
592.00	24.668
593.00	33.193
594.00	23.853
595.00	24.950
596.00	34.040
597.00	33.579
598.00	22.101
599.00	18.004
600.00	15.911
