Wavelength (nm)	Toly P (2020)
300.00	0.096337
301.00	0.097366
302.00	0.099234
303.00	0.10024
304.00	0.10106
305.00	0.10216
306.00	0.10261
307.00	0.10369
308.00	0.10487
309.00	0.10542
310.00	0.10599
311.00	0.10682
312.00	0.10725
313.00	0.10775
314.00	0.10782
315.00	0.10837
316.00	0.10807
317.00	0.10853
318.00	0.10901
319.00	0.10957
320.00	0.11001
321.00	0.11077
322.00	0.11184
323.00	0.11162
324.00	0.11259
325.00	0.11407
326.00	0.11592
327.00	0.11868
328.00	0.12075
329.00	0.12355
330.00	0.12698
331.00	0.12986
332.00	0.13341
333.00	0.13700
334.00	0.14089
335.00	0.14588
336.00	0.15063
337.00	0.15526
338.00	0.16003
339.00	0.16459
340.00	0.16986
341.00	0.17592
342.00	0.18123
343.00	0.18524
344.00	0.18916
345.00	0.19578
346.00	0.20134
347.00	0.20604
348.00	0.21316
349.00	0.21925
350.00	0.22603
351.00	0.23353
352.00	0.24126
353.00	0.24855
354.00	0.25599
355.00	0.26140
356.00	0.26979
357.00	0.27847
358.00	0.28494
359.00	0.29169
360.00	0.29865
361.00	0.30673
362.00	0.31608
363.00	0.32293
364.00	0.33030
365.00	0.33978
366.00	0.35085
367.00	0.36265
368.00	0.37522
369.00	0.38412
370.00	0.40100
371.00	0.41516
372.00	0.43607
373.00	0.45407
374.00	0.47254
375.00	0.49651
376.00	0.52192
377.00	0.54947
378.00	0.57602
379.00	0.60050
380.00	0.63163
381.00	0.66350
382.00	0.70856
383.00	0.74289
384.00	0.78256
385.00	0.82002
386.00	0.85797
387.00	0.90041
388.00	0.93488
389.00	0.95522
390.00	0.98472
391.00	0.98868
392.00	1.00000
393.00	0.99137
394.00	0.95817
395.00	0.92948
396.00	0.88258
397.00	0.81729
398.00	0.74565
399.00	0.68090
400.00	0.61825
401.00	0.55390
402.00	0.49405
403.00	0.43057
404.00	0.38285
405.00	0.34340
406.00	0.30386
407.00	0.26802
408.00	0.23262
409.00	0.20518
410.00	0.18340
411.00	0.16260
412.00	0.14433
413.00	0.12731
414.00	0.11215
415.00	0.10023
416.00	0.090172
417.00	0.080652
418.00	0.071738
419.00	0.063653
420.00	0.057174
421.00	0.051919
422.00	0.046523
423.00	0.042081
424.00	0.037346
425.00	0.033766
426.00	0.031256
427.00	0.028179
428.00	0.026080
429.00	0.023791
430.00	0.021763
431.00	0.020181
432.00	0.018755
433.00	0.017652
434.00	0.016525
435.00	0.015432
436.00	0.014663
437.00	0.013980
438.00	0.013521
439.00	0.012864
440.00	0.012178
441.00	0.011659
442.00	0.011221
443.00	0.010974
444.00	0.010584
445.00	0.010448
446.00	0.010239
447.00	0.010172
448.00	0.010118
449.00	0.010133
450.00	0.0099598
451.00	0.010082
452.00	0.010199
453.00	0.010441
454.00	0.010655
455.00	0.010759
456.00	0.011011
457.00	0.011304
458.00	0.011715
459.00	0.012063
460.00	0.012601
461.00	0.012833
462.00	0.013367
463.00	0.013897
464.00	0.014304
465.00	0.014721
466.00	0.015157
467.00	0.015587
468.00	0.016024
469.00	0.016582
470.00	0.016904
471.00	0.017906
472.00	0.018399
473.00	0.019279
474.00	0.020107
475.00	0.021234
476.00	0.023657
477.00	0.026461
478.00	0.030879
479.00	0.034405
480.00	0.037692
481.00	0.040873
482.00	0.045152
483.00	0.049198
484.00	0.052439
485.00	0.054508
486.00	0.057224
487.00	0.061853
488.00	0.065806
489.00	0.068765
490.00	0.070932
491.00	0.071703
492.00	0.072038
493.00	0.071828
494.00	0.070890
495.00	0.068098
496.00	0.064513
497.00	0.060797
498.00	0.057460
499.00	0.053619
500.00	0.048504
501.00	0.043060
502.00	0.038382
503.00	0.034531
504.00	0.030596
505.00	0.027041
506.00	0.024004
507.00	0.021573
508.00	0.019899
509.00	0.018598
510.00	0.017460
511.00	0.016785
512.00	0.016270
513.00	0.016417
514.00	0.017124
515.00	0.018668
516.00	0.021016
517.00	0.024231
518.00	0.027348
519.00	0.030624
520.00	0.033672
521.00	0.035874
522.00	0.036429
523.00	0.035903
524.00	0.035459
525.00	0.035157
526.00	0.034471
527.00	0.033096
528.00	0.031151
529.00	0.028519
530.00	0.025844
531.00	0.022865
532.00	0.020199
533.00	0.017243
534.00	0.014828
535.00	0.013008
536.00	0.011608
537.00	0.010530
538.00	0.0098747
539.00	0.0093583
540.00	0.0089439
541.00	0.0084535
542.00	0.0078802
543.00	0.0078581
544.00	0.0078140
545.00	0.0080133
546.00	0.0083203
547.00	0.0085377
548.00	0.0089589
549.00	0.0097110
550.00	0.010257
551.00	0.010919
552.00	0.011941
553.00	0.012964
554.00	0.014202
555.00	0.015607
556.00	0.016992
557.00	0.018644
558.00	0.020908
559.00	0.023321
560.00	0.025762
561.00	0.027571
562.00	0.028570
563.00	0.029545
