Wavelength (nm)	Chem Eur J 2018_17268, Vv-DNCC-51 abs [Z]
200.00	0.73830
201.00	0.79171
202.00	0.84445
203.00	0.87544
204.00	0.90643
205.00	0.92997
206.00	0.95259
207.00	0.97124
208.00	0.98107
209.00	0.99049
210.00	0.99366
211.00	0.99683
212.00	1.0000
213.00	0.99618
214.00	0.99236
215.00	0.98854
216.00	0.97280
217.00	0.95712
218.00	0.94213
219.00	0.92714
220.00	0.91215
221.00	0.89580
222.00	0.87858
223.00	0.86136
224.00	0.84373
225.00	0.82579
226.00	0.80786
227.00	0.79453
228.00	0.78259
229.00	0.77065
230.00	0.75989
231.00	0.75202
232.00	0.74416
233.00	0.73629
234.00	0.72939
235.00	0.72318
236.00	0.71697
237.00	0.71076
238.00	0.70174
239.00	0.69233
240.00	0.68293
241.00	0.67137
242.00	0.65658
243.00	0.64179
244.00	0.62251
245.00	0.60010
246.00	0.57769
247.00	0.55428
248.00	0.53036
249.00	0.50645
250.00	0.48001
251.00	0.45316
252.00	0.42631
253.00	0.39963
254.00	0.37706
255.00	0.35449
256.00	0.33193
257.00	0.31410
258.00	0.29860
259.00	0.28310
260.00	0.26889
261.00	0.26018
262.00	0.25146
263.00	0.24274
264.00	0.23402
265.00	0.22886
266.00	0.22397
267.00	0.21907
268.00	0.21418
269.00	0.20929
270.00	0.20728
271.00	0.20570
272.00	0.20413
273.00	0.20255
274.00	0.20098
275.00	0.19938
276.00	0.19775
277.00	0.19611
278.00	0.19448
279.00	0.19284
280.00	0.19121
281.00	0.18931
282.00	0.18681
283.00	0.18432
284.00	0.18183
285.00	0.17934
286.00	0.17626
287.00	0.17294
288.00	0.16962
289.00	0.16536
290.00	0.16111
291.00	0.15685
292.00	0.15257
293.00	0.14791
294.00	0.14325
295.00	0.13859
296.00	0.13392
297.00	0.12926
298.00	0.12460
299.00	0.11972
300.00	0.11485
301.00	0.10997
302.00	0.10509
303.00	0.10021
304.00	0.095335
305.00	0.090458
306.00	0.086357
307.00	0.082306
308.00	0.078256
309.00	0.074205
310.00	0.070154
311.00	0.066103
312.00	0.062053
313.00	0.058326
314.00	0.055357
315.00	0.052389
316.00	0.049420
317.00	0.046451
318.00	0.043482
319.00	0.040513
320.00	0.037790
321.00	0.035367
322.00	0.032945
323.00	0.030522
324.00	0.028100
325.00	0.025678
326.00	0.023255
327.00	0.020947
328.00	0.019289
329.00	0.017631
330.00	0.015973
331.00	0.014315
332.00	0.012657
333.00	0.010999
334.00	0.0099394
335.00	0.0090785
336.00	0.0082177
337.00	0.0073569
338.00	0.0064960
339.00	0.0056352
340.00	0.0047744
341.00	0.0041831
342.00	0.0038036
343.00	0.0034241
344.00	0.0030446
345.00	0.0026651
346.00	0.0022856
347.00	0.0019061
348.00	0.0015266
349.00	0.0011471
350.00	0.00085868
351.00	0.00085868
352.00	0.00085868
353.00	0.00085868
354.00	0.00085868
355.00	0.00085868
356.00	0.00085868
357.00	0.00085868
358.00	0.00085868
359.00	0.00085868
360.00	0.00085868
361.00	0.00085868
362.00	0.00085868
363.00	0.00085868
364.00	0.00085868
365.00	0.00085868
366.00	0.00085868
367.00	0.00085868
368.00	0.00085868
369.00	0.00085868
370.00	0.00085868
371.00	0.00085868
372.00	0.00085868
373.00	0.00085868
374.00	0.00085868
375.00	0.00085868
376.00	0.00085868
377.00	0.00085868
378.00	0.00085868
379.00	0.00085868
380.00	0.00085868
381.00	0.00085868
382.00	0.00085868
383.00	0.00085868
384.00	0.00085868
385.00	0.00085868
386.00	0.00085868
387.00	0.00085868
388.00	0.00085868
389.00	0.00085868
390.00	0.00085868
391.00	0.00085868
392.00	0.00085868
393.00	0.00085868
394.00	0.00085868
395.00	0.00085868
396.00	0.00085868
397.00	0.00085868
398.00	0.00085868
399.00	0.00085868
400.00	0.00085868
