Wavelength (nm)	FL057 [10] 15236-11-0, 4',7-dimethoxyisoflavanone [D]
230.00	19119
231.00	18459
232.00	17827
233.00	16911
234.00	15715
235.00	14440
236.00	13336
237.00	12202
238.00	11004
239.00	9805.6
240.00	8576.0
241.00	7302.3
242.00	5802.6
243.00	4342.9
244.00	3609.4
245.00	3378.3
246.00	3297.3
247.00	3305.3
248.00	3370.7
249.00	3572.2
250.00	3812.2
251.00	4107.7
252.00	4476.1
253.00	4897.4
254.00	5408.8
255.00	5954.7
256.00	6552.6
257.00	7185.4
258.00	7935.1
259.00	8608.5
260.00	9219.7
261.00	9832.4
262.00	10458
263.00	11085
264.00	11725
265.00	12376
266.00	13027
267.00	13639
268.00	14248
269.00	14845
270.00	15415
271.00	15853
272.00	16118
273.00	16313
274.00	16436
275.00	16500
276.00	16379
277.00	16124
278.00	15751
279.00	15305
280.00	14859
281.00	14300
282.00	13708
283.00	13107
284.00	12415
285.00	11723
286.00	11093
287.00	10469
288.00	9776.6
289.00	9070.8
290.00	8353.1
291.00	7663.3
292.00	7053.9
293.00	6644.1
294.00	6431.1
295.00	6388.7
296.00	6374.7
297.00	6437.2
298.00	6501.2
299.00	6594.9
300.00	6688.6
301.00	6782.3
302.00	6876.0
303.00	6992.1
304.00	7112.2
305.00	7232.2
306.00	7352.3
307.00	7468.9
308.00	7584.7
309.00	7700.4
310.00	7798.7
311.00	7885.2
312.00	7943.5
313.00	7978.6
314.00	7950.2
315.00	7899.0
316.00	7717.3
317.00	7535.6
318.00	7300.1
319.00	7057.3
320.00	6814.5
321.00	6536.0
322.00	6212.0
323.00	5888.0
324.00	5564.1
325.00	5212.0
326.00	4837.0
327.00	4462.0
328.00	4084.3
329.00	3706.1
330.00	3327.9
331.00	2961.6
332.00	2601.3
333.00	2268.8
334.00	1954.8
335.00	1635.4
336.00	1304.0
337.00	1061.5
338.00	871.18
339.00	743.04
340.00	639.07
341.00	536.51
342.00	467.46
343.00	398.42
344.00	329.38
345.00	270.53
346.00	224.14
347.00	177.75
348.00	131.36
349.00	102.77
350.00	75.303
351.00	49.379
352.00	35.900
353.00	22.421
354.00	11.740
355.00	11.585
356.00	11.431
357.00	11.383
358.00	11.383
359.00	11.383
360.00	11.383
