Wavelength (nm)	P02 abs e
300.00	6673.4
300.20	6705.9
300.40	6731.8
300.60	6763.3
300.80	6784.0
301.00	6813.9
301.20	6839.5
301.40	6867.7
301.60	6890.4
301.80	6925.8
302.00	6933.1
302.20	6954.1
302.40	6971.8
302.60	7004.6
302.80	7027.9
303.00	7033.5
303.20	7056.8
303.40	7079.5
303.60	7089.0
303.80	7115.9
304.00	7132.3
304.20	7146.1
304.40	7171.4
304.60	7178.0
304.80	7188.1
305.00	7210.1
305.20	7220.3
305.40	7216.7
305.60	7257.4
305.80	7280.1
306.00	7275.1
306.20	7288.6
306.40	7311.2
306.60	7311.9
306.80	7318.8
307.00	7336.2
307.20	7341.8
307.40	7353.6
307.60	7350.0
307.80	7371.3
308.00	7366.4
308.20	7376.2
308.40	7391.7
308.60	7383.1
308.80	7389.7
309.00	7380.5
309.20	7386.4
309.40	7391.7
309.60	7381.5
309.80	7385.4
310.00	7378.5
310.20	7385.4
310.40	7391.3
310.60	7381.5
310.80	7369.7
311.00	7360.5
311.20	7352.3
311.40	7343.4
311.60	7333.9
311.80	7324.0
312.00	7308.6
312.20	7318.1
312.40	7306.0
312.60	7278.4
312.80	7262.0
313.00	7270.5
313.20	7230.5
313.40	7226.9
313.60	7212.8
313.80	7181.6
314.00	7182.9
314.20	7163.8
314.40	7128.1
314.60	7120.5
314.80	7110.7
315.00	7082.1
315.20	7067.0
315.40	7040.1
315.60	6996.7
315.80	6993.5
316.00	6977.7
316.20	6959.7
316.40	6920.6
316.60	6892.7
316.80	6868.1
317.00	6853.6
317.20	6820.5
317.40	6790.9
317.60	6776.5
317.80	6722.3
318.00	6711.8
318.20	6693.1
318.40	6660.6
318.60	6621.2
318.80	6594.3
319.00	6557.5
319.20	6534.2
319.40	6501.0
319.60	6463.9
319.80	6434.7
320.00	6415.0
320.20	6389.1
320.40	6339.8
320.60	6310.6
320.80	6286.3
321.00	6235.1
321.20	6207.9
321.40	6168.2
321.60	6139.6
321.80	6115.3
322.00	6069.3
322.20	6035.9
322.40	6004.7
322.60	5963.3
322.80	5914.1
323.00	5886.8
323.20	5854.3
323.40	5815.2
323.60	5782.1
323.80	5725.6
324.00	5697.4
324.20	5647.2
324.40	5616.0
324.60	5573.6
324.80	5531.6
325.00	5504.7
325.20	5451.8
325.40	5415.1
325.60	5370.4
325.80	5336.0
326.00	5288.4
326.20	5247.0
326.40	5211.9
326.60	5164.6
326.80	5120.6
327.00	5090.4
327.20	5043.1
327.40	5004.7
327.60	4952.2
327.80	4920.0
328.00	4880.3
328.20	4832.7
328.40	4784.4
328.60	4756.5
328.80	4704.7
329.00	4661.7
329.20	4625.9
329.40	4586.5
329.60	4547.4
329.80	4501.8
330.00	4456.8
330.20	4425.0
330.40	4364.2
330.60	4343.5
330.80	4303.5
331.00	4260.8
331.20	4213.9
331.40	4174.5
331.60	4144.3
331.80	4101.6
332.00	4055.6
332.20	4024.1
332.40	4000.2
332.60	3941.1
332.80	3906.9
333.00	3869.5
333.20	3835.0
333.40	3800.9
333.60	3771.3
333.80	3742.1
334.00	3702.7
334.20	3673.2
334.40	3646.6
334.60	3623.0
334.80	3572.7
335.00	3539.2
335.20	3513.0
335.40	3474.2
335.60	3446.3
335.80	3410.2
336.00	3394.1
336.20	3365.6
336.40	3340.3
336.60	3304.8
336.80	3268.4
337.00	3250.4
337.20	3237.2
337.40	3176.8
337.60	3165.7
337.80	3146.6
338.00	3141.7
338.20	3109.8
338.40	3076.4
338.60	3059.0
338.80	3038.0
339.00	3016.3
339.20	3008.1
339.40	2989.4
339.60	2965.1
339.80	2944.4
340.00	2938.5
340.20	2925.0
340.40	2891.2
340.60	2891.5
340.80	2861.7
341.00	2854.1
341.20	2847.9
341.40	2827.9
341.60	2821.6
341.80	2812.7
342.00	2790.8
342.20	2791.4
342.40	2778.6
342.60	2758.3
342.80	2756.6
343.00	2759.6
343.20	2743.5
343.40	2733.6
343.60	2723.5
343.80	2710.0
344.00	2713.9
344.20	2719.2
344.40	2705.4
344.60	2689.6
344.80	2690.3
345.00	2685.7
345.20	2676.5
345.40	2685.7
345.60	2689.6
345.80	2683.1
346.00	2690.0
346.20	2669.6
346.40	2671.6
346.60	2676.8
346.80	2658.1
347.00	2669.3
347.20	2674.9
347.40	2673.6
347.60	2672.9
347.80	2686.0
348.00	2680.8
348.20	2675.5
348.40	2697.2
348.60	2696.5
348.80	2688.0
349.00	2696.5
349.20	2693.9
349.40	2717.9
349.60	2703.8
349.80	2715.2
350.00	2766.8
350.20	2774.3
350.40	2770.4
350.60	2784.5
350.80	2785.2
351.00	2793.4
351.20	2796.0
351.40	2809.8
351.60	2799.9
351.80	2790.1
352.00	2797.0
352.20	2815.0
352.40	2805.9
352.60	2825.6
352.80	2844.3
353.00	2857.7
353.20	2845.3
353.40	2885.3
353.60	2895.1
353.80	2917.1
354.00	2920.8
354.20	2936.2
354.40	2970.7
354.60	2981.5
354.80	2970.3
355.00	3007.8
355.20	2986.4
355.40	3008.1
355.60	3026.5
355.80	3031.7
356.00	3045.5
356.20	3058.3
356.40	3040.3
356.60	3041.6
356.80	3054.4
357.00	3074.7
357.20	3080.6
357.40	3100.7
357.60	3117.7
357.80	3122.0
358.00	3144.3
358.20	3158.8
358.40	3187.3
358.60	3225.7
358.80	3240.8
359.00	3259.2
359.20	3267.8
359.40	3286.1
359.60	3311.1
359.80	3328.8
360.00	3343.3
360.20	3363.3
360.40	3382.7
360.60	3395.1
360.80	3407.9
361.00	3422.4
361.20	3425.3
361.40	3453.6
361.60	3472.9
361.80	3492.6
362.00	3503.5
362.20	3508.7
362.40	3536.0
362.60	3549.8
362.80	3532.4
363.00	3569.8
363.20	3586.2
363.40	3597.4
363.60	3627.9
363.80	3641.0
364.00	3665.6
364.20	3688.0
364.40	3706.0
364.60	3728.0
364.80	3741.5
365.00	3767.4
365.20	3778.2
365.40	3811.7
365.60	3838.0
365.80	3847.5
366.00	3887.9
366.20	3916.4
366.40	3934.2
366.60	3943.0
366.80	3962.4
367.00	4013.6
367.20	4043.2
367.40	4058.9
367.60	4099.0
367.80	4100.9
368.00	4136.1
368.20	4176.8
368.40	4200.4
368.60	4224.0
368.80	4243.7
369.00	4275.6
369.20	4284.8
369.40	4309.7
369.60	4352.1
369.80	4334.4
370.00	4376.4
370.20	4406.2
370.40	4414.1
370.60	4439.4
370.80	4475.8
371.00	4515.9
371.20	4530.0
371.40	4576.0
371.60	4609.8
371.80	4651.1
372.00	4680.0
372.20	4704.7
372.40	4728.0
372.60	4754.6
372.80	4773.9
373.00	4807.7
373.20	4835.6
373.40	4866.5
373.60	4903.6
373.80	4931.8
374.00	4954.8
374.20	4993.9
374.40	5018.5
374.60	5050.0
374.80	5089.4
375.00	5114.4
375.20	5156.1
375.40	5185.6
375.60	5224.7
375.80	5241.1
376.00	5264.4
376.20	5317.6
376.40	5335.6
376.60	5384.5
376.80	5408.8
377.00	5438.0
377.20	5474.2
377.40	5494.5
377.60	5530.0
377.80	5569.7
378.00	5612.7
378.20	5637.0
378.40	5679.7
378.60	5713.2
378.80	5730.9
379.00	5760.4
379.20	5805.7
379.40	5839.9
379.60	5870.7
379.80	5897.3
380.00	5933.8
380.20	5996.8
380.40	6036.8
380.60	6070.0
380.80	6096.9
381.00	6134.0
381.20	6168.8
381.40	6210.5
381.60	6251.5
381.80	6312.9
382.00	6333.3
382.20	6350.0
382.40	6383.2
382.60	6438.3
382.80	6500.4
383.00	6526.0
383.20	6570.0
383.40	6594.3
383.60	6645.8
383.80	6684.2
384.00	6728.9
384.20	6773.2
384.40	6814.6
384.60	6853.3
384.80	6893.3
385.00	6935.0
385.20	6985.6
385.40	7028.3
385.60	7062.7
385.80	7130.7
386.00	7166.5
386.20	7197.3
386.40	7245.9
386.60	7297.1
386.80	7343.4
387.00	7368.7
387.20	7418.9
387.40	7478.0
387.60	7519.4
387.80	7568.6
388.00	7612.6
388.20	7662.8
388.40	7710.8
388.60	7770.5
388.80	7813.5
389.00	7852.3
389.20	7909.4
389.40	7955.7
389.60	7998.3
389.80	8071.9
390.00	8123.4
390.20	8167.4
390.40	8222.6
390.60	8285.6
390.80	8327.6
391.00	8369.3
391.20	8428.1
391.40	8476.0
391.60	8519.7
391.80	8575.5
392.00	8633.6
392.20	8672.0
392.40	8716.3
392.60	8780.0
392.80	8829.2
393.00	8883.1
393.20	8940.2
393.40	8992.4
393.60	9045.9
393.80	9097.1
394.00	9155.2
394.20	9204.5
394.40	9263.6
394.60	9318.4
394.80	9376.8
395.00	9429.0
395.20	9494.3
395.40	9546.9
395.60	9607.9
395.80	9658.2
396.00	9711.3
396.20	9776.3
396.40	9824.9
