Wavelength (nm)	FL049 [9] 20725-03-5, Fustin [D]
220.00	14782
221.00	14220
222.00	13707
223.00	13274
224.00	12980
225.00	12811
226.00	12950
227.00	13139
228.00	13413
229.00	13691
230.00	13977
231.00	14298
232.00	14628
233.00	14932
234.00	15125
235.00	15251
236.00	15108
237.00	14926
238.00	14623
239.00	14066
240.00	13124
241.00	11817
242.00	10223
243.00	8446.2
244.00	6597.2
245.00	5304.1
246.00	4685.1
247.00	4292.4
248.00	4083.8
249.00	3938.4
250.00	3863.2
251.00	3818.7
252.00	3872.1
253.00	3925.6
254.00	4054.1
255.00	4184.2
256.00	4476.7
257.00	4840.9
258.00	5347.6
259.00	6201.2
260.00	6785.6
261.00	7107.9
262.00	7427.7
263.00	7795.5
264.00	8163.4
265.00	8542.4
266.00	9003.7
267.00	9465.1
268.00	9976.9
269.00	10579
270.00	11180
271.00	11791
272.00	12408
273.00	13002
274.00	13497
275.00	13949
276.00	14291
277.00	14610
278.00	14705
279.00	14800
280.00	14638
281.00	14475
282.00	14189
283.00	13811
284.00	13432
285.00	12979
286.00	12452
287.00	11926
288.00	11450
289.00	10986
290.00	10522
291.00	10114
292.00	9718.5
293.00	9322.4
294.00	8938.9
295.00	8626.0
296.00	8313.1
297.00	8000.2
298.00	7675.5
299.00	7401.3
300.00	7191.9
301.00	7101.1
302.00	7090.1
303.00	7109.9
304.00	7137.4
305.00	7170.4
306.00	7203.5
307.00	7250.6
308.00	7298.0
309.00	7321.1
310.00	7332.1
311.00	7297.5
312.00	7241.4
313.00	7178.4
314.00	7076.5
315.00	6974.7
316.00	6851.7
317.00	6662.0
318.00	6472.3
319.00	6242.6
320.00	5996.5
321.00	5750.4
322.00	5453.9
323.00	5143.9
324.00	4833.9
325.00	4520.3
326.00	4191.2
327.00	3862.1
328.00	3533.0
329.00	3225.3
330.00	2932.5
331.00	2657.2
332.00	2443.8
333.00	2230.5
334.00	2033.4
335.00	1890.5
336.00	1747.7
337.00	1620.6
338.00	1528.6
339.00	1436.6
340.00	1349.9
341.00	1274.1
342.00	1203.3
343.00	1155.5
344.00	1107.8
345.00	1064.7
346.00	1034.2
347.00	1003.7
348.00	977.28
349.00	956.19
350.00	935.10
351.00	914.00
352.00	892.91
