Wavelength (nm)	E14 abs e
215.00	2123.0
216.00	1567.7
217.00	1218.0
218.00	1056.1
219.00	1010.2
220.00	1023.4
221.00	1069.4
222.00	1134.1
223.00	1210.0
224.00	1299.6
225.00	1396.9
226.00	1501.8
227.00	1611.3
228.00	1726.4
229.00	1846.5
230.00	1973.0
231.00	2105.2
232.00	2239.6
233.00	2379.6
234.00	2522.1
235.00	2673.1
236.00	2829.9
237.00	2999.4
238.00	3180.0
239.00	3367.7
240.00	3566.4
241.00	3769.9
242.00	3970.9
243.00	4169.8
244.00	4359.7
245.00	4541.2
246.00	4727.4
247.00	4923.6
248.00	5117.7
249.00	5280.4
250.00	5407.5
251.00	5503.5
252.00	5575.8
253.00	5620.0
254.00	5609.0
255.00	5560.6
256.00	5515.5
257.00	5499.4
258.00	5518.1
259.00	5507.4
260.00	5413.3
261.00	5225.7
262.00	4996.7
263.00	4769.2
264.00	4578.7
265.00	4440.2
266.00	4350.6
267.00	4305.5
268.00	4286.0
269.00	4291.0
270.00	4310.6
271.00	4340.5
272.00	4381.2
273.00	4427.6
274.00	4470.0
275.00	4497.1
276.00	4491.3
277.00	4482.8
278.00	4456.8
279.00	4408.7
280.00	4335.9
281.00	4242.3
282.00	4131.6
283.00	3973.4
284.00	3746.1
285.00	3479.3
286.00	3221.1
287.00	2976.6
288.00	2710.0
289.00	2422.5
290.00	2162.6
291.00	1942.6
292.00	1704.7
293.00	1408.2
294.00	1073.7
295.00	762.40
296.00	513.89
297.00	337.86
298.00	220.47
299.00	147.66
300.00	102.85
301.00	74.862
302.00	57.324
303.00	44.807
304.00	35.824
305.00	30.830
306.00	24.789
307.00	21.355
308.00	19.098
309.00	17.972
310.00	16.703
311.00	14.631
312.00	13.831
313.00	13.726
314.00	12.761
315.00	12.545
316.00	12.668
317.00	11.988
318.00	11.352
319.00	11.762
320.00	11.832
321.00	11.481
322.00	10.074
323.00	9.3442
324.00	8.8342
325.00	8.4913
326.00	8.8079
327.00	8.7493
328.00	8.7756
329.00	7.5095
330.00	7.0904
331.00	5.9064
332.00	6.0236
333.00	5.8448
334.00	5.6485
335.00	6.0178
336.00	5.7686
337.00	5.2528
338.00	4.7839
339.00	4.3736
340.00	4.1684
341.00	4.9070
342.00	4.4439
343.00	5.0828
344.00	5.4111
345.00	4.6637
346.00	4.4381
347.00	4.3853
348.00	4.5934
349.00	3.6145
350.00	3.9545
