Wavelength (nm)	24, (E)-Bos-DPxB, EBOSDPXB
372.00	0.13661
373.00	0.14165
374.00	0.14669
375.00	0.15206
376.00	0.15742
377.00	0.16313
378.00	0.16884
379.00	0.17505
380.00	0.18126
381.00	0.18791
382.00	0.19456
383.00	0.20128
384.00	0.20801
385.00	0.21513
386.00	0.22225
387.00	0.22960
388.00	0.23696
389.00	0.24517
390.00	0.25339
391.00	0.26117
392.00	0.26894
393.00	0.27743
394.00	0.28592
395.00	0.29431
396.00	0.30271
397.00	0.31185
398.00	0.32099
399.00	0.32959
400.00	0.33819
401.00	0.34768
402.00	0.35717
403.00	0.36686
404.00	0.37655
405.00	0.38576
406.00	0.39498
407.00	0.40375
408.00	0.41252
409.00	0.42270
410.00	0.43289
411.00	0.44168
412.00	0.45048
413.00	0.45979
414.00	0.46911
415.00	0.47781
416.00	0.48651
417.00	0.49532
418.00	0.50414
419.00	0.51205
420.00	0.51995
421.00	0.52785
422.00	0.53575
423.00	0.54254
424.00	0.54933
425.00	0.55674
426.00	0.56415
427.00	0.57022
428.00	0.57629
429.00	0.58122
430.00	0.58615
431.00	0.59083
432.00	0.59551
433.00	0.59945
434.00	0.60338
435.00	0.60603
436.00	0.60867
437.00	0.61031
438.00	0.61196
439.00	0.61184
440.00	0.61172
441.00	0.61176
442.00	0.61180
443.00	0.61047
444.00	0.60914
445.00	0.60689
446.00	0.60463
447.00	0.60150
448.00	0.59836
449.00	0.59371
450.00	0.58905
451.00	0.58373
452.00	0.57842
453.00	0.57137
454.00	0.56433
455.00	0.55662
456.00	0.54891
457.00	0.53914
458.00	0.52936
459.00	0.52078
460.00	0.51219
461.00	0.50163
462.00	0.49107
463.00	0.47810
464.00	0.46512
465.00	0.45429
466.00	0.44345
467.00	0.43247
468.00	0.42148
469.00	0.40941
470.00	0.39734
471.00	0.38242
472.00	0.36750
473.00	0.35383
474.00	0.34017
475.00	0.32702
476.00	0.31387
477.00	0.30180
478.00	0.28973
479.00	0.27697
480.00	0.26421
481.00	0.25208
482.00	0.23994
483.00	0.22248
484.00	0.20502
485.00	0.19630
486.00	0.18759
487.00	0.18160
488.00	0.17560
489.00	0.16715
490.00	0.15870
491.00	0.14969
492.00	0.14067
493.00	0.13143
494.00	0.12220
495.00	0.11423
496.00	0.10627
497.00	0.099083
498.00	0.091893
499.00	0.085825
500.00	0.079757
501.00	0.074596
502.00	0.069434
503.00	0.064797
504.00	0.060160
505.00	0.056288
506.00	0.052415
507.00	0.049071
508.00	0.045728
509.00	0.042507
510.00	0.039287
511.00	0.036568
512.00	0.033848
513.00	0.032000
514.00	0.030151
515.00	0.027963
516.00	0.025775
517.00	0.024280
518.00	0.022785
519.00	0.021463
520.00	0.020142
521.00	0.019116
522.00	0.018091
523.00	0.016893
524.00	0.015695
525.00	0.014859
526.00	0.014024
527.00	0.013115
528.00	0.012206
529.00	0.011796
530.00	0.011385
531.00	0.010540
532.00	0.0096955
533.00	0.0090429
534.00	0.0083903
535.00	0.0081601
536.00	0.0079300
537.00	0.0074648
538.00	0.0069997
539.00	0.0067434
540.00	0.0064872
541.00	0.0062712
542.00	0.0060553
543.00	0.0059129
544.00	0.0057705
545.00	0.0054288
546.00	0.0050871
547.00	0.0053742
548.00	0.0056613
549.00	0.0055901
550.00	0.0055190
551.00	0.0054454
552.00	0.0053718
553.00	0.0053742
554.00	0.0053766
555.00	0.0055213
556.00	0.0056661
557.00	0.0057634
558.00	0.0058607
559.00	0.0056471
560.00	0.0054335
561.00	0.0054786
562.00	0.0055237
563.00	0.0056139
564.00	0.0057041
565.00	0.0050894
566.00	0.0044748
567.00	0.0029608
568.00	0.0014468
569.00	0.0011843
570.00	0.0037087
571.00	0.0047601
572.00	0.0026794
573.00	0.0065234
574.00	0.0061557
575.00	0.0054912
576.00	0.0048267
577.00	0.0050759
578.00	0.0053251
579.00	0.0043023
580.00	0.0032795
581.00	0.0049074
582.00	0.0036395
583.00	0.0026266
584.00	0.0036044
585.00	0.0076474
586.00	0.0024415
587.00	0.0018463
588.00	0.0016383
589.00	0.00055694
590.00	0.00091045
591.00	0.00085120
592.00	0.00023658
593.00	0.00015353
594.00	0.00070469
595.00	0.00054270
596.00	0.00070738
597.00	0.00087018
598.00	0.00072543
599.00	0.00077526
600.00	0.00082509
