Wavelength (nm)	S06 abs e
300.00	27499
301.00	27761
302.00	28112
303.00	28625
304.00	29229
305.00	29912
306.00	30716
307.00	31518
308.00	32384
309.00	33343
310.00	34363
311.00	35440
312.00	36528
313.00	37695
314.00	38834
315.00	40085
316.00	41391
317.00	42683
318.00	44142
319.00	45587
320.00	47077
321.00	48605
322.00	50170
323.00	51842
324.00	53372
325.00	54926
326.00	56504
327.00	57915
328.00	59446
329.00	60810
330.00	62164
331.00	63386
332.00	64563
333.00	65651
334.00	66629
335.00	67483
336.00	68367
337.00	69102
338.00	69812
339.00	70395
340.00	70886
341.00	71374
342.00	71757
343.00	72052
344.00	72340
345.00	72448
346.00	72441
347.00	72383
348.00	72129
349.00	71818
350.00	71303
351.00	70761
352.00	70136
353.00	69464
354.00	68820
355.00	68185
356.00	67624
357.00	67230
358.00	66957
359.00	66700
360.00	66513
361.00	66244
362.00	65799
363.00	65169
364.00	64276
365.00	63202
366.00	61784
367.00	60251
368.00	58453
369.00	56540
370.00	54456
371.00	52296
372.00	50032
373.00	47857
374.00	45533
375.00	43176
376.00	41019
377.00	38713
378.00	36558
379.00	34488
380.00	32593
381.00	30657
382.00	28885
383.00	27275
384.00	25676
385.00	24206
386.00	22904
387.00	21632
388.00	20505
389.00	19468
390.00	18517
391.00	17476
392.00	16609
393.00	15813
394.00	15094
395.00	14452
396.00	13885
397.00	13396
398.00	12811
399.00	12432
400.00	12045
401.00	11627
402.00	11299
403.00	10915
404.00	10655
405.00	10372
406.00	10069
407.00	9822.8
408.00	9624.3
409.00	9358.1
410.00	9124.9
411.00	8914.3
412.00	8648.1
413.00	8488.4
414.00	8301.6
415.00	8071.3
416.00	7924.2
417.00	7686.0
418.00	7476.3
419.00	7331.5
420.00	7130.2
421.00	6927.0
422.00	6797.7
423.00	6631.1
424.00	6473.6
425.00	6311.8
426.00	6130.9
427.00	5856.2
428.00	5743.8
429.00	5570.2
430.00	5344.6
431.00	5236.5
432.00	5085.4
433.00	4890.4
434.00	4756.6
435.00	4655.0
436.00	4493.4
437.00	4340.6
438.00	4198.0
439.00	4055.6
440.00	3896.4
441.00	3681.0
442.00	3576.1
443.00	3358.4
444.00	3261.8
445.00	3089.5
446.00	2997.6
447.00	2827.7
448.00	2725.5
449.00	2588.1
450.00	2453.0
451.00	2370.8
452.00	2350.0
453.00	2157.0
454.00	2085.6
455.00	1978.5
456.00	1866.4
457.00	1791.1
458.00	1734.5
459.00	1696.4
460.00	1592.5
461.00	1614.6
462.00	1463.9
463.00	1352.9
464.00	1266.7
465.00	1228.3
466.00	1233.7
467.00	1168.7
468.00	1054.4
469.00	1044.0
470.00	1023.4
471.00	964.75
472.00	1009.0
473.00	869.49
474.00	888.12
475.00	712.17
476.00	719.53
477.00	725.16
478.00	659.96
479.00	632.49
480.00	595.86
481.00	524.94
482.00	478.53
483.00	500.21
