Wavelength (nm)	F16 abs e
200.00	16872
201.00	19990
202.00	22636
203.00	24745
204.00	25616
205.00	25854
206.00	26286
207.00	25218
208.00	23858
209.00	22534
210.00	20584
211.00	18463
212.00	16579
213.00	14870
214.00	13500
215.00	12382
216.00	11518
217.00	10872
218.00	10358
219.00	9964.3
220.00	9618.1
221.00	9295.7
222.00	8990.8
223.00	8693.0
224.00	8390.7
225.00	8075.0
226.00	7682.3
227.00	7193.4
228.00	6584.8
229.00	5889.8
230.00	5133.7
231.00	4392.5
232.00	3727.7
233.00	3158.7
234.00	2697.9
235.00	2310.3
236.00	1995.6
237.00	1730.5
238.00	1511.0
239.00	1335.4
240.00	1187.5
241.00	1068.0
242.00	968.96
243.00	885.06
244.00	814.81
245.00	755.29
246.00	703.50
247.00	658.27
248.00	619.25
249.00	586.95
250.00	557.34
251.00	531.67
252.00	512.37
253.00	495.60
254.00	483.84
255.00	478.09
256.00	473.41
257.00	473.98
258.00	479.65
259.00	490.22
260.00	502.34
261.00	523.54
262.00	544.97
263.00	572.88
264.00	605.92
265.00	644.31
266.00	688.96
267.00	739.07
268.00	793.08
269.00	855.34
270.00	922.04
271.00	993.18
272.00	1074.4
273.00	1159.2
274.00	1248.9
275.00	1345.7
276.00	1453.5
277.00	1565.0
278.00	1681.3
279.00	1803.9
280.00	1928.9
281.00	2051.1
282.00	2172.1
283.00	2289.8
284.00	2404.2
285.00	2514.6
286.00	2619.1
287.00	2719.9
288.00	2811.6
289.00	2886.7
290.00	2939.7
291.00	2977.3
292.00	2990.0
293.00	2973.3
294.00	2922.6
295.00	2850.0
296.00	2749.9
297.00	2630.4
298.00	2491.0
299.00	2330.3
300.00	2148.3
301.00	1954.8
302.00	1744.9
303.00	1524.3
304.00	1306.8
305.00	1091.9
306.00	894.76
307.00	715.59
308.00	564.38
309.00	446.77
310.00	352.76
311.00	282.80
312.00	235.68
313.00	196.44
314.00	169.50
315.00	147.16
316.00	134.83
317.00	126.03
318.00	122.48
319.00	115.01
320.00	112.69
321.00	103.90
322.00	105.37
323.00	101.70
324.00	100.70
325.00	99.036
326.00	99.675
327.00	96.835
328.00	93.141
329.00	91.357
330.00	93.488
331.00	94.759
332.00	92.606
333.00	90.801
334.00	90.343
335.00	87.969
336.00	87.170
337.00	88.510
338.00	87.635
339.00	86.504
340.00	85.184
341.00	84.171
342.00	84.441
343.00	82.240
344.00	86.365
345.00	85.136
346.00	84.539
347.00	84.240
348.00	81.949
349.00	81.768
350.00	81.893
