Wavelength (nm)	P07 abs e
300.00	6810.3
300.50	6560.9
301.00	6336.8
301.50	6080.5
302.00	5888.5
302.50	5726.4
303.00	5563.2
303.50	5437.9
304.00	5311.5
304.50	5181.6
305.00	5108.0
305.50	5062.1
306.00	4992.0
306.50	4955.2
307.00	4924.1
307.50	4882.8
308.00	4863.2
308.50	4878.2
309.00	4893.1
309.50	4842.5
310.00	4827.6
310.50	4834.5
311.00	4857.5
311.50	4864.4
312.00	4871.3
312.50	4910.3
313.00	4906.9
313.50	4965.5
314.00	4973.6
314.50	5005.7
315.00	5028.7
315.50	5090.8
316.00	5106.9
316.50	5196.6
317.00	5204.6
317.50	5256.3
318.00	5334.5
318.50	5387.4
319.00	5414.9
319.50	5457.5
320.00	5517.2
320.50	5577.0
321.00	5654.0
321.50	5709.2
322.00	5744.8
322.50	5793.1
323.00	5869.0
323.50	5935.6
324.00	6025.3
324.50	6072.4
325.00	6097.7
325.50	6208.0
326.00	6252.9
326.50	6342.5
327.00	6385.1
327.50	6464.4
328.00	6528.7
328.50	6597.7
329.00	6705.7
329.50	6764.4
330.00	6812.6
330.50	6893.1
331.00	6944.8
331.50	7012.6
332.00	7096.6
332.50	7156.3
333.00	7217.2
333.50	7290.8
334.00	7350.6
334.50	7428.7
335.00	7464.4
335.50	7511.5
336.00	7580.5
336.50	7602.3
337.00	7690.8
337.50	7727.6
338.00	7777.0
338.50	7818.4
339.00	7855.2
339.50	7870.1
340.00	7909.2
340.50	7967.8
341.00	7941.4
341.50	7995.4
342.00	7988.5
342.50	7990.8
343.00	8021.8
343.50	8049.4
344.00	8066.7
344.50	8078.2
345.00	8023.0
345.50	8100.0
346.00	8101.1
346.50	8110.3
347.00	8074.7
347.50	8101.1
348.00	8108.0
348.50	8083.9
349.00	8105.7
349.50	8133.3
350.00	8112.6
350.50	8106.9
351.00	8134.5
351.50	8070.1
352.00	8095.4
352.50	8013.8
353.00	7983.9
353.50	7931.0
354.00	7897.7
354.50	7910.3
355.00	7864.4
355.50	7780.5
356.00	7743.7
356.50	7674.7
357.00	7626.4
357.50	7543.7
358.00	7435.6
358.50	7369.0
359.00	7311.5
359.50	7194.3
360.00	7119.5
360.50	7047.1
361.00	7020.7
361.50	6883.9
362.00	6801.2
362.50	6720.7
363.00	6629.9
363.50	6534.5
364.00	6426.4
364.50	6354.0
365.00	6249.4
365.50	6136.8
366.00	6040.2
366.50	5963.2
367.00	5877.0
367.50	5772.4
368.00	5694.3
368.50	5623.0
369.00	5578.2
369.50	5466.7
370.00	5398.9
370.50	5309.2
371.00	5259.8
371.50	5208.0
372.00	5151.7
372.50	5097.7
373.00	5026.4
373.50	4972.4
374.00	4896.6
374.50	4865.5
375.00	4803.4
375.50	4741.4
376.00	4669.0
376.50	4618.4
377.00	4566.7
377.50	4502.3
378.00	4424.1
378.50	4379.3
379.00	4312.6
379.50	4239.1
380.00	4185.1
380.50	4096.6
381.00	4028.7
381.50	3960.9
382.00	3888.5
382.50	3780.5
383.00	3711.5
383.50	3623.0
384.00	3554.0
384.50	3464.4
385.00	3382.8
385.50	3309.2
386.00	3223.0
386.50	3131.0
387.00	3052.9
387.50	2966.7
388.00	2877.0
388.50	2802.3
389.00	2720.7
389.50	2627.6
390.00	2552.9
390.50	2478.2
391.00	2409.2
391.50	2333.3
392.00	2263.2
392.50	2200.0
393.00	2132.2
393.50	2080.5
394.00	2027.6
394.50	1966.7
395.00	1918.4
395.50	1864.4
396.00	1833.3
396.50	1783.9
397.00	1748.3
397.50	1718.4
398.00	1693.1
398.50	1659.8
399.00	1647.1
399.50	1614.9
400.00	1612.6
400.50	1595.4
401.00	1589.7
401.50	1593.1
402.00	1575.9
402.50	1585.1
403.00	1583.9
403.50	1600.0
404.00	1604.6
404.50	1623.0
405.00	1637.9
405.50	1663.2
406.00	1674.7
406.50	1703.4
407.00	1735.6
407.50	1757.5
408.00	1793.1
408.50	1835.6
409.00	1859.8
409.50	1901.1
410.00	1944.8
410.50	1983.9
411.00	2028.7
411.50	2079.3
412.00	2123.0
412.50	2172.4
413.00	2224.1
413.50	2257.5
414.00	2321.8
414.50	2369.0
415.00	2427.6
415.50	2495.4
416.00	2567.8
416.50	2628.7
417.00	2708.0
417.50	2783.9
418.00	2856.3
418.50	2937.9
419.00	3024.1
419.50	3112.6
420.00	3204.6
420.50	3287.4
421.00	3392.0
421.50	3494.3
422.00	3609.2
422.50	3709.2
423.00	3828.7
423.50	3955.2
424.00	4081.6
424.50	4221.8
425.00	4366.7
425.50	4511.5
426.00	4672.4
426.50	4826.4
427.00	4996.6
427.50	5169.0
428.00	5350.6
428.50	5547.1
429.00	5750.6
429.50	5960.9
430.00	6173.6
430.50	6401.2
431.00	6634.5
431.50	6873.6
432.00	7126.4
432.50	7374.7
433.00	7646.0
433.50	7926.4
434.00	8206.9
434.50	8483.9
435.00	8777.0
435.50	9067.8
436.00	9372.4
436.50	9665.5
437.00	9977.0
437.50	10285
438.00	10601
438.50	10908
439.00	11221
439.50	11553
440.00	11862
440.50	12193
441.00	12515
441.50	12849
442.00	13180
442.50	13513
443.00	13861
443.50	14229
444.00	14608
444.50	14997
445.00	15402
445.50	15841
446.00	16300
446.50	16783
447.00	17306
447.50	17847
448.00	18434
448.50	19063
449.00	19732
449.50	20453
450.00	21216
450.50	22013
451.00	22892
451.50	23821
452.00	24766
452.50	25863
453.00	26971
453.50	28166
454.00	29411
454.50	30717
455.00	32103
455.50	33561
456.00	35061
456.50	36610
457.00	38224
457.50	39870
458.00	41541
458.50	43199
459.00	44889
459.50	46544
460.00	48149
460.50	49713
