Wavelength 9nm)	16, (E)-Ep-PxB-4, EEPPXB4, F
205.00	0.69347
206.00	0.76412
207.00	0.81654
208.00	0.86896
209.00	0.90594
210.00	0.94292
211.00	0.96489
212.00	0.98686
213.00	0.99343
214.00	1.00000
215.00	0.99351
216.00	0.98702
217.00	0.96930
218.00	0.95159
219.00	0.92445
220.00	0.89731
221.00	0.86492
222.00	0.83253
223.00	0.79814
224.00	0.76376
225.00	0.73430
226.00	0.70484
227.00	0.68254
228.00	0.66024
229.00	0.64532
230.00	0.63040
231.00	0.62138
232.00	0.61236
233.00	0.60834
234.00	0.60431
235.00	0.60391
236.00	0.60351
237.00	0.60635
238.00	0.60920
239.00	0.61432
240.00	0.61945
241.00	0.62629
242.00	0.63313
243.00	0.63952
244.00	0.64592
245.00	0.65011
246.00	0.65430
247.00	0.65463
248.00	0.65497
249.00	0.65078
250.00	0.64660
251.00	0.63845
252.00	0.63030
253.00	0.62015
254.00	0.61000
255.00	0.59890
256.00	0.58780
257.00	0.57874
258.00	0.56967
259.00	0.56305
260.00	0.55642
261.00	0.55342
262.00	0.55042
263.00	0.55074
264.00	0.55107
265.00	0.55411
266.00	0.55715
267.00	0.56171
268.00	0.56627
269.00	0.57154
270.00	0.57681
271.00	0.58196
272.00	0.58711
273.00	0.59182
274.00	0.59653
275.00	0.60087
276.00	0.60521
277.00	0.60831
278.00	0.61140
279.00	0.61434
280.00	0.61728
281.00	0.61990
282.00	0.62251
283.00	0.62508
284.00	0.62766
285.00	0.63108
286.00	0.63450
287.00	0.63833
288.00	0.64217
289.00	0.64751
290.00	0.65285
291.00	0.65948
292.00	0.66611
293.00	0.67411
294.00	0.68210
295.00	0.69105
296.00	0.69999
297.00	0.70983
298.00	0.71966
299.00	0.73063
300.00	0.74160
301.00	0.75256
302.00	0.76352
303.00	0.77473
304.00	0.78594
305.00	0.79600
306.00	0.80605
307.00	0.81444
308.00	0.82282
309.00	0.82905
310.00	0.83528
311.00	0.83812
312.00	0.84097
313.00	0.84020
314.00	0.83943
315.00	0.83429
316.00	0.82914
317.00	0.81989
318.00	0.81063
319.00	0.79672
320.00	0.78280
321.00	0.76466
322.00	0.74651
323.00	0.72492
324.00	0.70333
325.00	0.67776
326.00	0.65219
327.00	0.62374
328.00	0.59529
329.00	0.56601
330.00	0.53674
331.00	0.50590
332.00	0.47507
333.00	0.44503
334.00	0.41499
335.00	0.38736
336.00	0.35973
337.00	0.33560
338.00	0.31148
339.00	0.29155
340.00	0.27161
341.00	0.25534
342.00	0.23906
343.00	0.22666
344.00	0.21427
345.00	0.20546
346.00	0.19666
347.00	0.19062
348.00	0.18458
349.00	0.18116
350.00	0.17774
351.00	0.17580
352.00	0.17385
353.00	0.17312
354.00	0.17238
355.00	0.17276
356.00	0.17314
357.00	0.17452
358.00	0.17590
359.00	0.17807
360.00	0.18024
361.00	0.18261
362.00	0.18497
363.00	0.18820
364.00	0.19142
365.00	0.19501
366.00	0.19860
367.00	0.20258
368.00	0.20656
369.00	0.21059
370.00	0.21461
371.00	0.21974
372.00	0.22487
373.00	0.22998
374.00	0.23509
375.00	0.24079
376.00	0.24648
377.00	0.25234
378.00	0.25821
379.00	0.26446
380.00	0.27071
381.00	0.27703
382.00	0.28335
383.00	0.29041
384.00	0.29746
385.00	0.30449
386.00	0.31151
387.00	0.31882
388.00	0.32614
389.00	0.33371
390.00	0.34128
391.00	0.34946
392.00	0.35764
393.00	0.36554
394.00	0.37344
395.00	0.38199
396.00	0.39054
397.00	0.39897
398.00	0.40740
399.00	0.41568
400.00	0.42395
401.00	0.43223
402.00	0.44051
403.00	0.44940
404.00	0.45828
405.00	0.46668
406.00	0.47508
407.00	0.48340
408.00	0.49173
409.00	0.50020
