Wavelength (nm)	FL151 [12] 569-18-6, Meliternin [D]
220.00	22950
221.00	22759
222.00	22550
223.00	22341
224.00	22144
225.00	21950
226.00	21750
227.00	21542
228.00	21334
229.00	21088
230.00	20828
231.00	20568
232.00	20309
233.00	20050
234.00	19791
235.00	19513
236.00	19218
237.00	18932
238.00	18669
239.00	18481
240.00	18344
241.00	18432
242.00	18588
243.00	18811
244.00	19055
245.00	19370
246.00	19688
247.00	20056
248.00	20424
249.00	20821
250.00	21218
251.00	21784
252.00	22242
253.00	22400
254.00	22004
255.00	21618
256.00	21150
257.00	20657
258.00	20156
259.00	19393
260.00	18876
261.00	18432
262.00	18082
263.00	17923
264.00	17811
265.00	17822
266.00	17843
267.00	17893
268.00	17964
269.00	18043
270.00	18130
271.00	18199
272.00	18186
273.00	17902
274.00	16967
275.00	16032
276.00	15096
277.00	14104
278.00	13066
279.00	12028
280.00	11373
281.00	10766
282.00	10257
283.00	9814.1
284.00	9419.1
285.00	9128.9
286.00	9001.0
287.00	8951.0
288.00	8926.0
289.00	8926.0
290.00	8926.3
291.00	8941.3
292.00	8956.3
293.00	8971.4
294.00	8990.3
295.00	9019.1
296.00	9047.9
297.00	9076.8
298.00	9123.4
299.00	9203.2
300.00	9283.0
301.00	9375.5
302.00	9483.4
303.00	9591.2
304.00	9701.3
305.00	9839.8
306.00	9978.3
307.00	10117
308.00	10276
309.00	10450
310.00	10624
311.00	10798
312.00	11039
313.00	11280
314.00	11521
315.00	11770
316.00	12043
317.00	12316
318.00	12588
319.00	12876
320.00	13182
321.00	13488
322.00	13792
323.00	14068
324.00	14344
325.00	14619
326.00	14895
327.00	15172
328.00	15448
329.00	15724
330.00	15987
331.00	16246
332.00	16505
333.00	16764
334.00	16999
335.00	17224
336.00	17449
337.00	17674
338.00	17888
339.00	18088
340.00	18287
341.00	18487
342.00	18686
343.00	18857
344.00	19025
345.00	19131
346.00	19220
347.00	19296
348.00	19352
349.00	19408
350.00	19420
351.00	19431
352.00	19326
353.00	19170
354.00	18932
355.00	18685
356.00	18431
357.00	18176
358.00	17847
359.00	17506
360.00	17164
361.00	16789
362.00	16366
363.00	15943
364.00	15488
365.00	15015
366.00	14542
367.00	14047
368.00	13486
369.00	12910
370.00	12292
371.00	11669
372.00	10941
373.00	10212
374.00	9555.5
375.00	8907.2
376.00	8317.4
377.00	7872.9
