Wavelength (nm)	Angew 2016_15760, E1-me (MeOH) ems [Z]
435.00	0.058348
436.00	0.061028
437.00	0.063708
438.00	0.066381
439.00	0.068994
440.00	0.071720
441.00	0.078070
442.00	0.086226
443.00	0.098400
444.00	0.11057
445.00	0.12158
446.00	0.13217
447.00	0.14283
448.00	0.15400
449.00	0.16818
450.00	0.17481
451.00	0.17395
452.00	0.18478
453.00	0.19833
454.00	0.21920
455.00	0.21490
456.00	0.24675
457.00	0.27084
458.00	0.27138
459.00	0.28457
460.00	0.29659
461.00	0.30682
462.00	0.32413
463.00	0.35262
464.00	0.36791
465.00	0.37706
466.00	0.38414
467.00	0.38136
468.00	0.42565
469.00	0.44661
470.00	0.46460
471.00	0.50006
472.00	0.52965
473.00	0.51931
474.00	0.52981
475.00	0.55363
476.00	0.59349
477.00	0.60461
478.00	0.63533
479.00	0.68385
480.00	0.70867
481.00	0.69924
482.00	0.71887
483.00	0.76131
484.00	0.84367
485.00	0.88484
486.00	0.92970
487.00	0.96615
488.00	0.98308
489.00	1.0000
490.00	0.97269
491.00	0.92113
492.00	0.92911
493.00	0.91810
494.00	0.88811
495.00	0.88321
496.00	0.91229
497.00	0.92979
498.00	0.90019
499.00	0.88409
500.00	0.89745
501.00	0.91253
502.00	0.92886
503.00	0.90852
504.00	0.88629
505.00	0.89249
506.00	0.90457
507.00	0.88855
508.00	0.86313
509.00	0.85131
510.00	0.84870
511.00	0.85167
512.00	0.86374
513.00	0.85274
514.00	0.84046
515.00	0.84394
516.00	0.84860
517.00	0.86377
518.00	0.83454
519.00	0.84320
520.00	0.85185
521.00	0.83411
522.00	0.81275
523.00	0.78961
524.00	0.81388
525.00	0.79184
526.00	0.78101
527.00	0.77265
528.00	0.75557
529.00	0.77059
530.00	0.78263
531.00	0.76442
532.00	0.74651
533.00	0.72870
534.00	0.71493
535.00	0.71360
536.00	0.71817
537.00	0.70868
538.00	0.68625
539.00	0.66872
540.00	0.67656
541.00	0.68156
542.00	0.67039
543.00	0.64077
544.00	0.61678
545.00	0.60798
546.00	0.60108
547.00	0.60015
548.00	0.59923
549.00	0.59251
550.00	0.57336
551.00	0.56225
552.00	0.55204
553.00	0.54289
554.00	0.56195
555.00	0.53674
556.00	0.51259
557.00	0.51352
558.00	0.50602
559.00	0.49216
560.00	0.47484
561.00	0.45521
562.00	0.47154
563.00	0.47757
564.00	0.44341
565.00	0.42832
566.00	0.40893
567.00	0.38568
568.00	0.38041
569.00	0.39773
570.00	0.38282
571.00	0.36447
572.00	0.38249
573.00	0.38702
574.00	0.37507
575.00	0.36750
576.00	0.36071
577.00	0.36239
578.00	0.36883
579.00	0.35950
580.00	0.32955
581.00	0.31797
582.00	0.30858
583.00	0.28335
584.00	0.27441
585.00	0.27367
586.00	0.28040
587.00	0.28154
588.00	0.27474
589.00	0.26823
590.00	0.26266
591.00	0.25973
592.00	0.26397
593.00	0.26820
594.00	0.24443
595.00	0.24178
596.00	0.23914
597.00	0.23571
598.00	0.23177
599.00	0.23345
600.00	0.24011
601.00	0.24333
602.00	0.21123
603.00	0.20012
604.00	0.19379
605.00	0.20258
606.00	0.21137
607.00	0.20461
608.00	0.19205
609.00	0.17490
610.00	0.16984
611.00	0.16280
612.00	0.15503
613.00	0.15183
614.00	0.16097
615.00	0.16538
616.00	0.14820
617.00	0.14280
618.00	0.14557
619.00	0.14562
620.00	0.12742
621.00	0.11593
622.00	0.10633
623.00	0.11789
624.00	0.12722
625.00	0.13380
626.00	0.14037
627.00	0.13599
628.00	0.13011
629.00	0.11804
630.00	0.10432
631.00	0.10453
632.00	0.11071
633.00	0.11760
634.00	0.12522
635.00	0.12392
636.00	0.11440
637.00	0.10779
638.00	0.10191
639.00	0.11097
640.00	0.11642
641.00	0.10458
642.00	0.098358
643.00	0.10058
644.00	0.10279
645.00	0.10216
646.00	0.095483
647.00	0.092772
648.00	0.094359
649.00	0.087366
650.00	0.077663
651.00	0.073974
652.00	0.071884
653.00	0.077978
654.00	0.081086
655.00	0.081086
656.00	0.077727
657.00	0.066401
658.00	0.074065
659.00	0.071973
660.00	0.057465
661.00	0.057584
662.00	0.060489
663.00	0.063188
664.00	0.055808
665.00	0.048427
666.00	0.049180
667.00	0.051967
668.00	0.047751
669.00	0.042200
670.00	0.037820
671.00	0.035348
672.00	0.034306
673.00	0.040243
674.00	0.042133
675.00	0.035807
676.00	0.029481
677.00	0.029794
678.00	0.032440
679.00	0.033950
680.00	0.029491
681.00	0.025033
682.00	0.026372
683.00	0.030079
684.00	0.034691
685.00	0.033841
686.00	0.026875
687.00	0.022522
688.00	0.020307
689.00	0.025860
690.00	0.026965
691.00	0.019302
692.00	0.021775
693.00	0.029233
694.00	0.024470
695.00	0.019707
696.00	0.020861
697.00	0.023307
698.00	0.021337
699.00	0.018301
700.00	0.0087202
