Wavelength (nm)	HeptaCOOHP I (in 1 N aqHCl).abs
634.00	0.00034400
635.00	0.00034100
636.00	0.00029000
637.00	0.00038200
638.00	0.00027400
639.00	0.00030500
640.00	0.00026700
641.00	0.00024000
642.00	0.00020700
643.00	0.00016600
644.00	0.00029300
645.00	0.00025500
646.00	0.00023200
647.00	0.00024000
648.00	0.00019200
649.00	0.00023900
650.00	0.00013600
651.00	0.00017400
652.00	0.00020900
653.00	0.00020000
654.00	0.00012600
655.00	0.00064500
656.00	6.7700e-05
657.00	0.00038500
658.00	0.00035600
659.00	0.00011200
660.00	0.00017900
661.00	0.00015300
662.00	0.00017500
663.00	0.00018600
664.00	0.00016100
665.00	5.9200e-05
666.00	6.8700e-05
667.00	0.00013500
668.00	9.6200e-05
669.00	0.00011700
670.00	7.7700e-05
671.00	0.00013300
672.00	0.00012400
673.00	0.00014300
674.00	8.6700e-05
675.00	0.00015200
676.00	0.00013800
677.00	0.00010100
678.00	6.7700e-05
679.00	0.00014900
680.00	0.00014000
681.00	8.3500e-05
682.00	0.00012100
683.00	0.00012800
684.00	7.9800e-05
685.00	0.00012900
686.00	0.00012400
687.00	9.7800e-05
688.00	0.00016300
689.00	9.5700e-05
690.00	7.8300e-05
691.00	9.7800e-05
692.00	0.00012600
693.00	7.4600e-05
694.00	8.4600e-05
695.00	0.00015200
696.00	0.00013000
697.00	0.00013700
698.00	0.00010500
699.00	0.00012600
700.00	0.00013600
