Wavelength (nm)	Chem Eur J 2018_2987, Z4-Me (MeOH) abs [Z]
250.00	0.37163
251.00	0.36002
252.00	0.34787
253.00	0.33564
254.00	0.32600
255.00	0.31907
256.00	0.31482
257.00	0.31297
258.00	0.31111
259.00	0.31231
260.00	0.31400
261.00	0.31569
262.00	0.31820
263.00	0.32097
264.00	0.32450
265.00	0.32921
266.00	0.33393
267.00	0.33816
268.00	0.34219
269.00	0.34478
270.00	0.34609
271.00	0.34740
272.00	0.34832
273.00	0.34890
274.00	0.34947
275.00	0.35004
276.00	0.35070
277.00	0.35138
278.00	0.35206
279.00	0.35275
280.00	0.35423
281.00	0.35582
282.00	0.35792
283.00	0.36080
284.00	0.36368
285.00	0.36731
286.00	0.37111
287.00	0.37491
288.00	0.38052
289.00	0.38686
290.00	0.39387
291.00	0.40310
292.00	0.41233
293.00	0.42229
294.00	0.43366
295.00	0.44503
296.00	0.45651
297.00	0.46823
298.00	0.47995
299.00	0.49167
300.00	0.50259
301.00	0.51319
302.00	0.52380
303.00	0.53457
304.00	0.54535
305.00	0.55502
306.00	0.56465
307.00	0.57175
308.00	0.57776
309.00	0.58170
310.00	0.58371
311.00	0.58279
312.00	0.58164
313.00	0.57864
314.00	0.57353
315.00	0.56466
316.00	0.55516
317.00	0.54297
318.00	0.53078
319.00	0.51614
320.00	0.49906
321.00	0.48197
322.00	0.46291
323.00	0.44303
324.00	0.42315
325.00	0.40284
326.00	0.38065
327.00	0.35847
328.00	0.33629
329.00	0.31508
330.00	0.29415
331.00	0.27322
332.00	0.25100
333.00	0.22530
334.00	0.19961
335.00	0.18347
336.00	0.16743
337.00	0.15197
338.00	0.14171
339.00	0.13145
340.00	0.12119
341.00	0.11312
342.00	0.10603
343.00	0.099224
344.00	0.094985
345.00	0.091103
346.00	0.089408
347.00	0.087713
348.00	0.087783
349.00	0.089241
350.00	0.090699
351.00	0.092633
352.00	0.094941
353.00	0.097249
354.00	0.099867
355.00	0.10424
356.00	0.10861
357.00	0.11332
358.00	0.11906
359.00	0.12479
360.00	0.13052
361.00	0.13710
362.00	0.14399
363.00	0.15087
