Wavelength (nm)	FL063 [11] 42079-78-7, 5-Methoxyflavone [C]
210.00	21067
211.00	20525
212.00	20089
213.00	19576
214.00	18881
215.00	17980
216.00	16962
217.00	15918
218.00	14953
219.00	14066
220.00	13287
221.00	12609
222.00	12029
223.00	11468
224.00	10863
225.00	10155
226.00	9390.0
227.00	8634.5
228.00	7925.0
229.00	7295.3
230.00	6761.6
231.00	6333.7
232.00	6051.2
233.00	5882.8
234.00	5845.9
235.00	5922.7
236.00	6105.0
237.00	6396.5
238.00	6777.7
239.00	7247.7
240.00	7798.3
241.00	8410.8
242.00	9091.0
243.00	9818.0
244.00	10591
245.00	11378
246.00	12201
247.00	13048
248.00	13906
249.00	14786
250.00	15667
251.00	16556
252.00	17433
253.00	18285
254.00	19089
255.00	19828
256.00	20504
257.00	21112
258.00	21664
259.00	22156
260.00	22570
261.00	22933
262.00	23201
263.00	23400
264.00	23500
265.00	23495
266.00	23412
267.00	23134
268.00	22690
269.00	22106
270.00	21388
271.00	20562
272.00	19668
273.00	18706
274.00	17757
275.00	16838
276.00	15976
277.00	15177
278.00	14467
279.00	13844
280.00	13307
281.00	12870
282.00	12522
283.00	12259
284.00	12066
285.00	11930
286.00	11841
287.00	11798
288.00	11786
289.00	11797
290.00	11832
291.00	11865
292.00	11885
293.00	11860
294.00	11771
295.00	11587
296.00	11303
297.00	10942
298.00	10500
299.00	10041
300.00	9599.8
301.00	9197.7
302.00	8845.1
303.00	8549.7
304.00	8317.1
305.00	8140.3
306.00	8030.2
307.00	7973.1
308.00	7980.6
309.00	8036.4
310.00	8110.3
311.00	8234.5
312.00	8389.9
313.00	8542.7
314.00	8716.2
315.00	8892.5
316.00	9067.1
317.00	9247.0
318.00	9385.0
319.00	9511.8
320.00	9634.9
321.00	9709.5
322.00	9768.3
323.00	9809.0
324.00	9824.2
325.00	9788.6
326.00	9728.6
327.00	9625.0
328.00	9506.1
329.00	9345.0
330.00	9149.7
331.00	8925.3
332.00	8668.3
333.00	8379.9
334.00	8070.3
335.00	7748.7
336.00	7406.1
337.00	7055.2
338.00	6684.2
339.00	6317.5
340.00	5953.1
341.00	5589.2
342.00	5224.0
343.00	4870.3
344.00	4512.3
345.00	4178.8
346.00	3846.6
347.00	3526.2
348.00	3221.4
349.00	2944.6
350.00	2667.5
351.00	2406.3
352.00	2164.5
353.00	1938.8
354.00	1728.5
355.00	1537.1
356.00	1368.4
357.00	1220.2
358.00	1076.1
359.00	952.96
360.00	825.68
361.00	719.54
362.00	624.16
363.00	536.07
364.00	458.80
365.00	393.15
366.00	332.50
367.00	276.92
368.00	236.04
369.00	206.99
370.00	170.05
371.00	147.65
372.00	122.93
373.00	110.67
374.00	94.561
375.00	69.602
376.00	70.034
377.00	54.221
378.00	52.593
379.00	42.668
380.00	19.519
381.00	26.925
382.00	29.764
383.00	21.426
384.00	24.377
385.00	26.020
386.00	23.570
387.00	20.688
388.00	21.746
389.00	8.3416
390.00	6.9497
391.00	2.9379
392.00	12.782
393.00	15.984
394.00	14.995
395.00	4.5276
396.00	9.0098
397.00	6.5043
398.00	14.898
399.00	14.814
400.00	8.3416
401.00	5.9474
402.00	2.8295
403.00	5.1958
404.00	9.6919
405.00	12.044
406.00	12.156
407.00	8.1885
408.00	9.9703
409.00	7.1585
410.00	8.0494
411.00	10.082
412.00	20.382
413.00	5.4046
414.00	10.917
415.00	17.000
416.00	9.2047
417.00	10.096
418.00	10.945
419.00	13.144
420.00	12.504
421.00	15.204
422.00	9.3439
423.00	5.8500
424.00	9.9146
425.00	13.882
426.00	6.1692
427.00	10.416
428.00	12.003
429.00	6.8244
430.00	7.8405
431.00	6.9497
432.00	9.4274
433.00	11.014
434.00	10.833
435.00	16.888
436.00	18.656
437.00	19.199
438.00	14.564
439.00	6.6574
440.00	10.026
441.00	18.127
442.00	19.756
443.00	16.387
444.00	22.234
445.00	21.816
446.00	19.065
447.00	21.621
448.00	23.069
449.00	27.132
450.00	19.132
451.00	18.893
452.00	26.075
453.00	22.832
454.00	24.015
455.00	27.551
456.00	30.585
457.00	29.848
458.00	26.075
459.00	23.737
460.00	25.143
461.00	23.152
462.00	26.980
463.00	31.866
464.00	34.274
465.00	37.754
466.00	27.273
467.00	33.550
468.00	32.367
469.00	45.939
470.00	46.148
471.00	41.638
472.00	41.304
473.00	30.070
474.00	39.146
475.00	34.775
476.00	43.308
477.00	42.668
478.00	31.435
479.00	31.379
480.00	22.985
481.00	27.008
482.00	36.627
483.00	27.050
484.00	40.496
485.00	35.931
486.00	12.754
487.00	22.261
488.00	20.076
489.00	29.667
490.00	44.436
491.00	46.830
492.00	53.414
493.00	30.391
494.00	34.469
495.00	36.473
496.00	46.106
497.00	49.878
498.00	47.470
499.00	39.675
500.00	41.415
