Wavelength (nm)	Toly K (2021)
300.00	0.070200
301.00	0.071533
302.00	0.073132
303.00	0.073561
304.00	0.074038
305.00	0.073947
306.00	0.073943
307.00	0.075313
308.00	0.075495
309.00	0.076285
310.00	0.077031
311.00	0.077010
312.00	0.077758
313.00	0.079089
314.00	0.080293
315.00	0.081777
316.00	0.081878
317.00	0.083402
318.00	0.083989
319.00	0.085061
320.00	0.084762
321.00	0.084844
322.00	0.084228
323.00	0.083118
324.00	0.083561
325.00	0.082387
326.00	0.082655
327.00	0.082109
328.00	0.081551
329.00	0.081418
330.00	0.081573
331.00	0.080778
332.00	0.080824
333.00	0.079108
334.00	0.080397
335.00	0.081921
336.00	0.082520
337.00	0.082533
338.00	0.082567
339.00	0.084026
340.00	0.087008
341.00	0.089373
342.00	0.091971
343.00	0.095196
344.00	0.099793
345.00	0.10390
346.00	0.11139
347.00	0.11674
348.00	0.12268
349.00	0.12780
350.00	0.13533
351.00	0.14404
352.00	0.14989
353.00	0.15757
354.00	0.16460
355.00	0.17120
356.00	0.17993
357.00	0.18649
358.00	0.19344
359.00	0.20060
360.00	0.20864
361.00	0.21772
362.00	0.22529
363.00	0.23151
364.00	0.23975
365.00	0.25156
366.00	0.26326
367.00	0.27644
368.00	0.28864
369.00	0.30094
370.00	0.31835
371.00	0.33340
372.00	0.35085
373.00	0.36766
374.00	0.38689
375.00	0.40821
376.00	0.43283
377.00	0.45537
378.00	0.47644
379.00	0.49607
380.00	0.51901
381.00	0.53864
382.00	0.56239
383.00	0.58213
384.00	0.60616
385.00	0.62972
386.00	0.65924
387.00	0.69240
388.00	0.72767
389.00	0.76093
390.00	0.80277
391.00	0.84859
392.00	0.89473
393.00	0.92832
394.00	0.95497
395.00	0.97964
396.00	0.99593
397.00	1.0000
398.00	0.99358
399.00	0.97937
400.00	0.95185
401.00	0.91726
402.00	0.86469
403.00	0.81139
404.00	0.75823
405.00	0.69381
406.00	0.62952
407.00	0.55837
408.00	0.48997
409.00	0.43044
410.00	0.37693
411.00	0.32312
412.00	0.27640
413.00	0.23636
414.00	0.19969
415.00	0.17451
416.00	0.14979
417.00	0.12876
418.00	0.10787
419.00	0.093546
420.00	0.080715
421.00	0.069765
422.00	0.060997
423.00	0.052843
424.00	0.045638
425.00	0.040394
426.00	0.036670
427.00	0.032310
428.00	0.029024
429.00	0.026359
430.00	0.024051
431.00	0.022105
432.00	0.020099
433.00	0.018718
434.00	0.017020
435.00	0.016140
436.00	0.015164
437.00	0.014170
438.00	0.013207
439.00	0.012245
440.00	0.011916
441.00	0.011098
442.00	0.010551
443.00	0.010183
444.00	0.0098228
445.00	0.0091516
446.00	0.0092370
447.00	0.0091173
448.00	0.0088825
449.00	0.0089207
450.00	0.0087489
451.00	0.0088567
452.00	0.0089527
453.00	0.0089739
454.00	0.0092595
455.00	0.0089532
456.00	0.0096054
457.00	0.0096918
458.00	0.0098627
459.00	0.010777
460.00	0.011120
461.00	0.011217
462.00	0.011781
463.00	0.012326
464.00	0.013272
465.00	0.014371
466.00	0.014804
467.00	0.015814
468.00	0.016844
469.00	0.017630
470.00	0.019202
471.00	0.020025
472.00	0.021302
473.00	0.022435
474.00	0.023409
475.00	0.024439
476.00	0.025655
477.00	0.026464
478.00	0.027192
479.00	0.027951
480.00	0.028426
481.00	0.029169
482.00	0.030041
483.00	0.030582
484.00	0.031039
485.00	0.031298
486.00	0.032809
487.00	0.034827
488.00	0.036598
489.00	0.038142
490.00	0.040009
491.00	0.041993
492.00	0.043978
493.00	0.045408
494.00	0.047351
495.00	0.049106
496.00	0.050766
497.00	0.051988
498.00	0.053096
499.00	0.054082
500.00	0.054296
501.00	0.053459
502.00	0.052658
503.00	0.051279
504.00	0.049281
505.00	0.046559
506.00	0.042949
507.00	0.039503
508.00	0.036683
509.00	0.033044
510.00	0.029787
511.00	0.026935
512.00	0.023591
513.00	0.021435
514.00	0.019421
515.00	0.017575
516.00	0.016126
517.00	0.014789
518.00	0.013834
519.00	0.013243
520.00	0.013383
521.00	0.013437
522.00	0.013740
523.00	0.014809
524.00	0.016326
525.00	0.018786
526.00	0.021344
527.00	0.024802
528.00	0.028420
529.00	0.032093
530.00	0.034105
531.00	0.037271
532.00	0.039214
533.00	0.040876
534.00	0.041034
535.00	0.041370
536.00	0.041539
537.00	0.041238
538.00	0.040412
539.00	0.039761
540.00	0.038025
541.00	0.036069
542.00	0.033868
543.00	0.032075
544.00	0.029990
545.00	0.028329
546.00	0.026065
547.00	0.023619
548.00	0.021505
549.00	0.019467
550.00	0.018227
551.00	0.016770
552.00	0.015475
553.00	0.014570
554.00	0.013153
555.00	0.012726
556.00	0.011755
557.00	0.010891
558.00	0.0099933
559.00	0.0091667
560.00	0.0085081
561.00	0.0081413
562.00	0.0081330
563.00	0.0077710
564.00	0.0079144
565.00	0.0080872
566.00	0.0082943
567.00	0.0083979
568.00	0.0091634
569.00	0.0098810
570.00	0.010490
571.00	0.012254
572.00	0.014316
573.00	0.015733
574.00	0.017779
575.00	0.020964
576.00	0.023652
577.00	0.026340
578.00	0.028109
579.00	0.028288
580.00	0.027545
581.00	0.027367
582.00	0.025740
583.00	0.025672
584.00	0.024531
585.00	0.024349
586.00	0.024868
587.00	0.023558
588.00	0.021932
589.00	0.020035
590.00	0.017279
591.00	0.015849
592.00	0.014738
593.00	0.013798
594.00	0.013125
595.00	0.012052
596.00	0.010933
597.00	0.0099193
598.00	0.0088518
599.00	0.0080390
600.00	0.0077384
601.00	0.0073563
602.00	0.0071172
603.00	0.0073724
604.00	0.0075755
605.00	0.0080456
606.00	0.0083210
607.00	0.0087533
608.00	0.0092249
609.00	0.0095339
610.00	0.0096825
611.00	0.0092547
612.00	0.0085901
613.00	0.0085866
614.00	0.0085037
615.00	0.0087911
616.00	0.010438
617.00	0.012080
618.00	0.013621
619.00	0.015441
620.00	0.016361
621.00	0.019834
622.00	0.022644
623.00	0.025579
624.00	0.029044
625.00	0.032132
626.00	0.037115
627.00	0.044437
628.00	0.052562
629.00	0.066963
630.00	0.082952
631.00	0.10065
632.00	0.11787
633.00	0.13577
634.00	0.15162
635.00	0.16176
636.00	0.15856
637.00	0.14686
638.00	0.12592
639.00	0.10281
640.00	0.080125
641.00	0.058958
642.00	0.041955
643.00	0.029504
644.00	0.022045
645.00	0.017423
646.00	0.013531
647.00	0.010565
648.00	0.0089307
649.00	0.0070350
650.00	0.0058094
651.00	0.0044948
652.00	0.0040440
653.00	0.0032697
654.00	0.0034162
655.00	0.0030584
656.00	0.0026177
657.00	0.0020414
658.00	0.0017640
659.00	0.0018541
660.00	0.0018406
661.00	0.0017289
662.00	0.0021981
663.00	0.0021478
664.00	0.0025095
665.00	0.0027218
666.00	0.0023515
667.00	0.0027474
668.00	0.0024274
669.00	0.0027229
670.00	0.0028159
671.00	0.0028490
672.00	0.0028453
673.00	0.0026931
674.00	0.0029103
675.00	0.0026878
676.00	0.0028987
677.00	0.0029297
678.00	0.0029366
679.00	0.0026496
680.00	0.0030141
681.00	0.0032480
682.00	0.0034968
683.00	0.0032384
684.00	0.0032804
685.00	0.0035878
686.00	0.0034341
687.00	0.0032262
688.00	0.0027749
689.00	0.0024064
690.00	0.0018591
691.00	0.0020430
692.00	0.0016145
693.00	0.0017445
694.00	0.0016976
695.00	0.0018352
696.00	0.0021341
697.00	0.0021519
698.00	0.0021046
699.00	0.00085107
700.00	0.00089541
701.00	0.00085198
702.00	0.00098428
703.00	0.0011579
704.00	0.0020906
705.00	0.0020892
706.00	0.00075131
707.00	0.00032395
708.00	0.0011327
709.00	0.00057105
710.00	-0.00039471
711.00	6.3127e-06
712.00	0.0011668
713.00	0.0013501
714.00	0.0014830
715.00	0.0017279
716.00	0.0016727
717.00	0.00072414
718.00	0.0014418
719.00	0.0015243
720.00	0.0015485
721.00	0.00088121
722.00	0.00062098
723.00	0.00075514
724.00	0.00061458
725.00	0.00085971
726.00	0.00067762
727.00	0.00090360
728.00	0.0011590
729.00	0.0014624
730.00	0.0013750
731.00	0.0015159
732.00	0.0011660
733.00	0.0014111
734.00	0.0013851
735.00	0.0015263
736.00	0.0015233
737.00	0.0012414
738.00	0.0018347
739.00	0.0011882
740.00	0.0014704
741.00	0.0015937
742.00	0.00073388
743.00	0.00038735
744.00	0.00035823
745.00	0.00038206
746.00	0.00059552
747.00	0.0011102
748.00	0.00078229
749.00	0.00071842
750.00	0.0013666
751.00	0.0014926
752.00	0.00051976
753.00	0.0017495
754.00	0.0011307
755.00	0.0016057
756.00	0.0013465
757.00	0.0013589
758.00	0.00084960
759.00	0.0011219
760.00	0.00017302
761.00	0.0011377
762.00	0.00027846
763.00	0.00058698
764.00	0.00092652
765.00	0.00047289
766.00	0.00052110
767.00	0.0011057
768.00	0.00097435
769.00	0.00035890
770.00	0.0014334
771.00	0.00053497
772.00	0.00071715
773.00	0.0011369
774.00	0.00064574
775.00	0.00077939
776.00	0.0010364
777.00	0.00089892
778.00	0.0017849
779.00	0.0016909
780.00	0.0020675
781.00	0.0025663
782.00	0.0018250
783.00	0.0025190
784.00	0.0024005
785.00	0.0019501
786.00	0.0016439
787.00	0.0014217
788.00	0.0013066
789.00	0.0013853
790.00	0.00073674
791.00	0.00063123
792.00	0.00051512
793.00	0.0016095
794.00	0.00068205
795.00	0.00070270
796.00	0.00058660
797.00	0.00016326
798.00	-0.00023783
799.00	0.00021165
800.00	0.00019415
