Wavelength (nm)	Cu(II) UroP I (in DMSO).abs
645.00	0.0013734
646.00	0.0011836
647.00	0.0011995
648.00	0.0011781
649.00	0.0012123
650.00	0.0011220
651.00	0.0012690
652.00	0.0011403
653.00	0.0011458
654.00	0.0011104
655.00	0.00068821
656.00	0.00076771
657.00	0.00076771
658.00	0.00076771
659.00	0.00086637
660.00	0.00094263
661.00	0.00096521
662.00	0.00088955
663.00	0.00085722
664.00	0.00077850
665.00	0.00081695
666.00	0.00071262
667.00	0.00072787
668.00	0.00074373
669.00	0.00072299
670.00	0.00068028
671.00	0.00073398
672.00	0.00068333
673.00	0.00067845
674.00	0.00068761
675.00	0.00070835
676.00	0.00063879
677.00	0.00059608
678.00	0.00059913
679.00	0.00052470
680.00	0.00059730
681.00	0.00046186
682.00	0.00051372
683.00	0.00051677
684.00	0.00037461
685.00	0.00039231
686.00	0.00036547
687.00	0.00039353
688.00	0.00040450
689.00	0.00032519
690.00	0.00025197
691.00	0.00025625
692.00	0.00021232
693.00	0.0011531
694.00	0.00014460
695.00	0.0012568
696.00	0.0012507
697.00	0.00034167
698.00	0.00019524
699.00	0.00061035
700.00	0.00024021
