Wavelength (nm)	E02 abs e
240.00	1642.7
241.00	1409.7
242.00	1176.8
243.00	1124.1
244.00	1112.4
245.00	1151.2
246.00	1218.9
247.00	1319.8
248.00	1446.9
249.00	1603.9
250.00	1798.5
251.00	2028.4
252.00	2290.5
253.00	2594.2
254.00	2936.8
255.00	3320.6
256.00	3748.7
257.00	4212.0
258.00	4725.3
259.00	5278.3
260.00	5881.5
261.00	6509.2
262.00	7153.7
263.00	7846.3
264.00	8556.6
265.00	9263.0
266.00	9985.7
267.00	10673
268.00	11338
269.00	11993
270.00	12572
271.00	13070
272.00	13534
273.00	13887
274.00	14135
275.00	14287
276.00	14300
277.00	14185
278.00	13994
279.00	13667
280.00	13182
281.00	12625
282.00	11979
283.00	11264
284.00	10536
285.00	9795.6
286.00	9076.8
287.00	8381.2
288.00	7722.3
289.00	7111.5
290.00	6539.4
291.00	6014.7
292.00	5533.2
293.00	5090.8
294.00	4682.4
295.00	4304.4
296.00	3957.4
297.00	3631.2
298.00	3322.7
299.00	3042.1
300.00	2776.1
301.00	2526.6
302.00	2303.0
303.00	2093.6
304.00	1909.3
305.00	1738.8
306.00	1577.7
307.00	1427.4
308.00	1285.9
309.00	1150.5
310.00	1031.0
311.00	912.12
312.00	811.10
313.00	721.32
314.00	638.31
315.00	567.93
316.00	508.68
317.00	448.38
318.00	403.22
319.00	359.07
320.00	321.55
321.00	280.97
322.00	250.80
323.00	223.07
324.00	190.78
325.00	169.33
326.00	146.18
327.00	128.99
328.00	114.66
329.00	104.59
330.00	88.065
331.00	79.533
332.00	73.360
333.00	66.361
334.00	62.066
335.00	55.636
336.00	53.974
337.00	53.062
338.00	49.834
339.00	47.867
340.00	48.589
341.00	45.163
342.00	43.354
343.00	42.982
344.00	44.935
345.00	43.013
346.00	43.451
347.00	40.748
348.00	38.747
349.00	37.994
350.00	34.675
