Wavelength (nm)	B13 abs e
250.00	6008.2
251.00	5679.2
252.00	5509.7
253.00	5450.0
254.00	5468.9
255.00	5527.2
256.00	5596.5
257.00	5653.6
258.00	5701.0
259.00	5763.9
260.00	5862.5
261.00	6015.2
262.00	6216.6
263.00	6485.1
264.00	6762.9
265.00	7034.4
266.00	7218.9
267.00	7316.4
268.00	7349.8
269.00	7330.8
270.00	7317.7
271.00	7326.1
272.00	7420.8
273.00	7599.7
274.00	7849.4
275.00	8142.9
276.00	8409.0
277.00	8570.4
278.00	8590.0
279.00	8448.8
280.00	8179.4
281.00	7850.2
282.00	7545.2
283.00	7342.9
284.00	7237.4
285.00	7219.3
286.00	7294.3
287.00	7426.8
288.00	7568.2
289.00	7652.2
290.00	7518.7
291.00	7111.2
292.00	6519.8
293.00	5877.4
294.00	5254.2
295.00	4708.1
296.00	4236.2
297.00	3836.6
298.00	3506.9
299.00	3238.1
300.00	3026.3
301.00	2868.3
302.00	2763.0
303.00	2701.0
304.00	2678.8
305.00	2682.2
306.00	2693.7
307.00	2704.9
308.00	2719.7
309.00	2748.7
310.00	2804.4
311.00	2889.6
312.00	3003.6
313.00	3146.3
314.00	3308.1
315.00	3500.1
316.00	3724.4
317.00	3983.5
318.00	4260.5
319.00	4490.3
320.00	4655.3
321.00	4742.5
322.00	4761.1
323.00	4752.6
324.00	4739.7
325.00	4746.8
326.00	4797.0
327.00	4895.6
328.00	5034.3
329.00	5213.1
330.00	5433.9
331.00	5708.9
332.00	6035.3
333.00	6346.2
334.00	6559.2
335.00	6565.8
336.00	6329.6
337.00	5867.9
338.00	5219.6
339.00	4488.5
340.00	3731.4
341.00	3019.4
342.00	2375.5
343.00	1836.7
344.00	1388.3
345.00	1034.4
346.00	755.17
347.00	545.06
348.00	390.82
349.00	275.92
350.00	194.77
351.00	136.05
352.00	92.972
353.00	64.527
354.00	44.968
355.00	29.855
356.00	20.797
357.00	13.971
358.00	12.033
359.00	8.3762
360.00	5.2969
361.00	4.2095
362.00	1.3600
363.00	1.0872
364.00	1.1195
365.00	3.0539
366.00	3.9475
367.00	2.9462
368.00	5.0601
369.00	1.3093
370.00	4.0121
371.00	6.1243
372.00	2.6961
373.00	7.6391
374.00	8.7497
375.00	11.537
376.00	12.924
377.00	9.2075
378.00	14.719
379.00	12.567
380.00	13.528
381.00	9.4912
382.00	11.958
383.00	10.259
384.00	10.447
385.00	3.6416
386.00	10.251
387.00	12.648
388.00	4.4407
389.00	14.083
390.00	7.0866
391.00	12.831
392.00	11.911
393.00	7.5344
394.00	6.6032
395.00	7.5419
396.00	4.6978
397.00	1.9579
398.00	2.4707
399.00	1.3086
400.00	1.0055
