Wavelength (nm)	FL056 [10] 4626-22-6, Dihydroformononetin [M]
210.00	23224
211.00	23742
212.00	24248
213.00	24574
214.00	24717
215.00	24730
216.00	24683
217.00	24713
218.00	24740
219.00	24502
220.00	23828
221.00	22782
222.00	21713
223.00	20808
224.00	20138
225.00	19666
226.00	19280
227.00	18924
228.00	18517
229.00	18055
230.00	17425
231.00	16528
232.00	15330
233.00	13983
234.00	12744
235.00	11733
236.00	10915
237.00	10237
238.00	9632.5
239.00	9004.2
240.00	8292.8
241.00	7483.8
242.00	6565.3
243.00	5628.9
244.00	4767.5
245.00	4087.2
246.00	3605.3
247.00	3341.1
248.00	3251.8
249.00	3288.7
250.00	3411.4
251.00	3602.4
252.00	3844.8
253.00	4124.0
254.00	4442.2
255.00	4801.8
256.00	5193.3
257.00	5608.2
258.00	6068.1
259.00	6548.0
260.00	7063.6
261.00	7603.8
262.00	8155.0
263.00	8734.3
264.00	9313.0
265.00	9910.0
266.00	10500
267.00	11077
268.00	11624
269.00	12170
270.00	12659
271.00	13113
272.00	13524
273.00	13894
274.00	14194
275.00	14397
276.00	14492
277.00	14469
278.00	14332
279.00	14138
280.00	13926
281.00	13681
282.00	13362
283.00	12947
284.00	12414
285.00	11802
286.00	11181
287.00	10554
288.00	9946.6
289.00	9387.0
290.00	8879.7
291.00	8426.4
292.00	8030.9
293.00	7696.9
294.00	7442.9
295.00	7232.7
296.00	7081.8
297.00	6990.0
298.00	6936.5
299.00	6925.4
300.00	6950.3
301.00	7001.9
302.00	7067.0
303.00	7140.9
304.00	7218.4
305.00	7295.9
306.00	7370.0
307.00	7440.5
308.00	7522.2
309.00	7609.0
310.00	7675.2
311.00	7716.5
312.00	7746.8
313.00	7752.1
314.00	7714.9
315.00	7638.2
316.00	7514.4
317.00	7339.0
318.00	7140.4
319.00	6893.0
320.00	6625.8
321.00	6343.6
322.00	6068.7
323.00	5770.4
324.00	5472.4
325.00	5166.4
326.00	4843.6
327.00	4527.0
328.00	4196.1
329.00	3858.6
330.00	3507.8
331.00	3171.0
332.00	2833.2
333.00	2516.6
334.00	2222.5
335.00	1950.0
336.00	1704.0
337.00	1488.4
338.00	1289.2
339.00	1123.6
340.00	978.18
341.00	853.04
342.00	751.26
343.00	658.48
344.00	577.74
345.00	516.06
346.00	456.44
347.00	408.05
348.00	363.73
349.00	332.11
350.00	289.88
351.00	270.49
352.00	247.98
353.00	227.05
354.00	210.85
355.00	200.68
356.00	182.89
357.00	165.43
358.00	154.35
359.00	144.22
360.00	134.87
361.00	134.66
362.00	111.19
363.00	101.07
364.00	97.508
365.00	93.541
366.00	89.036
367.00	78.708
368.00	68.303
369.00	59.996
370.00	65.513
371.00	53.661
372.00	46.942
373.00	48.657
374.00	33.286
375.00	47.467
376.00	47.352
377.00	39.314
378.00	28.257
379.00	34.937
380.00	33.926
381.00	19.925
382.00	28.781
383.00	38.073
384.00	30.637
385.00	22.830
386.00	23.009
387.00	19.682
388.00	22.395
389.00	20.680
390.00	38.342
391.00	14.870
392.00	16.559
393.00	14.524
394.00	15.113
395.00	11.273
396.00	13.974
397.00	13.935
398.00	5.3221
399.00	11.772
400.00	5.7957
401.00	7.2931
402.00	16.188
403.00	17.135
404.00	17.237
405.00	12.950
406.00	13.731
407.00	15.279
408.00	0.90673
409.00	14.115
410.00	4.4902
411.00	11.760
412.00	14.473
413.00	12.924
414.00	11.273
415.00	3.5560
416.00	7.9458
417.00	16.277
418.00	14.998
419.00	17.506
420.00	16.700
421.00	13.014
422.00	4.6438
423.00	9.8911
424.00	12.003
425.00	4.8614
426.00	20.578
427.00	2.5193
428.00	2.5961
429.00	15.138
430.00	11.081
431.00	19.106
432.00	20.015
433.00	8.3809
434.00	15.318
435.00	17.762
436.00	14.934
437.00	14.460
438.00	12.374
439.00	10.467
440.00	4.1319
441.00	12.310
442.00	18.108
443.00	14.179
444.00	5.9109
445.00	12.758
446.00	7.8562
447.00	22.869
448.00	8.5345
449.00	19.938
450.00	21.243
451.00	16.892
452.00	17.391
453.00	22.433
454.00	17.084
455.00	16.879
456.00	14.166
457.00	8.8033
458.00	11.926
459.00	21.922
460.00	17.570
461.00	21.934
462.00	16.009
463.00	2.9545
464.00	18.965
465.00	13.462
466.00	6.9091
467.00	7.4850
468.00	14.537
469.00	21.845
470.00	11.184
471.00	1.7898
472.00	7.8562
473.00	15.318
474.00	18.620
475.00	26.977
476.00	32.544
477.00	45.150
478.00	28.705
479.00	5.4501
480.00	3.0184
481.00	16.943
482.00	19.080
483.00	26.030
484.00	28.692
485.00	7.7666
486.00	16.853
487.00	18.453
488.00	5.4117
489.00	4.7206
490.00	20.245
491.00	17.762
492.00	34.182
493.00	14.089
494.00	17.468
495.00	2.8521
496.00	13.551
497.00	3.0952
498.00	34.656
499.00	35.564
500.00	25.315
