Wavelength (nm)	P01 abs e
200.00	37070
201.00	36801
202.00	36684
203.00	36654
204.00	36585
205.00	36584
206.00	36546
207.00	36331
208.00	36000
209.00	35662
210.00	35223
211.00	34571
212.00	33768
213.00	32974
214.00	32289
215.00	31656
216.00	31011
217.00	30387
218.00	29768
219.00	29168
220.00	28550
221.00	27895
222.00	27166
223.00	26376
224.00	25462
225.00	24457
226.00	23341
227.00	22182
228.00	20962
229.00	19761
230.00	18556
231.00	17403
232.00	16322
233.00	15275
234.00	14293
235.00	13347
236.00	12459
237.00	11592
238.00	10762
239.00	9978.0
240.00	9218.0
241.00	8486.1
242.00	7797.6
243.00	7130.2
244.00	6498.8
245.00	5910.1
246.00	5346.0
247.00	4822.1
248.00	4336.2
249.00	3892.8
250.00	3484.6
251.00	3114.7
252.00	2796.1
253.00	2513.9
254.00	2268.9
255.00	2056.1
256.00	1878.1
257.00	1733.0
258.00	1604.7
259.00	1486.7
260.00	1364.3
261.00	1258.1
262.00	1175.3
263.00	1113.2
264.00	1048.0
265.00	966.74
266.00	853.51
267.00	730.38
268.00	632.78
269.00	577.91
270.00	549.27
271.00	510.71
272.00	438.88
273.00	345.37
274.00	254.25
275.00	185.92
276.00	136.15
277.00	102.87
278.00	80.999
279.00	65.843
280.00	57.425
281.00	45.968
282.00	41.910
283.00	40.966
284.00	36.266
285.00	34.266
286.00	33.416
287.00	31.435
288.00	30.793
289.00	29.660
290.00	28.320
291.00	29.321
292.00	29.415
293.00	29.962
294.00	30.151
295.00	27.830
296.00	29.264
297.00	29.000
298.00	31.340
299.00	28.245
300.00	31.076
