Wavelength (nm)	FL062 [11] 491-78-1, 5-Hydroxyflavone [D]
210.00	19344
211.00	19085
212.00	18825
213.00	18221
214.00	17570
215.00	16919
216.00	16268
217.00	15558
218.00	14786
219.00	14014
220.00	13242
221.00	12638
222.00	12048
223.00	11458
224.00	10867
225.00	10277
226.00	9662.9
227.00	9048.1
228.00	8462.5
229.00	7879.1
230.00	7330.1
231.00	6793.8
232.00	6229.8
233.00	5624.1
234.00	5200.5
235.00	4888.5
236.00	4701.9
237.00	4569.0
238.00	4612.4
239.00	4755.0
240.00	5022.2
241.00	5337.9
242.00	5744.4
243.00	6197.7
244.00	6713.9
245.00	7301.0
246.00	7888.0
247.00	8588.1
248.00	9329.9
249.00	10131
250.00	11021
251.00	11910
252.00	12814
253.00	13741
254.00	14668
255.00	15552
256.00	16391
257.00	17230
258.00	18050
259.00	18831
260.00	19612
261.00	20393
262.00	21076
263.00	21679
264.00	22282
265.00	22885
266.00	23393
267.00	23815
268.00	24188
269.00	24353
270.00	24458
271.00	24334
272.00	24181
273.00	23710
274.00	23209
275.00	22635
276.00	22039
277.00	21371
278.00	20703
279.00	19895
280.00	19073
281.00	18251
282.00	17389
283.00	16521
284.00	15656
285.00	14987
286.00	14318
287.00	13650
288.00	13096
289.00	12626
290.00	12203
291.00	11922
292.00	11650
293.00	11526
294.00	11402
295.00	11282
296.00	11185
297.00	11089
298.00	10981
299.00	10814
300.00	10648
301.00	10387
302.00	10084
303.00	9720.3
304.00	9340.3
305.00	8958.7
306.00	8546.3
307.00	8133.9
308.00	7721.5
309.00	7371.1
310.00	7043.7
311.00	6716.3
312.00	6426.8
313.00	6189.8
314.00	5952.8
315.00	5715.7
316.00	5565.4
317.00	5416.0
318.00	5333.8
319.00	5280.3
320.00	5248.6
321.00	5267.7
322.00	5286.9
323.00	5320.3
324.00	5382.7
325.00	5445.1
326.00	5507.5
327.00	5575.4
328.00	5643.9
329.00	5712.4
330.00	5772.2
331.00	5816.8
332.00	5861.3
333.00	5902.3
334.00	5924.9
335.00	5947.4
336.00	5970.0
337.00	5942.6
338.00	5915.2
339.00	5871.5
340.00	5803.4
341.00	5735.2
342.00	5652.1
343.00	5552.0
344.00	5451.9
345.00	5350.1
346.00	5216.2
347.00	5082.3
348.00	4948.4
349.00	4814.5
350.00	4671.0
351.00	4516.6
352.00	4362.3
353.00	4207.9
354.00	4053.6
355.00	3899.2
356.00	3745.5
357.00	3592.1
358.00	3438.7
359.00	3285.3
360.00	3131.9
361.00	2978.5
362.00	2838.3
363.00	2703.7
364.00	2569.2
365.00	2434.6
366.00	2300.1
367.00	2165.5
368.00	2048.8
369.00	1934.7
370.00	1820.6
371.00	1706.5
372.00	1592.4
373.00	1492.8
374.00	1402.1
375.00	1311.3
376.00	1220.6
377.00	1129.9
378.00	1055.9
379.00	993.57
380.00	931.25
381.00	868.93
382.00	806.61
383.00	744.29
384.00	697.47
385.00	659.39
386.00	621.30
387.00	583.21
388.00	545.13
389.00	507.04
390.00	468.95
391.00	440.82
392.00	413.80
393.00	386.77
394.00	359.75
395.00	332.72
396.00	305.70
397.00	279.34
398.00	269.11
399.00	258.88
400.00	248.65
401.00	238.42
402.00	228.19
403.00	217.96
404.00	207.94
405.00	200.81
406.00	193.68
407.00	186.55
408.00	179.42
409.00	172.29
410.00	165.16
411.00	158.03
412.00	150.77
413.00	141.82
414.00	132.87
415.00	123.92
416.00	114.98
417.00	106.03
418.00	97.080
419.00	88.132
420.00	79.184
421.00	70.236
422.00	66.932
423.00	64.952
424.00	62.971
425.00	60.991
426.00	59.010
427.00	57.030
428.00	55.050
429.00	53.069
430.00	50.966
431.00	48.473
432.00	45.979
433.00	43.486
434.00	40.993
435.00	38.499
436.00	36.006
437.00	33.513
438.00	31.019
439.00	29.614
440.00	28.744
441.00	27.875
442.00	27.005
443.00	26.136
444.00	25.266
445.00	24.397
446.00	23.527
447.00	23.040
448.00	23.040
449.00	23.040
450.00	23.040
451.00	23.040
452.00	23.040
453.00	23.040
454.00	23.040
455.00	23.040
456.00	23.040
457.00	23.040
458.00	23.040
459.00	23.040
460.00	23.040
461.00	23.040
462.00	23.040
463.00	23.040
464.00	23.040
465.00	23.040
466.00	23.040
467.00	23.040
468.00	23.040
469.00	23.040
470.00	23.040
471.00	23.040
472.00	23.040
473.00	23.040
474.00	23.040
475.00	23.040
476.00	23.040
477.00	23.040
478.00	23.040
479.00	23.040
480.00	23.040
481.00	23.040
482.00	23.040
483.00	23.040
484.00	23.040
485.00	23.040
486.00	23.040
487.00	23.040
488.00	23.040
489.00	23.040
490.00	23.040
491.00	23.040
492.00	23.040
493.00	23.040
494.00	23.040
495.00	23.040
496.00	23.040
497.00	23.040
498.00	23.040
499.00	23.040
500.00	23.040
