Wavelength (nm)	FL088 [11] R269053, 2',6'-Dimethyl-4'-methoxyflavone [D]
210.00	32146
211.00	31450
212.00	30810
213.00	30338
214.00	29914
215.00	29787
216.00	29659
217.00	29635
218.00	29754
219.00	29873
220.00	30094
221.00	30417
222.00	30728
223.00	30908
224.00	31057
225.00	30852
226.00	30648
227.00	30210
228.00	29762
229.00	29144
230.00	28318
231.00	27198
232.00	25784
233.00	24375
234.00	22983
235.00	21591
236.00	20464
237.00	19398
238.00	18332
239.00	17531
240.00	16733
241.00	15935
242.00	15277
243.00	14723
244.00	14170
245.00	13616
246.00	13079
247.00	12543
248.00	12020
249.00	11534
250.00	11049
251.00	10556
252.00	10061
253.00	9565.2
254.00	9069.8
255.00	8653.6
256.00	8238.2
257.00	7822.8
258.00	7545.3
259.00	7288.5
260.00	7031.6
261.00	6827.0
262.00	6631.5
263.00	6504.5
264.00	6401.6
265.00	6298.6
266.00	6266.0
267.00	6257.9
268.00	6322.6
269.00	6387.2
270.00	6510.8
271.00	6675.4
272.00	6840.0
273.00	7004.6
274.00	7231.7
275.00	7460.8
276.00	7693.8
277.00	7999.3
278.00	8304.9
279.00	8610.4
280.00	8915.9
281.00	9263.9
282.00	9628.3
283.00	9992.7
284.00	10357
285.00	10724
286.00	11092
287.00	11460
288.00	11781
289.00	12070
290.00	12359
291.00	12599
292.00	12823
293.00	13048
294.00	13218
295.00	13378
296.00	13538
297.00	13639
298.00	13717
299.00	13794
300.00	13872
301.00	13790
302.00	13707
303.00	13625
304.00	13416
305.00	13190
306.00	12902
307.00	12434
308.00	11967
309.00	11222
310.00	10462
311.00	9681.0
312.00	8855.6
313.00	8084.9
314.00	7430.6
315.00	6776.4
316.00	6193.4
317.00	5717.3
318.00	5241.2
319.00	4854.0
320.00	4531.2
321.00	4208.4
322.00	3939.0
323.00	3729.7
324.00	3520.5
325.00	3310.4
326.00	3099.9
327.00	2889.4
328.00	2702.3
329.00	2535.8
330.00	2369.3
331.00	2206.6
332.00	2047.6
333.00	1888.6
334.00	1729.6
335.00	1596.0
336.00	1473.7
337.00	1351.5
338.00	1229.3
