Wavelength (nm)	Q26 abs e
350.00	10069
351.00	10270
352.00	10440
353.00	10705
354.00	10921
355.00	11145
356.00	11341
357.00	11470
358.00	11630
359.00	11820
360.00	11946
361.00	12186
362.00	12343
363.00	12572
364.00	12799
365.00	13118
366.00	13420
367.00	13842
368.00	14223
369.00	14723
370.00	15246
371.00	15710
372.00	16227
373.00	16766
374.00	17289
375.00	17804
376.00	18257
377.00	18767
378.00	19282
379.00	19810
380.00	20364
381.00	21085
382.00	21835
383.00	22729
384.00	23687
385.00	25255
386.00	26682
387.00	28254
388.00	30039
389.00	31991
390.00	34291
391.00	36821
392.00	39646
393.00	42704
394.00	45993
395.00	49282
396.00	52618
397.00	55662
398.00	58310
399.00	60425
400.00	61976
401.00	62898
402.00	63377
403.00	63454
404.00	63400
405.00	63348
406.00	63691
407.00	64500
408.00	65994
409.00	68356
410.00	71686
411.00	75980
412.00	81309
413.00	87764
414.00	95587
415.00	1.0509e+05
416.00	1.1659e+05
417.00	1.3052e+05
418.00	1.4707e+05
419.00	1.6673e+05
420.00	1.8897e+05
421.00	2.1325e+05
422.00	2.3804e+05
423.00	2.6185e+05
424.00	2.8173e+05
425.00	2.9551e+05
426.00	3.0200e+05
427.00	2.9937e+05
428.00	2.8856e+05
429.00	2.7013e+05
430.00	2.4657e+05
431.00	2.1936e+05
432.00	1.9097e+05
433.00	1.6316e+05
434.00	1.3703e+05
435.00	1.1385e+05
436.00	93655
437.00	76879
438.00	62913
439.00	51551
440.00	42258
441.00	34958
442.00	29050
443.00	24393
444.00	20531
445.00	17456
446.00	14916
447.00	12830
448.00	11112
449.00	9708.1
450.00	8510.3
451.00	7500.6
452.00	6630.0
453.00	5921.7
454.00	5262.3
455.00	4757.4
456.00	4273.2
457.00	3894.6
458.00	3482.4
459.00	3224.9
460.00	2946.7
461.00	2717.4
462.00	2423.8
463.00	2307.9
464.00	2099.3
465.00	1931.8
466.00	1787.6
467.00	1656.2
468.00	1548.0
469.00	1468.2
470.00	1365.2
471.00	1267.3
472.00	1195.2
473.00	1117.9
474.00	1076.7
475.00	1032.9
476.00	968.49
477.00	911.82
478.00	886.06
479.00	852.58
480.00	759.85
481.00	762.43
482.00	746.97
483.00	721.22
484.00	672.28
485.00	659.40
486.00	643.94
487.00	623.34
488.00	636.22
489.00	605.31
490.00	595.00
491.00	561.52
492.00	543.49
493.00	540.91
494.00	499.70
495.00	510.00
496.00	484.24
497.00	471.37
498.00	473.94
499.00	427.58
500.00	417.27
501.00	422.43
502.00	427.58
503.00	427.58
504.00	453.34
505.00	473.94
506.00	517.73
507.00	589.85
508.00	638.79
509.00	762.43
510.00	801.06
511.00	896.37
512.00	1012.3
513.00	1081.8
514.00	1123.0
515.00	1190.0
516.00	1257.0
517.00	1287.9
518.00	1378.0
519.00	1408.9
520.00	1463.0
521.00	1517.1
522.00	1568.6
523.00	1604.7
524.00	1666.5
525.00	1720.6
526.00	1797.9
527.00	1808.2
528.00	1862.3
529.00	1903.5
530.00	1952.4
531.00	1988.5
532.00	2065.8
533.00	2112.1
534.00	2192.0
535.00	2274.4
536.00	2359.4
537.00	2444.4
538.00	2583.5
539.00	2622.1
540.00	2712.3
541.00	2848.8
542.00	3005.9
543.00	3168.2
544.00	3353.7
545.00	3562.3
546.00	3801.8
