Wavelength (nm)	T05 abs e
300.00	12422
301.00	12704
302.00	12994
303.00	13375
304.00	13736
305.00	14111
306.00	14506
307.00	14909
308.00	15310
309.00	15718
310.00	16083
311.00	16505
312.00	16933
313.00	17358
314.00	17814
315.00	18248
316.00	18722
317.00	19142
318.00	19576
319.00	19896
320.00	20164
321.00	20371
322.00	20427
323.00	20385
324.00	20249
325.00	20009
326.00	19746
327.00	19401
328.00	19070
329.00	18792
330.00	18553
331.00	18389
332.00	18280
333.00	18267
334.00	18306
335.00	18416
336.00	18606
337.00	18816
338.00	19075
339.00	19396
340.00	19745
341.00	20162
342.00	20578
343.00	21031
344.00	21530
345.00	22107
346.00	22686
347.00	23330
348.00	24040
349.00	24774
350.00	25566
351.00	26382
352.00	27214
353.00	28092
354.00	29003
355.00	29946
356.00	30931
357.00	31919
358.00	32869
359.00	33910
360.00	35024
361.00	36162
362.00	37365
363.00	38550
364.00	39656
365.00	40802
366.00	42094
367.00	43510
368.00	44974
369.00	46393
370.00	47622
371.00	48761
372.00	49845
373.00	50914
374.00	51946
375.00	53114
376.00	54233
377.00	55208
378.00	56157
379.00	57276
380.00	58147
381.00	58910
382.00	59822
383.00	60925
384.00	61945
385.00	63353
386.00	64702
387.00	66396
388.00	68407
389.00	70339
390.00	72067
391.00	74149
392.00	76607
393.00	78818
394.00	80505
395.00	82061
396.00	83588
397.00	85178
398.00	86557
399.00	87730
400.00	88168
401.00	88786
402.00	89355
403.00	90336
404.00	91414
405.00	92878
406.00	94497
407.00	95906
408.00	98003
409.00	1.0036e+05
410.00	1.0251e+05
411.00	1.0449e+05
412.00	1.0612e+05
413.00	1.0749e+05
414.00	1.0764e+05
415.00	1.0664e+05
416.00	1.0491e+05
417.00	1.0232e+05
418.00	99001
419.00	94658
420.00	89601
421.00	84358
422.00	78813
423.00	73234
424.00	67092
425.00	60954
426.00	55048
427.00	49263
428.00	44173
429.00	39193
430.00	34853
431.00	31153
432.00	27310
433.00	23499
434.00	20546
435.00	17917
436.00	15651
437.00	13757
438.00	12096
439.00	10662
440.00	9357.8
441.00	8277.7
442.00	7423.7
443.00	6784.2
444.00	6151.6
445.00	5616.5
446.00	5185.3
447.00	4779.7
448.00	4439.9
449.00	4134.8
450.00	3888.3
451.00	3632.2
452.00	3444.2
453.00	3218.0
454.00	3096.3
455.00	2954.1
456.00	2856.1
457.00	2894.4
458.00	2867.9
459.00	2904.5
460.00	2958.5
461.00	2956.6
462.00	2875.8
463.00	2912.2
464.00	3153.8
465.00	3411.8
466.00	3582.2
467.00	3541.7
468.00	3684.3
469.00	3634.0
470.00	3543.8
471.00	3504.7
472.00	3595.7
473.00	3758.4
474.00	3778.1
475.00	3848.5
476.00	3941.6
477.00	3877.6
478.00	3764.2
479.00	3694.3
480.00	3769.4
481.00	3773.0
