Wavelength (nm)	Chem Sci 2014_3388, Zn-1 abs [Z]
504.00	0.13123
505.00	0.13407
506.00	0.13690
507.00	0.13974
508.00	0.14386
509.00	0.14909
510.00	0.15398
511.00	0.15827
512.00	0.16257
513.00	0.16686
514.00	0.17115
515.00	0.17545
516.00	0.18004
517.00	0.18586
518.00	0.19167
519.00	0.19748
520.00	0.20329
521.00	0.20911
522.00	0.21492
523.00	0.22020
524.00	0.22524
525.00	0.23028
526.00	0.23532
527.00	0.24037
528.00	0.24541
529.00	0.25045
530.00	0.25549
531.00	0.26053
532.00	0.26557
533.00	0.27075
534.00	0.27594
535.00	0.28114
536.00	0.28634
537.00	0.29153
538.00	0.29673
539.00	0.30193
540.00	0.30713
541.00	0.31425
542.00	0.32177
543.00	0.32929
544.00	0.33681
545.00	0.34433
546.00	0.35185
547.00	0.35937
548.00	0.36841
549.00	0.37822
550.00	0.38804
551.00	0.39785
552.00	0.40767
553.00	0.41748
554.00	0.42730
555.00	0.43861
556.00	0.45154
557.00	0.46447
558.00	0.47741
559.00	0.49034
560.00	0.50340
561.00	0.51723
562.00	0.53106
563.00	0.54490
564.00	0.55795
565.00	0.56927
566.00	0.58060
567.00	0.59192
568.00	0.60180
569.00	0.60829
570.00	0.61478
571.00	0.61971
572.00	0.62281
573.00	0.62590
574.00	0.62899
575.00	0.63057
576.00	0.63174
577.00	0.63291
578.00	0.63231
579.00	0.63164
580.00	0.63096
581.00	0.62963
582.00	0.62751
583.00	0.62539
584.00	0.62334
585.00	0.62186
586.00	0.62039
587.00	0.61892
588.00	0.61744
589.00	0.61809
590.00	0.62009
591.00	0.62209
592.00	0.62653
593.00	0.63171
594.00	0.63688
595.00	0.64206
596.00	0.65298
597.00	0.66435
598.00	0.67571
599.00	0.68707
600.00	0.70212
601.00	0.71963
602.00	0.73715
603.00	0.75466
604.00	0.77231
605.00	0.79127
606.00	0.81024
607.00	0.82921
608.00	0.84817
609.00	0.86714
610.00	0.88611
611.00	0.90517
612.00	0.92422
613.00	0.94184
614.00	0.95516
615.00	0.96849
616.00	0.97917
617.00	0.98604
618.00	0.99269
619.00	0.99634
620.00	1.0000
621.00	0.99761
622.00	0.99522
623.00	0.99077
624.00	0.97942
625.00	0.96654
626.00	0.94855
627.00	0.93056
628.00	0.90936
629.00	0.88312
630.00	0.85688
631.00	0.83020
632.00	0.80319
633.00	0.77618
634.00	0.74917
635.00	0.71850
636.00	0.68483
637.00	0.65117
638.00	0.61626
639.00	0.57693
640.00	0.53760
641.00	0.49827
642.00	0.46366
643.00	0.43308
644.00	0.40249
645.00	0.37304
646.00	0.34456
647.00	0.31607
648.00	0.29197
649.00	0.26974
650.00	0.24751
651.00	0.22722
652.00	0.20776
653.00	0.18830
654.00	0.16950
655.00	0.15332
656.00	0.13715
657.00	0.12098
658.00	0.10815
659.00	0.096808
660.00	0.085542
661.00	0.077817
662.00	0.070091
663.00	0.062407
664.00	0.056742
665.00	0.051078
666.00	0.045414
667.00	0.041364
668.00	0.038075
669.00	0.034785
670.00	0.031496
671.00	0.028680
672.00	0.026320
673.00	0.023960
674.00	0.021599
675.00	0.019239
676.00	0.017371
677.00	0.015994
678.00	0.014617
679.00	0.013240
680.00	0.011863
681.00	0.010486
682.00	0.0094977
683.00	0.0087093
684.00	0.0079209
685.00	0.0071325
686.00	0.0063442
687.00	0.0055558
688.00	0.0050479
689.00	0.0046846
690.00	0.0043214
691.00	0.0039581
692.00	0.0035948
693.00	0.0032315
694.00	0.0028883
695.00	0.0026587
696.00	0.0024291
697.00	0.0021995
698.00	0.0019699
699.00	0.0017403
700.00	0.0015107
701.00	0.0014920
702.00	0.0014798
703.00	0.0014677
704.00	0.0014555
705.00	0.0014433
706.00	0.0014312
707.00	0.0014190
708.00	0.0014068
709.00	0.0013947
710.00	0.0013825
711.00	0.0013703
712.00	0.0013582
713.00	0.0013460
714.00	0.0013338
715.00	0.0013217
716.00	0.0013095
717.00	0.0012973
718.00	0.0012852
719.00	0.0012730
720.00	0.0012608
721.00	0.0012487
722.00	0.0012365
723.00	0.0012243
724.00	0.0012122
725.00	0.0012000
726.00	0.0012000
727.00	0.0012000
728.00	0.0012000
729.00	0.0012000
730.00	0.0012000
731.00	0.0012000
732.00	0.0012000
733.00	0.0012000
734.00	0.0012000
735.00	0.0012000
736.00	0.0012000
737.00	0.0012000
738.00	0.0012000
739.00	0.0012000
740.00	0.0012000
741.00	0.0012000
742.00	0.0012000
743.00	0.0012000
744.00	0.0012000
745.00	0.0012000
746.00	0.0012000
747.00	0.0012000
748.00	0.0012000
749.00	0.0012000
750.00	0.0012000
751.00	0.0012000
752.00	0.0012000
753.00	0.0012000
754.00	0.0012000
755.00	0.0012000
756.00	0.0012000
757.00	0.0012000
758.00	0.0012000
759.00	0.0012000
760.00	0.0012000
761.00	0.0012000
762.00	0.0012000
763.00	0.0012000
764.00	0.0012000
765.00	0.0012000
766.00	0.0012000
767.00	0.0012000
768.00	0.0012000
769.00	0.0012000
770.00	0.0012000
771.00	0.0012000
772.00	0.0012000
773.00	0.0012000
774.00	0.0012000
775.00	0.0012000
776.00	0.0012000
777.00	0.0012000
778.00	0.0012000
779.00	0.0012000
780.00	0.0012000
781.00	0.0012000
782.00	0.0012000
783.00	0.0012000
784.00	0.0012000
785.00	0.0012000
786.00	0.0012000
787.00	0.0012000
788.00	0.0012000
789.00	0.0012000
790.00	0.0012000
791.00	0.0012000
792.00	0.0012000
793.00	0.0012000
794.00	0.0012000
795.00	0.0012000
796.00	0.0012000
797.00	0.0012000
798.00	0.0012000
799.00	0.0012000
800.00	0.0012000
