Wavelength (nm)	"58, Liebigs Ann 1975_1131, 2b Mn"
389.00	0.99829
390.00	0.99659
391.00	0.99442
392.00	0.99082
393.00	0.98721
394.00	0.98361
395.00	0.98000
396.00	0.97637
397.00	0.97016
398.00	0.96396
399.00	0.95775
400.00	0.95155
401.00	0.94535
402.00	0.93914
403.00	0.93246
404.00	0.92494
405.00	0.91742
406.00	0.90990
407.00	0.90238
408.00	0.89486
409.00	0.88734
410.00	0.87983
411.00	0.87238
412.00	0.86494
413.00	0.85750
414.00	0.85006
415.00	0.84262
416.00	0.83518
417.00	0.82774
418.00	0.82030
419.00	0.81125
420.00	0.80205
421.00	0.79284
422.00	0.78364
423.00	0.77443
424.00	0.76522
425.00	0.75584
426.00	0.74591
427.00	0.73599
428.00	0.72606
429.00	0.71613
430.00	0.70621
431.00	0.69628
432.00	0.68636
433.00	0.67643
434.00	0.66570
435.00	0.65402
436.00	0.64235
437.00	0.63067
438.00	0.61900
439.00	0.60732
440.00	0.59564
441.00	0.58397
442.00	0.57229
443.00	0.56062
444.00	0.54894
445.00	0.53737
446.00	0.52782
447.00	0.51828
448.00	0.50873
449.00	0.49918
450.00	0.48963
451.00	0.48008
452.00	0.47054
453.00	0.46099
454.00	0.45152
455.00	0.44273
456.00	0.43395
457.00	0.42516
458.00	0.41637
459.00	0.40758
460.00	0.39879
461.00	0.39000
462.00	0.38121
463.00	0.37243
464.00	0.36383
465.00	0.35653
466.00	0.34923
467.00	0.34193
468.00	0.33462
469.00	0.32732
470.00	0.32002
471.00	0.31272
472.00	0.30542
473.00	0.29811
474.00	0.29081
475.00	0.28435
476.00	0.27803
477.00	0.27171
478.00	0.26538
479.00	0.25906
480.00	0.25273
481.00	0.24641
482.00	0.24009
483.00	0.23376
484.00	0.22744
485.00	0.22112
486.00	0.21502
487.00	0.20920
488.00	0.20337
489.00	0.19755
490.00	0.19173
491.00	0.18590
492.00	0.18008
493.00	0.17558
494.00	0.17124
495.00	0.16690
496.00	0.16256
497.00	0.15822
498.00	0.15389
499.00	0.14955
500.00	0.14521
501.00	0.14087
502.00	0.13676
503.00	0.13271
504.00	0.12867
505.00	0.12463
506.00	0.12059
507.00	0.11654
508.00	0.11250
509.00	0.10856
510.00	0.10616
511.00	0.10377
512.00	0.10138
513.00	0.098989
514.00	0.096597
515.00	0.094205
516.00	0.091813
517.00	0.089421
518.00	0.087555
519.00	0.085836
520.00	0.084118
521.00	0.082400
522.00	0.080681
523.00	0.078963
524.00	0.077245
525.00	0.075818
526.00	0.074888
527.00	0.073958
528.00	0.073029
529.00	0.072099
530.00	0.071169
531.00	0.070239
532.00	0.069309
533.00	0.068380
534.00	0.067494
535.00	0.066751
536.00	0.066007
537.00	0.065263
538.00	0.064519
539.00	0.063775
540.00	0.063031
541.00	0.062287
542.00	0.061543
543.00	0.060799
544.00	0.060055
545.00	0.059311
546.00	0.058793
547.00	0.058321
548.00	0.057848
549.00	0.057376
550.00	0.056903
551.00	0.056431
552.00	0.055959
553.00	0.055486
554.00	0.055014
555.00	0.054542
556.00	0.054069
557.00	0.053597
558.00	0.053268
559.00	0.052964
560.00	0.052661
561.00	0.052357
562.00	0.052053
563.00	0.051750
564.00	0.051446
565.00	0.051142
566.00	0.050839
567.00	0.050535
568.00	0.050231
569.00	0.049928
570.00	0.049624
571.00	0.049320
572.00	0.049032
573.00	0.048746
574.00	0.048460
575.00	0.048173
576.00	0.047887
577.00	0.047601
578.00	0.047315
579.00	0.047029
580.00	0.046743
581.00	0.046456
582.00	0.046170
583.00	0.045884
584.00	0.045598
585.00	0.045312
586.00	0.045033
587.00	0.044922
588.00	0.044812
589.00	0.044702
590.00	0.044592
591.00	0.044482
592.00	0.044371
593.00	0.044261
594.00	0.044151
595.00	0.044041
596.00	0.043931
597.00	0.043820
598.00	0.043710
599.00	0.043597
600.00	0.043473
601.00	0.043349
602.00	0.043225
603.00	0.043101
604.00	0.042977
605.00	0.042852
606.00	0.042728
607.00	0.042604
608.00	0.042480
609.00	0.042356
610.00	0.042232
611.00	0.042137
612.00	0.042050
613.00	0.041964
614.00	0.041877
615.00	0.041790
616.00	0.041703
617.00	0.041616
618.00	0.041529
619.00	0.041442
620.00	0.041355
621.00	0.041268
622.00	0.041181
623.00	0.041094
624.00	0.041007
625.00	0.040920
626.00	0.040833
627.00	0.040793
628.00	0.040793
629.00	0.040793
630.00	0.040793
631.00	0.040793
632.00	0.040793
633.00	0.040793
634.00	0.040793
635.00	0.040793
636.00	0.040793
637.00	0.040793
638.00	0.040793
639.00	0.040793
640.00	0.040793
641.00	0.040793
642.00	0.040793
643.00	0.040793
644.00	0.040793
645.00	0.040793
646.00	0.040793
647.00	0.040793
648.00	0.040793
649.00	0.040793
650.00	0.040793
651.00	0.040793
652.00	0.040793
653.00	0.040793
654.00	0.040793
655.00	0.040793
656.00	0.040793
657.00	0.040793
658.00	0.040793
659.00	0.041214
660.00	0.041698
661.00	0.042182
662.00	0.042666
663.00	0.043151
664.00	0.043635
665.00	0.044119
666.00	0.044603
667.00	0.045087
668.00	0.045571
669.00	0.046055
670.00	0.046538
671.00	0.047015
672.00	0.047492
673.00	0.047969
674.00	0.048446
675.00	0.048923
676.00	0.049400
677.00	0.049877
678.00	0.050354
679.00	0.050831
680.00	0.051308
681.00	0.051785
682.00	0.052262
683.00	0.052739
684.00	0.053216
685.00	0.053674
686.00	0.054096
687.00	0.054518
688.00	0.054940
689.00	0.055362
690.00	0.055784
691.00	0.056206
692.00	0.056628
693.00	0.057050
694.00	0.057472
695.00	0.057894
696.00	0.058316
697.00	0.058738
698.00	0.059160
699.00	0.059715
700.00	0.060279
701.00	0.060842
702.00	0.061406
703.00	0.061970
704.00	0.062533
705.00	0.063097
706.00	0.063661
707.00	0.064224
708.00	0.064788
709.00	0.065352
710.00	0.065915
711.00	0.066572
712.00	0.067376
713.00	0.068180
714.00	0.068984
715.00	0.069788
716.00	0.070591
717.00	0.071395
718.00	0.072199
719.00	0.073003
720.00	0.073807
721.00	0.074610
722.00	0.075752
723.00	0.076962
724.00	0.078172
725.00	0.079382
726.00	0.080593
727.00	0.081803
728.00	0.083013
729.00	0.084223
730.00	0.085434
731.00	0.086644
732.00	0.087854
733.00	0.089087
734.00	0.090459
735.00	0.091831
736.00	0.093202
737.00	0.094574
738.00	0.095946
739.00	0.097317
740.00	0.098689
741.00	0.10006
742.00	0.10143
743.00	0.10280
744.00	0.10418
745.00	0.10555
746.00	0.10692
747.00	0.10859
748.00	0.11037
749.00	0.11215
750.00	0.11393
751.00	0.11571
752.00	0.11749
753.00	0.11927
754.00	0.12105
755.00	0.12283
756.00	0.12461
757.00	0.12640
758.00	0.12821
759.00	0.13004
760.00	0.13188
761.00	0.13371
762.00	0.13554
763.00	0.13738
764.00	0.13921
765.00	0.14105
766.00	0.14288
767.00	0.14471
768.00	0.14655
769.00	0.14838
770.00	0.15021
771.00	0.15212
772.00	0.15411
773.00	0.15609
774.00	0.15807
775.00	0.16006
776.00	0.16204
777.00	0.16402
778.00	0.16601
779.00	0.16799
780.00	0.16997
781.00	0.17196
782.00	0.17398
783.00	0.17651
784.00	0.17903
785.00	0.18155
786.00	0.18408
787.00	0.18660
788.00	0.18912
789.00	0.19165
790.00	0.19417
791.00	0.19669
792.00	0.19922
793.00	0.20174
794.00	0.20426
795.00	0.20679
796.00	0.20931
797.00	0.21183
798.00	0.21436
799.00	0.21680
800.00	0.21923
801.00	0.22167
802.00	0.22410
803.00	0.22653
804.00	0.22896
805.00	0.23139
806.00	0.23382
807.00	0.23625
808.00	0.23868
809.00	0.24111
810.00	0.24354
811.00	0.24597
812.00	0.24841
813.00	0.25069
814.00	0.25260
815.00	0.25450
816.00	0.25640
817.00	0.25830
818.00	0.26020
819.00	0.26210
820.00	0.26401
821.00	0.26591
822.00	0.26781
823.00	0.26971
824.00	0.27161
825.00	0.27352
826.00	0.27542
827.00	0.27732
828.00	0.27922
829.00	0.28112
830.00	0.28301
831.00	0.28484
832.00	0.28667
833.00	0.28849
834.00	0.29032
835.00	0.29215
836.00	0.29398
837.00	0.29580
838.00	0.29763
839.00	0.29946
840.00	0.30128
841.00	0.30311
842.00	0.30494
843.00	0.30677
844.00	0.30859
845.00	0.31042
846.00	0.31225
847.00	0.31389
848.00	0.31551
849.00	0.31713
850.00	0.31875
851.00	0.32037
852.00	0.32198
853.00	0.32360
854.00	0.32522
855.00	0.32684
856.00	0.32846
857.00	0.33008
858.00	0.33170
859.00	0.33332
860.00	0.33494
861.00	0.33677
862.00	0.33861
863.00	0.34046
864.00	0.34231
865.00	0.34415
866.00	0.34600
867.00	0.34784
868.00	0.34969
869.00	0.35153
870.00	0.35338
871.00	0.35523
872.00	0.35707
873.00	0.35888
874.00	0.36067
875.00	0.36246
876.00	0.36425
877.00	0.36604
878.00	0.36784
879.00	0.36963
880.00	0.37142
881.00	0.37321
882.00	0.37500
883.00	0.37668
884.00	0.37820
885.00	0.37971
886.00	0.38123
887.00	0.38275
888.00	0.38426
889.00	0.38578
890.00	0.38729
891.00	0.38881
892.00	0.39033
893.00	0.39183
894.00	0.39329
895.00	0.39475
896.00	0.39621
897.00	0.39767
898.00	0.39912
899.00	0.40058
900.00	0.40204
901.00	0.40350
902.00	0.40495
903.00	0.40607
904.00	0.40671
905.00	0.40735
906.00	0.40798
907.00	0.40862
908.00	0.40926
909.00	0.40990
910.00	0.41054
911.00	0.41014
912.00	0.40974
913.00	0.40935
914.00	0.40895
915.00	0.40855
916.00	0.40798
917.00	0.40673
918.00	0.40548
919.00	0.40423
920.00	0.40298
921.00	0.40173
922.00	0.40048
923.00	0.39888
924.00	0.39716
925.00	0.39545
926.00	0.39373
927.00	0.39201
928.00	0.39029
929.00	0.38858
930.00	0.38644
931.00	0.38340
932.00	0.38036
933.00	0.37731
934.00	0.37427
935.00	0.37123
936.00	0.36819
937.00	0.36515
938.00	0.36211
939.00	0.35930
940.00	0.35674
941.00	0.35418
942.00	0.35162
943.00	0.34906
944.00	0.34650
945.00	0.34394
946.00	0.34138
947.00	0.33882
948.00	0.33592
949.00	0.33282
950.00	0.32972
951.00	0.32662
952.00	0.32352
953.00	0.32042
954.00	0.31732
955.00	0.31443
956.00	0.31160
957.00	0.30877
958.00	0.30593
959.00	0.30310
960.00	0.30027
961.00	0.29851
962.00	0.29702
963.00	0.29553
964.00	0.29404
965.00	0.29255
966.00	0.29101
967.00	0.28903
968.00	0.28704
969.00	0.28506
970.00	0.28308
971.00	0.27730
972.00	0.27070
973.00	0.26357
974.00	0.25488
975.00	0.24619
976.00	0.23751
977.00	0.23119
978.00	0.22536
979.00	0.21952
980.00	0.21369
981.00	0.20786
982.00	0.20266
983.00	0.19748
984.00	0.19230
985.00	0.18712
986.00	0.18194
987.00	0.17675
988.00	0.17322
989.00	0.17038
990.00	0.16755
991.00	0.16472
992.00	0.16188
993.00	0.15905
994.00	0.15622
995.00	0.15338
996.00	0.15045
997.00	0.14748
998.00	0.14452
999.00	0.14155
1000.0	0.13858
1001.0	0.13561
1002.0	0.13264
1003.0	0.12968
1004.0	0.12671
1005.0	0.12374
1006.0	0.12064
1007.0	0.11748
1008.0	0.11432
1009.0	0.11116
1010.0	0.10799
1011.0	0.10483
1012.0	0.10167
1013.0	0.098512
1014.0	0.095352
1015.0	0.092390
1016.0	0.089893
1017.0	0.087397
1018.0	0.084900
1019.0	0.082404
1020.0	0.079907
1021.0	0.077410
1022.0	0.074914
1023.0	0.072417
1024.0	0.070401
1025.0	0.068505
1026.0	0.066609
1027.0	0.064713
1028.0	0.062817
1029.0	0.060921
1030.0	0.059025
1031.0	0.057129
1032.0	0.055232
1033.0	0.053402
1034.0	0.052166
1035.0	0.050930
1036.0	0.049694
1037.0	0.048458
1038.0	0.047221
1039.0	0.045985
1040.0	0.044749
1041.0	0.043513
1042.0	0.042276
1043.0	0.041040
1044.0	0.039805
1045.0	0.038570
1046.0	0.037335
1047.0	0.036099
1048.0	0.034864
1049.0	0.033629
1050.0	0.032394
1051.0	0.031159
1052.0	0.029924
1053.0	0.028688
1054.0	0.027453
1055.0	0.026218
1056.0	0.025061
1057.0	0.024214
1058.0	0.023368
1059.0	0.022521
1060.0	0.021675
1061.0	0.020829
1062.0	0.019982
1063.0	0.019136
1064.0	0.018289
1065.0	0.017443
1066.0	0.016597
1067.0	0.015750
1068.0	0.014970
1069.0	0.014257
1070.0	0.013544
1071.0	0.012830
1072.0	0.012117
1073.0	0.011404
1074.0	0.010690
1075.0	0.0099768
1076.0	0.0092634
1077.0	0.0085501
1078.0	0.0078367
1079.0	0.0071233
1080.0	0.0066118
1081.0	0.0062349
1082.0	0.0058579
1083.0	0.0054810
1084.0	0.0051041
1085.0	0.0047271
1086.0	0.0043502
1087.0	0.0039732
1088.0	0.0035963
1089.0	0.0033131
1090.0	0.0031707
1091.0	0.0030283
1092.0	0.0028859
1093.0	0.0027434
1094.0	0.0026010
1095.0	0.0024586
1096.0	0.0023162
1097.0	0.0021738
1098.0	0.0020856
1099.0	0.0020335
1100.0	0.0019815
1101.0	0.0019294
1102.0	0.0018773
1103.0	0.0018253
1104.0	0.0017732
1105.0	0.0017212
1106.0	0.0016691
1107.0	0.0016171
1108.0	0.0015650
1109.0	0.0015129
1110.0	0.0014677
1111.0	0.0014386
1112.0	0.0014094
1113.0	0.0013802
1114.0	0.0013510
1115.0	0.0013219
1116.0	0.0012927
1117.0	0.0012635
1118.0	0.0012343
1119.0	0.0012052
1120.0	0.0011789
1121.0	0.0011789
1122.0	0.0011789
1123.0	0.0011789
1124.0	0.0011789
1125.0	0.0011789
1126.0	0.0011789
1127.0	0.0011789
1128.0	0.0011789
1129.0	0.0011789
1130.0	0.0011789
1131.0	0.0011789
1132.0	0.0011789
1133.0	0.0011789
1134.0	0.0011789
1135.0	0.0011789
1136.0	0.0011789
1137.0	0.0011789
1138.0	0.0011789
1139.0	0.0011789
1140.0	0.0011789
1141.0	0.0011789
1142.0	0.0011789
1143.0	0.0011789
1144.0	0.0011789
1145.0	0.0011789
1146.0	0.0011789
1147.0	0.0011789
1148.0	0.0011789
1149.0	0.0011789
1150.0	0.0011789
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
