Wavelength (nm)	Toly R (2021)
300.00	0.12720
301.00	0.12905
302.00	0.13705
303.00	0.13408
304.00	0.12890
305.00	0.13165
306.00	0.13245
307.00	0.13574
308.00	0.13675
309.00	0.13480
310.00	0.13723
311.00	0.14237
312.00	0.14578
313.00	0.14712
314.00	0.15423
315.00	0.15391
316.00	0.15331
317.00	0.16192
318.00	0.16168
319.00	0.16595
320.00	0.16822
321.00	0.16655
322.00	0.16850
323.00	0.16549
324.00	0.16626
325.00	0.16401
326.00	0.16361
327.00	0.16580
328.00	0.16648
329.00	0.17102
330.00	0.17210
331.00	0.15808
332.00	0.15932
333.00	0.16302
334.00	0.15849
335.00	0.16658
336.00	0.16104
337.00	0.15581
338.00	0.15410
339.00	0.15807
340.00	0.15821
341.00	0.15900
342.00	0.16941
343.00	0.17027
344.00	0.17758
345.00	0.18303
346.00	0.19847
347.00	0.20882
348.00	0.21844
349.00	0.22764
350.00	0.23621
351.00	0.25576
352.00	0.25962
353.00	0.27696
354.00	0.28698
355.00	0.29338
356.00	0.30323
357.00	0.31568
358.00	0.33058
359.00	0.33470
360.00	0.35216
361.00	0.35690
362.00	0.36513
363.00	0.37096
364.00	0.37425
365.00	0.38977
366.00	0.40760
367.00	0.42019
368.00	0.43405
369.00	0.45070
370.00	0.47316
371.00	0.48178
372.00	0.50504
373.00	0.50928
374.00	0.52863
375.00	0.55058
376.00	0.57399
377.00	0.59842
378.00	0.61474
379.00	0.63600
380.00	0.66305
381.00	0.68687
382.00	0.70707
383.00	0.73160
384.00	0.75453
385.00	0.77393
386.00	0.80109
387.00	0.82614
388.00	0.85093
389.00	0.87524
390.00	0.90130
391.00	0.93068
392.00	0.95551
393.00	0.97152
394.00	0.98565
395.00	0.99774
396.00	1.0000
397.00	0.99961
398.00	0.99132
399.00	0.98187
400.00	0.96088
401.00	0.93651
402.00	0.90697
403.00	0.87714
404.00	0.84701
405.00	0.81454
406.00	0.78662
407.00	0.75396
408.00	0.71914
409.00	0.68845
410.00	0.65182
411.00	0.61125
412.00	0.56277
413.00	0.51725
414.00	0.46872
415.00	0.42413
416.00	0.38065
417.00	0.33883
418.00	0.29434
419.00	0.26033
420.00	0.23102
421.00	0.20115
422.00	0.17569
423.00	0.15268
424.00	0.13314
425.00	0.11707
426.00	0.10297
427.00	0.091355
428.00	0.081174
429.00	0.071520
430.00	0.065289
431.00	0.060512
432.00	0.054069
433.00	0.048504
434.00	0.046917
435.00	0.040963
436.00	0.038709
437.00	0.037594
438.00	0.035517
439.00	0.032393
440.00	0.029404
441.00	0.030377
442.00	0.025810
443.00	0.026157
444.00	0.024038
445.00	0.023935
446.00	0.024381
447.00	0.020704
448.00	0.021267
449.00	0.020429
450.00	0.020320
451.00	0.020672
452.00	0.021705
453.00	0.020107
454.00	0.020333
455.00	0.022108
456.00	0.020452
457.00	0.020745
458.00	0.022499
459.00	0.023910
460.00	0.023568
461.00	0.021275
462.00	0.020722
463.00	0.023397
464.00	0.025171
465.00	0.025197
466.00	0.026739
467.00	0.027571
468.00	0.027240
469.00	0.029040
470.00	0.030876
471.00	0.031369
472.00	0.033487
473.00	0.036838
474.00	0.036874
475.00	0.040430
476.00	0.042412
477.00	0.043214
478.00	0.045205
479.00	0.047786
480.00	0.046650
481.00	0.049051
482.00	0.048689
483.00	0.050725
484.00	0.048775
485.00	0.046697
486.00	0.046791
487.00	0.051582
488.00	0.049622
489.00	0.050963
490.00	0.053040
491.00	0.054434
492.00	0.056946
493.00	0.055956
494.00	0.058189
495.00	0.059754
496.00	0.063398
497.00	0.063810
498.00	0.064522
499.00	0.066070
500.00	0.067793
501.00	0.067315
502.00	0.066170
503.00	0.066455
504.00	0.066701
505.00	0.062895
506.00	0.061158
507.00	0.057814
508.00	0.053007
509.00	0.051207
510.00	0.047299
511.00	0.043315
512.00	0.039177
513.00	0.034873
514.00	0.034033
515.00	0.032300
516.00	0.030077
517.00	0.028429
518.00	0.027850
519.00	0.026563
520.00	0.026035
521.00	0.025275
522.00	0.026139
523.00	0.024575
524.00	0.024597
525.00	0.025387
526.00	0.027301
527.00	0.030310
528.00	0.032993
529.00	0.036286
530.00	0.037788
531.00	0.043530
532.00	0.047688
533.00	0.050907
534.00	0.051650
535.00	0.054380
536.00	0.056236
537.00	0.058476
538.00	0.057596
539.00	0.059971
540.00	0.058959
541.00	0.056633
542.00	0.053200
543.00	0.051152
544.00	0.051101
545.00	0.052209
546.00	0.049901
547.00	0.048103
548.00	0.044061
549.00	0.041509
550.00	0.039452
551.00	0.040605
552.00	0.039444
553.00	0.038310
554.00	0.036645
555.00	0.038263
556.00	0.031993
557.00	0.033070
558.00	0.029844
559.00	0.026527
560.00	0.025451
561.00	0.021573
562.00	0.022174
563.00	0.022329
564.00	0.022023
565.00	0.022103
566.00	0.021089
567.00	0.020035
568.00	0.020254
569.00	0.022652
570.00	0.023075
571.00	0.027097
572.00	0.029533
573.00	0.028561
574.00	0.028017
575.00	0.031648
576.00	0.032637
577.00	0.035414
578.00	0.037742
579.00	0.040375
580.00	0.041231
581.00	0.045229
582.00	0.043331
583.00	0.045089
584.00	0.042388
585.00	0.040576
586.00	0.041952
587.00	0.044278
588.00	0.039482
589.00	0.038643
590.00	0.030376
591.00	0.028867
592.00	0.028075
593.00	0.027856
594.00	0.027468
595.00	0.024912
596.00	0.023192
597.00	0.021165
598.00	0.016728
599.00	0.015689
600.00	0.015343
601.00	0.013777
602.00	0.013747
603.00	0.013282
604.00	0.012949
605.00	0.012702
606.00	0.011771
607.00	0.015413
608.00	0.019015
609.00	0.018864
610.00	0.019991
611.00	0.019307
612.00	0.019324
613.00	0.017317
614.00	0.016295
615.00	0.015607
616.00	0.021470
617.00	0.022268
618.00	0.024897
619.00	0.027530
620.00	0.024256
621.00	0.031267
622.00	0.032143
623.00	0.034587
624.00	0.037686
625.00	0.039256
626.00	0.045636
627.00	0.053759
628.00	0.059292
629.00	0.073040
630.00	0.089188
631.00	0.11380
632.00	0.13271
633.00	0.16265
634.00	0.19063
635.00	0.21619
636.00	0.23475
637.00	0.24445
638.00	0.23480
639.00	0.21365
640.00	0.18555
641.00	0.15266
642.00	0.11870
643.00	0.087169
644.00	0.067586
645.00	0.052667
646.00	0.039060
647.00	0.032412
648.00	0.024676
649.00	0.018189
650.00	0.012946
651.00	0.011938
652.00	0.011484
653.00	0.013283
654.00	0.011415
655.00	0.013466
656.00	0.011597
657.00	0.013093
658.00	0.011018
659.00	0.010430
660.00	0.0087000
661.00	0.0094198
662.00	0.010246
663.00	0.011646
664.00	0.010358
665.00	0.013542
666.00	0.010878
667.00	0.013845
668.00	0.014766
669.00	0.014567
670.00	0.015441
671.00	0.012076
672.00	0.013625
673.00	0.013896
674.00	0.012530
675.00	0.011532
676.00	0.012505
677.00	0.011233
678.00	0.013436
679.00	0.012189
680.00	0.011253
681.00	0.010605
682.00	0.013816
683.00	0.011430
684.00	0.011784
685.00	0.014168
686.00	0.013196
687.00	0.012426
688.00	0.0090703
689.00	0.0086403
690.00	0.0051556
691.00	0.0080423
692.00	0.0090511
693.00	0.010562
694.00	0.010933
695.00	0.013533
696.00	0.011563
697.00	0.012178
698.00	0.013271
699.00	0.0092673
700.00	0.0096492
701.00	0.010724
702.00	0.011108
703.00	0.0098068
704.00	0.013487
705.00	0.015803
706.00	0.0091110
707.00	0.0072585
708.00	0.0094293
709.00	0.0074100
710.00	0.0021676
711.00	0.0018793
712.00	0.0071695
713.00	0.0084923
714.00	0.010258
715.00	0.012450
716.00	0.010024
717.00	0.0023677
718.00	0.0090323
719.00	0.0093007
720.00	0.0077872
721.00	0.0062788
722.00	0.0048702
723.00	0.0040857
