Wavelength (nm)	EtioP I (0.1 M PPB).abs
300.00	0.16616
301.00	0.17067
302.00	0.16939
303.00	0.17355
304.00	0.17495
305.00	0.17734
306.00	0.18001
307.00	0.18258
308.00	0.18504
309.00	0.18863
310.00	0.19326
311.00	0.19607
312.00	0.20020
313.00	0.20448
314.00	0.20757
315.00	0.21167
316.00	0.21674
317.00	0.22127
318.00	0.22572
319.00	0.23012
320.00	0.23588
321.00	0.24135
322.00	0.24715
323.00	0.25238
324.00	0.25799
325.00	0.26484
326.00	0.27152
327.00	0.27732
328.00	0.28314
329.00	0.29007
330.00	0.29669
331.00	0.30256
332.00	0.31016
333.00	0.31753
334.00	0.32342
335.00	0.33299
336.00	0.34121
337.00	0.34951
338.00	0.35945
339.00	0.36903
340.00	0.37874
341.00	0.38960
342.00	0.40148
343.00	0.41215
344.00	0.42457
345.00	0.43595
346.00	0.45028
347.00	0.46268
348.00	0.47521
349.00	0.49000
350.00	0.50400
351.00	0.51878
352.00	0.53305
353.00	0.54923
354.00	0.56431
355.00	0.58012
356.00	0.59701
357.00	0.61413
358.00	0.62908
359.00	0.64781
360.00	0.66709
361.00	0.68670
362.00	0.70459
363.00	0.72391
364.00	0.74285
365.00	0.76020
366.00	0.77827
367.00	0.79518
368.00	0.80870
369.00	0.82484
370.00	0.83824
371.00	0.85092
372.00	0.86321
373.00	0.87491
374.00	0.88365
375.00	0.89369
376.00	0.90138
377.00	0.90880
378.00	0.91766
379.00	0.92486
380.00	0.93104
381.00	0.94029
382.00	0.94689
383.00	0.95248
384.00	0.96001
385.00	0.96604
386.00	0.97189
387.00	0.97765
388.00	0.98277
389.00	0.98645
390.00	0.99040
391.00	0.99571
392.00	0.99741
393.00	0.99697
394.00	1.0000
395.00	0.99920
396.00	0.99949
397.00	0.99757
398.00	0.99611
399.00	0.99300
400.00	0.98950
401.00	0.98457
402.00	0.98055
403.00	0.97543
404.00	0.96890
405.00	0.96236
406.00	0.95645
407.00	0.94723
408.00	0.93932
409.00	0.93091
410.00	0.92190
411.00	0.91143
412.00	0.90116
413.00	0.89122
414.00	0.88135
415.00	0.87015
416.00	0.85823
417.00	0.84555
418.00	0.83628
419.00	0.82346
420.00	0.80971
421.00	0.79902
422.00	0.78677
423.00	0.77611
424.00	0.76404
425.00	0.75167
426.00	0.74049
427.00	0.72984
428.00	0.71626
429.00	0.70686
430.00	0.69573
431.00	0.68509
432.00	0.67603
433.00	0.66465
434.00	0.65385
435.00	0.64373
436.00	0.63380
437.00	0.62287
438.00	0.61340
439.00	0.60314
440.00	0.59253
441.00	0.58314
442.00	0.57416
443.00	0.56425
444.00	0.55339
445.00	0.54317
446.00	0.53404
447.00	0.52405
448.00	0.51526
449.00	0.50376
450.00	0.49573
451.00	0.48494
452.00	0.47600
453.00	0.46683
454.00	0.45595
455.00	0.44596
456.00	0.43596
457.00	0.42702
458.00	0.41764
459.00	0.40662
460.00	0.39660
461.00	0.38481
462.00	0.37384
463.00	0.36363
464.00	0.35027
465.00	0.33999
466.00	0.32878
467.00	0.31600
468.00	0.30414
469.00	0.29186
470.00	0.27915
471.00	0.26636
472.00	0.25461
473.00	0.24281
474.00	0.23363
475.00	0.22432
476.00	0.21408
477.00	0.20553
478.00	0.19643
479.00	0.19034
480.00	0.18282
481.00	0.17851
482.00	0.17289
483.00	0.16826
484.00	0.16564
485.00	0.16258
486.00	0.16072
487.00	0.15937
488.00	0.15950
489.00	0.15926
490.00	0.16046
491.00	0.16167
492.00	0.15975
493.00	0.16315
494.00	0.16338
495.00	0.16559
496.00	0.16802
497.00	0.16986
498.00	0.17214
499.00	0.17582
500.00	0.18008
501.00	0.18590
502.00	0.19064
503.00	0.19485
504.00	0.19870
505.00	0.20316
506.00	0.20706
507.00	0.21001
508.00	0.21408
509.00	0.21571
510.00	0.21697
511.00	0.21783
512.00	0.21809
513.00	0.21824
514.00	0.21781
515.00	0.21849
516.00	0.21751
517.00	0.21546
518.00	0.21285
519.00	0.20894
520.00	0.20400
521.00	0.19676
522.00	0.18826
523.00	0.17957
524.00	0.17132
525.00	0.16308
526.00	0.15554
527.00	0.14999
528.00	0.14331
529.00	0.13945
530.00	0.13757
531.00	0.13564
532.00	0.13424
533.00	0.13367
534.00	0.13431
535.00	0.13600
536.00	0.13835
537.00	0.13992
538.00	0.14220
539.00	0.14660
540.00	0.15092
541.00	0.15637
542.00	0.16018
543.00	0.16532
544.00	0.16841
545.00	0.17056
546.00	0.17016
547.00	0.16888
548.00	0.16711
549.00	0.16196
550.00	0.15672
551.00	0.15023
552.00	0.14130
553.00	0.13343
554.00	0.12582
555.00	0.11677
556.00	0.10841
557.00	0.10111
558.00	0.094114
559.00	0.089968
560.00	0.085330
561.00	0.083519
562.00	0.082922
563.00	0.083781
564.00	0.085906
565.00	0.089351
566.00	0.094585
567.00	0.10342
568.00	0.11336
569.00	0.12361
570.00	0.13006
571.00	0.13439
572.00	0.13497
573.00	0.13339
574.00	0.13141
575.00	0.12938
576.00	0.12753
577.00	0.12395
578.00	0.12216
579.00	0.11967
580.00	0.11696
581.00	0.11365
582.00	0.10890
583.00	0.10328
584.00	0.096627
585.00	0.089612
586.00	0.082703
587.00	0.076295
588.00	0.070076
589.00	0.063837
590.00	0.058759
591.00	0.054477
592.00	0.049944
593.00	0.047075
594.00	0.044342
595.00	0.042741
596.00	0.042552
597.00	0.042133
598.00	0.040835
599.00	0.039349
600.00	0.038699
601.00	0.036386
602.00	0.033768
603.00	0.031182
604.00	0.029431
605.00	0.027433
606.00	0.025765
607.00	0.025172
608.00	0.024074
609.00	0.024008
610.00	0.024513
