Wavelength (nm)	FL069 [11] 35244-11-2, 2'-Hydroxyflavone [D]
240.00	16296
241.00	16600
242.00	16894
243.00	17171
244.00	17400
245.00	17612
246.00	17720
247.00	17801
248.00	17832
249.00	17754
250.00	17569
251.00	17233
252.00	16608
253.00	15839
254.00	14978
255.00	13896
256.00	12768
257.00	11611
258.00	10409
259.00	9192.5
260.00	8118.6
261.00	7287.5
262.00	6941.2
263.00	6739.8
264.00	6652.7
265.00	6683.5
266.00	6743.8
267.00	6912.3
268.00	7146.9
269.00	7491.4
270.00	7842.9
271.00	8231.6
272.00	8623.1
273.00	9053.3
274.00	9511.6
275.00	9969.8
276.00	10441
277.00	10920
278.00	11399
279.00	11933
280.00	12534
281.00	13135
282.00	13702
283.00	14246
284.00	14649
285.00	14953
286.00	15158
287.00	15223
288.00	15267
289.00	15296
290.00	15324
291.00	15348
292.00	15372
293.00	15404
294.00	15437
295.00	15474
296.00	15511
297.00	15560
298.00	15640
299.00	15721
300.00	15772
301.00	15817
302.00	15857
303.00	15881
304.00	15900
305.00	15885
306.00	15871
307.00	15800
308.00	15719
309.00	15629
310.00	15526
311.00	15423
312.00	15310
313.00	15160
314.00	15010
315.00	14858
316.00	14702
317.00	14547
318.00	14429
319.00	14346
320.00	14263
321.00	14203
322.00	14192
323.00	14181
324.00	14180
325.00	14187
326.00	14186
327.00	14152
328.00	14119
329.00	14077
330.00	14011
331.00	13946
332.00	13858
333.00	13747
334.00	13635
335.00	13465
336.00	13294
337.00	13059
338.00	12799
339.00	12502
340.00	12201
341.00	11863
342.00	11524
343.00	11136
344.00	10723
345.00	10300
346.00	9854.0
347.00	9408.1
348.00	8925.9
349.00	8423.1
350.00	7920.4
351.00	7338.0
352.00	6752.2
353.00	6177.0
354.00	5611.8
355.00	5085.2
356.00	4633.6
357.00	4182.0
358.00	3768.9
359.00	3363.8
360.00	2983.7
361.00	2617.7
362.00	2339.6
363.00	2097.3
364.00	1865.5
365.00	1675.6
366.00	1485.6
367.00	1308.2
368.00	1166.8
369.00	1025.3
370.00	891.71
371.00	782.90
372.00	674.09
373.00	570.95
374.00	487.92
375.00	404.88
376.00	340.67
377.00	299.47
378.00	258.27
379.00	219.31
380.00	186.73
381.00	154.15
382.00	121.57
383.00	109.37
384.00	104.70
385.00	100.03
386.00	94.925
387.00	88.178
388.00	81.431
389.00	74.684
390.00	67.937
391.00	62.179
392.00	58.340
393.00	54.501
394.00	50.662
395.00	47.053
396.00	47.053
397.00	47.053
398.00	47.052
399.00	47.052
400.00	47.052
