Wavelength (nm)	A25 abs e
211.00	4582.7
212.00	4501.7
213.00	4459.5
214.00	4454.3
215.00	4467.0
216.00	4507.5
217.00	4546.6
218.00	4562.8
219.00	4525.9
220.00	4432.1
221.00	4318.7
222.00	4205.9
223.00	4119.4
224.00	4064.0
225.00	4055.0
226.00	4073.0
227.00	4102.3
228.00	4122.5
229.00	4126.2
230.00	4123.1
231.00	4142.7
232.00	4180.5
233.00	4229.9
234.00	4274.7
235.00	4341.7
236.00	4439.7
237.00	4547.1
238.00	4568.4
239.00	4477.9
240.00	4334.4
241.00	4207.9
242.00	4138.8
243.00	4134.3
244.00	4160.5
245.00	4186.4
246.00	4233.7
247.00	4373.9
248.00	4637.4
249.00	4839.0
250.00	4782.7
251.00	4515.6
252.00	4232.1
253.00	4033.1
254.00	3931.1
255.00	3892.6
256.00	3911.1
257.00	3959.5
258.00	4029.9
259.00	4129.2
260.00	4244.8
261.00	4366.4
262.00	4481.7
263.00	4568.3
264.00	4634.2
265.00	4663.9
266.00	4670.1
267.00	4653.9
268.00	4639.3
269.00	4647.5
270.00	4673.7
271.00	4706.8
272.00	4758.1
273.00	4820.9
274.00	4884.4
275.00	4938.7
276.00	4980.9
277.00	5000.0
278.00	4984.7
279.00	4937.1
280.00	4875.1
281.00	4798.1
282.00	4722.4
283.00	4661.1
284.00	4604.5
285.00	4559.5
286.00	4516.8
287.00	4490.2
288.00	4454.0
289.00	4422.4
290.00	4376.5
291.00	4320.5
292.00	4234.8
293.00	4124.6
294.00	3980.4
295.00	3807.2
296.00	3614.2
297.00	3406.6
298.00	3188.5
299.00	2973.2
300.00	2762.6
301.00	2558.5
302.00	2364.4
303.00	2179.8
304.00	2010.1
305.00	1852.7
306.00	1709.3
307.00	1577.5
308.00	1461.0
309.00	1358.0
310.00	1269.8
311.00	1190.0
312.00	1121.8
313.00	1065.3
314.00	1014.8
315.00	973.95
316.00	938.44
317.00	908.63
318.00	882.58
319.00	862.91
320.00	845.08
321.00	831.53
322.00	819.39
323.00	805.96
324.00	797.18
325.00	788.34
326.00	780.87
327.00	774.79
328.00	768.03
329.00	763.05
330.00	757.39
331.00	751.00
332.00	745.72
333.00	740.15
334.00	732.90
335.00	725.70
336.00	718.36
337.00	710.45
338.00	702.73
339.00	694.12
340.00	684.49
341.00	674.36
342.00	662.62
343.00	651.45
344.00	640.58
345.00	629.72
346.00	620.37
347.00	607.50
348.00	595.83
349.00	582.36
350.00	569.41
351.00	556.30
352.00	544.24
353.00	531.14
354.00	518.73
355.00	506.08
356.00	492.11
357.00	479.56
358.00	467.99
359.00	454.94
360.00	443.17
361.00	430.50
362.00	416.17
363.00	401.55
364.00	386.43
365.00	370.55
366.00	352.99
367.00	335.19
368.00	319.13
369.00	301.11
370.00	284.45
371.00	265.14
372.00	249.68
373.00	233.89
374.00	217.18
375.00	203.77
376.00	188.56
377.00	174.14
378.00	162.71
379.00	151.74
380.00	141.92
381.00	129.81
382.00	119.72
383.00	111.32
384.00	101.53
385.00	94.975
386.00	89.185
387.00	82.063
388.00	75.952
389.00	70.496
390.00	66.387
391.00	60.847
392.00	56.474
393.00	52.566
394.00	47.689
395.00	43.830
396.00	40.479
397.00	38.281
398.00	36.222
399.00	33.745
400.00	32.566
401.00	29.406
402.00	26.962
403.00	26.161
404.00	24.509
405.00	23.702
406.00	21.141
407.00	20.725
408.00	18.635
409.00	17.732
410.00	16.001
411.00	15.224
412.00	14.877
413.00	13.720
414.00	12.568
415.00	11.051
416.00	10.261
417.00	9.7769
418.00	10.551
419.00	9.5160
420.00	8.6667
421.00	8.4676
422.00	7.8351
423.00	7.2556
424.00	7.0477
425.00	6.3820
426.00	7.2512
427.00	5.3425
428.00	5.5858
429.00	5.6433
430.00	5.0904
431.00	5.4443
432.00	4.3583
433.00	3.4582
434.00	4.6702
435.00	4.2655
436.00	3.4560
437.00	5.6256
438.00	3.7081
439.00	4.0819
440.00	3.3321
441.00	4.0576
442.00	2.7682
443.00	4.5552
444.00	4.1504
445.00	4.5994
446.00	4.4822
447.00	3.1331
448.00	3.5290
449.00	2.9628
450.00	3.5621
