Wavelength (nm)	Chem Eur J 2012_10873, Mc-NCC-58 abs [Z]
200.00	0.53842
201.00	0.60092
202.00	0.66037
203.00	0.70590
204.00	0.75144
205.00	0.79458
206.00	0.83687
207.00	0.88999
208.00	0.94334
209.00	0.97904
210.00	0.99263
211.00	0.99784
212.00	1.0000
213.00	0.99378
214.00	0.98601
215.00	0.98375
216.00	0.97994
217.00	0.97228
218.00	0.95627
219.00	0.94025
220.00	0.92254
221.00	0.90366
222.00	0.88477
223.00	0.86751
224.00	0.85056
225.00	0.83360
226.00	0.81739
227.00	0.80178
228.00	0.78617
229.00	0.77512
230.00	0.76521
231.00	0.75669
232.00	0.74882
233.00	0.74556
234.00	0.74313
235.00	0.74334
236.00	0.74354
237.00	0.74310
238.00	0.74254
239.00	0.74029
240.00	0.73648
241.00	0.73113
242.00	0.72438
243.00	0.71226
244.00	0.70016
245.00	0.68816
246.00	0.67616
247.00	0.66096
248.00	0.64009
249.00	0.61921
250.00	0.59786
251.00	0.57640
252.00	0.55495
253.00	0.52480
254.00	0.49312
255.00	0.46917
256.00	0.45237
257.00	0.43558
258.00	0.41882
259.00	0.40409
260.00	0.38942
261.00	0.38186
262.00	0.37430
263.00	0.36674
264.00	0.35918
265.00	0.35386
266.00	0.34858
267.00	0.34424
268.00	0.34069
269.00	0.33714
270.00	0.33683
271.00	0.33652
272.00	0.33590
273.00	0.33431
274.00	0.33271
275.00	0.33157
276.00	0.33157
277.00	0.33157
278.00	0.33157
279.00	0.33160
280.00	0.33233
281.00	0.33307
282.00	0.33380
283.00	0.33526
284.00	0.33734
285.00	0.33942
286.00	0.34150
287.00	0.34449
288.00	0.34881
289.00	0.35313
290.00	0.35802
291.00	0.36482
292.00	0.37162
293.00	0.37924
294.00	0.38743
295.00	0.39563
296.00	0.40383
297.00	0.41278
298.00	0.42318
299.00	0.43359
300.00	0.44543
301.00	0.45974
302.00	0.47452
303.00	0.48965
304.00	0.50173
305.00	0.51231
306.00	0.52288
307.00	0.53210
308.00	0.54119
309.00	0.54834
310.00	0.55463
311.00	0.55936
312.00	0.56365
313.00	0.56501
314.00	0.56632
315.00	0.56565
316.00	0.56467
317.00	0.55862
318.00	0.55139
319.00	0.54329
320.00	0.53192
321.00	0.51958
322.00	0.50556
323.00	0.48939
324.00	0.47308
325.00	0.45621
326.00	0.43297
327.00	0.39536
328.00	0.37099
329.00	0.34711
330.00	0.32324
331.00	0.29921
332.00	0.27505
333.00	0.25090
334.00	0.22615
335.00	0.20036
336.00	0.17464
337.00	0.15099
338.00	0.12733
339.00	0.10772
340.00	0.092303
341.00	0.077118
342.00	0.062040
343.00	0.050607
344.00	0.043454
345.00	0.036301
346.00	0.030447
347.00	0.025149
348.00	0.020735
349.00	0.018713
350.00	0.015572
351.00	0.010444
352.00	0.0082263
353.00	0.0068781
354.00	0.0056722
355.00	0.0044894
356.00	0.0036492
357.00	0.0035368
358.00	0.0034245
359.00	0.0033121
360.00	0.0032560
361.00	0.0032560
362.00	0.0032560
363.00	0.0032560
364.00	0.0032560
365.00	0.0032560
366.00	0.0032610
367.00	0.0033855
368.00	0.0035101
369.00	0.0036347
370.00	0.0037593
371.00	0.0038839
372.00	0.0040084
373.00	0.0044191
374.00	0.0064507
375.00	0.0083220
376.00	0.010005
377.00	0.011688
378.00	0.014296
379.00	0.016440
380.00	0.017407
381.00	0.018277
382.00	0.018277
383.00	0.017545
384.00	0.016503
385.00	0.014606
386.00	0.012622
387.00	0.010326
388.00	0.0080300
389.00	0.0060372
390.00	0.0041250
391.00	0.0028342
392.00	0.0017291
393.00	0.0011102
394.00	0.0011102
395.00	0.0011102
396.00	0.0011102
397.00	0.0011102
398.00	0.0011102
399.00	0.0011102
400.00	0.0011102
