Wavelength (nm)	A05 abs1 e
230.00	117.07
231.00	73.612
232.00	52.253
233.00	42.387
234.00	39.398
235.00	40.252
236.00	42.988
237.00	47.087
238.00	51.994
239.00	57.846
240.00	66.122
241.00	76.325
242.00	84.495
243.00	92.425
244.00	103.01
245.00	119.24
246.00	133.45
247.00	151.36
248.00	170.18
249.00	184.79
250.00	198.90
251.00	209.86
252.00	251.49
253.00	286.32
254.00	302.78
255.00	328.39
256.00	329.62
257.00	368.11
258.00	407.80
259.00	435.10
260.00	538.14
261.00	530.67
262.00	481.26
263.00	492.11
264.00	501.17
265.00	615.30
266.00	720.31
267.00	653.29
268.00	712.41
269.00	725.64
270.00	540.76
271.00	399.24
272.00	328.89
273.00	410.01
274.00	697.18
275.00	770.00
276.00	500.80
277.00	277.90
278.00	144.82
279.00	76.294
280.00	47.950
281.00	34.478
282.00	22.429
283.00	13.937
284.00	9.0621
285.00	6.0694
286.00	4.0425
287.00	3.1187
288.00	2.4649
289.00	1.9946
290.00	1.7407
291.00	1.5888
292.00	1.3658
293.00	1.2188
294.00	1.1277
295.00	1.0244
296.00	1.0327
297.00	0.95308
298.00	0.90605
299.00	0.90407
300.00	0.89487
