Wavelngth (nm)	FL065 [11] 26964-24-9, 6-Methoxyflavone [C]
210.00	24143
211.00	22257
212.00	20509
213.00	18862
214.00	17492
215.00	16533
216.00	15989
217.00	15682
218.00	15510
219.00	15404
220.00	15387
221.00	15400
222.00	15404
223.00	15327
224.00	15172
225.00	14935
226.00	14664
227.00	14380
228.00	14083
229.00	13724
230.00	13291
231.00	12767
232.00	12191
233.00	11558
234.00	10907
235.00	10257
236.00	9608.1
237.00	9016.7
238.00	8526.1
239.00	8175.2
240.00	8000.5
241.00	8010.8
242.00	8183.6
243.00	8492.9
244.00	8915.9
245.00	9423.0
246.00	10009
247.00	10662
248.00	11370
249.00	12117
250.00	12883
251.00	13690
252.00	14527
253.00	15380
254.00	16240
255.00	17103
256.00	17993
257.00	18891
258.00	19785
259.00	20677
260.00	21490
261.00	22251
262.00	22941
263.00	23540
264.00	24010
265.00	24378
266.00	24634
267.00	24811
268.00	24877
269.00	24885
270.00	24900
271.00	24803
272.00	24559
273.00	24118
274.00	23418
275.00	22460
276.00	21220
277.00	19796
278.00	18298
279.00	16878
280.00	15660
281.00	14723
282.00	14054
283.00	13657
284.00	13489
285.00	13519
286.00	13694
287.00	13977
288.00	14312
289.00	14696
290.00	15106
291.00	15526
292.00	15937
293.00	16350
294.00	16702
295.00	17011
296.00	17281
297.00	17495
298.00	17696
299.00	17853
300.00	17986
301.00	18077
302.00	18142
303.00	18122
304.00	18074
305.00	17986
306.00	17863
307.00	17658
308.00	17402
309.00	17050
310.00	16626
311.00	16160
312.00	15650
313.00	15092
314.00	14523
315.00	13947
316.00	13399
317.00	12866
318.00	12362
319.00	11895
320.00	11475
321.00	11104
322.00	10772
323.00	10443
324.00	10150
325.00	9851.3
326.00	9582.3
327.00	9312.5
328.00	9052.1
329.00	8778.6
330.00	8500.5
331.00	8223.3
332.00	7938.2
333.00	7662.5
334.00	7393.0
335.00	7142.5
336.00	6893.8
337.00	6662.6
338.00	6419.3
339.00	6200.0
340.00	5984.6
341.00	5781.5
342.00	5563.8
343.00	5349.8
344.00	5131.6
345.00	4918.2
346.00	4683.4
347.00	4451.9
348.00	4208.0
349.00	3963.6
350.00	3725.9
351.00	3490.2
352.00	3248.5
353.00	3009.1
354.00	2772.0
355.00	2538.2
356.00	2338.2
357.00	2143.6
358.00	1954.9
359.00	1763.8
360.00	1582.0
361.00	1409.0
362.00	1253.9
363.00	1111.2
364.00	982.61
365.00	871.36
366.00	763.09
367.00	660.07
368.00	575.10
369.00	504.44
370.00	453.90
371.00	390.21
372.00	339.55
373.00	291.86
374.00	259.48
375.00	220.73
376.00	185.13
377.00	163.49
378.00	137.16
379.00	133.29
380.00	117.57
381.00	101.15
382.00	85.475
383.00	74.253
384.00	72.376
385.00	69.141
386.00	71.235
387.00	63.710
388.00	50.105
389.00	47.780
390.00	50.264
391.00	47.578
392.00	44.921
393.00	49.614
394.00	30.767
395.00	37.642
396.00	34.080
397.00	33.699
398.00	35.114
399.00	34.788
400.00	26.824
401.00	26.608
402.00	26.853
403.00	27.200
404.00	28.225
405.00	32.702
406.00	30.998
407.00	32.688
408.00	39.404
409.00	33.655
410.00	29.366
411.00	28.268
412.00	29.279
413.00	28.268
414.00	28.297
415.00	29.308
416.00	27.460
417.00	21.654
418.00	29.164
419.00	33.396
420.00	34.161
421.00	34.955
422.00	30.796
423.00	24.918
424.00	30.059
425.00	29.034
426.00	44.256
427.00	42.985
428.00	37.425
429.00	35.389
430.00	33.757
431.00	25.221
432.00	32.052
433.00	37.512
434.00	39.606
435.00	35.071
436.00	39.765
437.00	35.894
438.00	34.262
439.00	30.854
440.00	41.252
441.00	38.739
442.00	45.022
443.00	41.960
444.00	40.920
445.00	33.020
446.00	31.431
447.00	35.611
448.00	47.867
449.00	47.824
450.00	44.718
451.00	42.480
452.00	35.620
453.00	39.707
454.00	42.595
455.00	52.922
456.00	57.457
457.00	45.311
458.00	39.606
459.00	39.302
460.00	45.354
461.00	59.767
462.00	67.769
463.00	57.067
464.00	42.682
465.00	49.383
466.00	48.127
467.00	48.531
468.00	52.127
469.00	54.077
470.00	70.267
471.00	65.905
472.00	46.307
473.00	42.509
474.00	38.638
475.00	58.468
476.00	60.287
477.00	48.748
478.00	47.390
479.00	41.122
480.00	34.435
481.00	41.397
482.00	45.542
483.00	54.583
484.00	53.904
485.00	52.041
486.00	34.316
487.00	33.477
488.00	49.094
489.00	51.810
490.00	47.318
491.00	39.721
492.00	34.695
493.00	35.071
494.00	34.444
495.00	45.672
496.00	43.433
497.00	33.684
498.00	44.892
499.00	59.305
500.00	43.924
