Wavelength (nm)	C10 abs e
275.00	33363
276.00	33191
277.00	26157
278.00	24221
279.00	24338
280.00	24283
281.00	25039
282.00	26171
283.00	27761
284.00	29723
285.00	32029
286.00	34813
287.00	37936
288.00	41521
289.00	45441
290.00	49628
291.00	53863
292.00	58218
293.00	62711
294.00	67569
295.00	73046
296.00	79251
297.00	86361
298.00	94509
299.00	1.0273e+05
300.00	1.1108e+05
301.00	1.1861e+05
302.00	1.2421e+05
303.00	1.2694e+05
304.00	1.2592e+05
305.00	1.2141e+05
306.00	1.1436e+05
307.00	1.0458e+05
308.00	94349
309.00	84369
310.00	75068
311.00	66933
312.00	60112
313.00	54352
314.00	49382
315.00	44917
316.00	40848
317.00	36930
318.00	33110
319.00	29468
320.00	26139
321.00	22974
322.00	20253
323.00	17821
324.00	15728
325.00	14027
326.00	12514
327.00	11240
328.00	10212
329.00	9353.2
330.00	8568.0
331.00	7867.6
332.00	7221.2
333.00	6611.6
334.00	6050.6
335.00	5543.2
336.00	5078.3
337.00	4625.0
338.00	4162.6
339.00	3784.7
340.00	3382.2
341.00	3063.7
342.00	2778.9
343.00	2515.4
344.00	2252.6
345.00	2048.7
346.00	1834.5
347.00	1662.4
348.00	1533.5
349.00	1387.6
350.00	1278.3
351.00	1164.8
352.00	1076.3
353.00	995.84
354.00	958.48
355.00	897.62
356.00	874.36
357.00	830.35
358.00	781.33
359.00	740.24
360.00	703.98
361.00	665.34
362.00	664.79
363.00	649.78
364.00	621.82
365.00	592.82
366.00	618.46
367.00	608.81
368.00	586.84
369.00	599.11
370.00	573.65
371.00	564.68
372.00	560.89
373.00	546.97
374.00	570.48
375.00	574.14
376.00	620.47
377.00	611.07
378.00	549.05
379.00	509.37
380.00	509.37
381.00	520.18
382.00	557.23
383.00	587.94
384.00	567.91
385.00	530.43
386.00	533.24
387.00	558.57
388.00	631.22
389.00	626.52
390.00	629.20
391.00	626.09
392.00	636.89
393.00	628.23
394.00	714.61
395.00	720.34
396.00	733.83
397.00	732.31
398.00	743.42
399.00	781.14
400.00	841.82
401.00	864.78
402.00	900.43
403.00	949.57
404.00	942.24
405.00	940.66
406.00	974.96
407.00	1038.6
408.00	1069.7
409.00	1100.0
410.00	1101.3
411.00	1097.2
412.00	1097.2
413.00	1152.9
414.00	1199.3
415.00	1243.0
416.00	1246.9
417.00	1266.1
418.00	1278.8
419.00	1362.1
420.00	1432.2
421.00	1509.5
422.00	1530.5
423.00	1600.6
424.00	1663.1
425.00	1712.3
426.00	1824.0
427.00	1932.4
428.00	2019.6
429.00	2083.9
430.00	2139.0
431.00	2197.0
432.00	2251.8
433.00	2342.9
434.00	2368.6
435.00	2417.8
436.00	2421.4
437.00	2401.8
438.00	2440.4
439.00	2440.0
440.00	2434.2
441.00	2505.8
442.00	2490.1
443.00	2510.0
444.00	2536.9
445.00	2625.1
446.00	2760.9
447.00	2891.7
448.00	3036.5
449.00	3201.6
450.00	3394.4
451.00	3587.6
452.00	3808.8
453.00	4119.2
454.00	4419.6
455.00	4656.7
456.00	4875.5
457.00	5109.5
458.00	5356.6
459.00	5547.0
460.00	5681.5
461.00	5787.7
462.00	5823.9
463.00	5838.3
464.00	5894.9
465.00	5887.5
466.00	5847.6
467.00	5837.3
468.00	5737.1
469.00	5548.1
470.00	5498.1
471.00	5447.5
472.00	5446.1
473.00	5476.7
474.00	5509.4
475.00	5528.8
476.00	5608.6
477.00	5774.5
478.00	6103.3
479.00	6374.5
480.00	6763.2
481.00	7083.2
482.00	7518.1
483.00	7984.0
484.00	8441.2
485.00	9089.1
486.00	9393.6
487.00	9631.3
488.00	10096
489.00	10381
490.00	10747
491.00	11003
492.00	11144
493.00	11261
494.00	11233
495.00	11078
496.00	10971
497.00	10803
498.00	10606
499.00	10309
500.00	9947.7
501.00	9627.7
502.00	9232.9
503.00	8862.6
504.00	8569.1
505.00	8255.8
506.00	8013.0
507.00	7709.3
508.00	7516.7
509.00	7382.6
510.00	7420.7
511.00	7451.1
512.00	7440.5
513.00	7550.1
514.00	7678.8
515.00	8037.6
516.00	8395.2
517.00	8720.5
518.00	9111.1
519.00	9444.1
520.00	9797.7
521.00	10195
522.00	10622
523.00	10939
524.00	11227
525.00	11501
526.00	11598
527.00	11715
528.00	11800
529.00	11760
530.00	11730
531.00	11566
532.00	11250
533.00	10912
534.00	10521
535.00	10186
536.00	9791.0
537.00	9269.5
538.00	8718.6
539.00	8166.4
540.00	7614.4
541.00	7157.6
542.00	6630.2
543.00	6063.8
544.00	5592.6
545.00	5074.1
546.00	4600.3
547.00	4124.1
548.00	3752.9
549.00	3366.5
550.00	2954.2
551.00	2656.4
552.00	2309.1
553.00	1987.1
554.00	1789.0
555.00	1546.9
556.00	1404.0
557.00	1213.0
558.00	1008.1
559.00	873.51
560.00	797.08
561.00	722.91
562.00	631.16
563.00	575.36
564.00	422.81
565.00	362.50
566.00	335.15
567.00	297.97
568.00	320.43
569.00	277.28
570.00	256.76
571.00	207.75
572.00	185.89
573.00	173.62
574.00	175.21
575.00	161.11
576.00	145.48
577.00	119.05
578.00	137.54
579.00	125.09
580.00	134.73
581.00	117.76
582.00	119.35
583.00	112.33
584.00	125.27
585.00	118.50
586.00	99.817
587.00	122.83
588.00	117.52
589.00	94.201
590.00	73.445
591.00	102.32
592.00	114.28
593.00	99.267
594.00	99.878
595.00	104.94
596.00	79.122
597.00	68.378
598.00	105.98
599.00	129.18
600.00	78.512
