Wavelength (nm)	MesoP IX (in 1 N aqHCl).abs
634.00	0.0011483
635.00	0.0011435
636.00	0.0010774
637.00	0.0010701
638.00	0.0011522
639.00	0.0011435
640.00	0.00099101
641.00	0.0010215
642.00	0.0010575
643.00	0.0010390
644.00	0.0010123
645.00	0.00092801
646.00	0.00082201
647.00	0.00076401
648.00	0.00084901
649.00	0.00090601
650.00	0.00091201
651.00	0.00094501
652.00	0.00093601
653.00	0.00078102
654.00	0.00080002
655.00	0.00087011
656.00	0.00091087
657.00	0.00078126
658.00	0.00080801
659.00	0.00078601
660.00	0.00080801
661.00	0.00079601
662.00	0.00081301
663.00	0.00084001
664.00	0.00080901
665.00	0.00083401
666.00	0.00071101
667.00	0.00077101
668.00	0.00074401
669.00	0.00079501
670.00	0.00071201
671.00	0.00072901
672.00	0.00070801
673.00	0.00074801
674.00	0.00079901
675.00	0.00075301
676.00	0.00074301
677.00	0.00080901
678.00	0.00075401
679.00	0.00077401
680.00	0.00074601
681.00	0.00079401
682.00	0.00076901
683.00	0.00078801
684.00	0.00075701
685.00	0.00077701
686.00	0.00074401
687.00	0.00076701
688.00	0.00074301
689.00	0.00074901
690.00	0.00075201
691.00	0.00081101
692.00	0.00072201
693.00	0.00071001
694.00	0.00066501
695.00	0.00069001
696.00	0.00072201
697.00	0.00070901
698.00	0.00062601
699.00	0.00067101
700.00	0.00062701
