Wavelength (nm)	D05 abs e
220.00	7955.1
220.25	7998.5
220.50	7806.7
220.75	8031.5
221.00	7974.5
221.25	8118.0
221.50	8008.2
221.75	8087.1
222.00	8242.1
222.25	8380.1
222.50	8130.2
222.75	8385.0
223.00	8447.5
223.25	8400.6
223.50	8531.8
223.75	8444.3
224.00	8730.4
224.25	8958.0
224.50	8894.6
224.75	8909.7
225.00	8951.1
225.25	8954.8
225.50	8998.0
225.75	8992.8
226.00	8945.0
226.25	9160.8
226.50	9286.7
226.75	9193.2
227.00	9132.8
227.25	9304.0
227.50	9465.2
227.75	9431.8
228.00	9486.0
228.25	9486.1
228.50	9400.6
228.75	9505.2
229.00	9565.7
229.25	9607.1
229.50	9723.6
229.75	9548.9
230.00	9809.9
230.25	9923.8
230.50	9780.1
230.75	9816.4
231.00	9776.1
231.25	9678.9
231.50	9785.1
231.75	9916.6
232.00	9841.6
232.25	9743.3
232.50	9791.3
232.75	9871.6
233.00	9770.0
233.25	9773.4
233.50	9785.8
233.75	9771.9
234.00	9596.7
234.25	9653.0
234.50	9419.2
234.75	9421.7
235.00	9317.9
235.25	9343.2
235.50	9323.0
235.75	9352.1
236.00	9326.5
236.25	9151.2
236.50	9106.4
236.75	9003.7
237.00	9131.3
237.25	8981.0
237.50	9105.1
237.75	8924.1
238.00	8608.6
238.25	8532.1
238.50	8436.8
238.75	8481.5
239.00	8273.4
239.25	8129.4
239.50	8217.8
239.75	7896.3
240.00	7779.5
240.25	7672.0
240.50	7595.0
240.75	7393.4
241.00	7367.9
241.25	7136.5
241.50	7026.2
241.75	7003.2
242.00	6725.3
242.25	6783.4
242.50	6673.1
242.75	6517.8
243.00	6400.9
243.25	6210.7
243.50	6181.8
243.75	6000.5
244.00	5880.9
244.25	5850.8
244.50	5708.3
244.75	5795.6
245.00	5647.5
245.25	5489.2
245.50	5414.0
245.75	5257.5
246.00	5085.7
246.25	4948.8
246.50	4769.5
246.75	4647.0
247.00	4615.5
247.25	4550.2
247.50	4313.0
247.75	4230.1
248.00	3980.5
248.25	3917.7
248.50	3797.7
248.75	3646.8
249.00	3564.7
249.25	3566.1
249.50	3231.9
249.75	3204.7
250.00	3127.0
250.25	3053.0
250.50	2821.0
250.75	2719.3
251.00	2807.2
251.25	2642.7
251.50	2660.2
251.75	2595.3
252.00	2485.7
252.25	2601.3
252.50	2367.4
252.75	2312.6
253.00	2288.3
253.25	2269.3
253.50	2294.7
253.75	2149.5
254.00	2024.9
254.25	2051.5
254.50	2157.7
254.75	2102.8
