Wavelength (nm)	K07 abs e
220.00	15338
220.25	19539
220.50	19820
220.75	19268
221.00	19608
221.25	19542
221.50	19136
221.75	19484
222.00	19280
222.25	19488
222.50	19674
222.75	19371
223.00	19236
223.25	18845
223.50	19080
223.75	18991
224.00	18486
224.25	18758
224.50	18444
224.75	18502
225.00	18143
225.25	17815
225.50	17744
225.75	17474
226.00	17292
226.25	17150
226.50	17091
226.75	16946
227.00	16677
227.25	16266
227.50	16156
227.75	15510
228.00	15416
228.25	15124
228.50	14918
228.75	14564
229.00	14102
229.25	13435
229.50	13274
229.75	12840
230.00	12396
230.25	12291
230.50	11899
230.75	11310
231.00	11009
231.25	10988
231.50	10681
231.75	10164
232.00	9905.8
232.25	10062
232.50	9547.3
232.75	9385.8
233.00	9088.5
233.25	8800.1
233.50	8800.1
233.75	8761.1
234.00	8544.0
234.25	8522.8
234.50	8365.8
234.75	7962.7
235.00	7966.0
235.25	7596.4
235.50	7703.2
235.75	7744.4
236.00	7795.7
236.25	7720.0
236.50	7541.8
236.75	7483.9
237.00	7709.9
237.25	7733.3
237.50	7573.0
237.75	7836.9
238.00	7655.4
238.25	7463.8
238.50	7346.9
238.75	7552.9
239.00	7392.6
239.25	7548.5
239.50	7565.2
239.75	7589.7
240.00	7791.2
240.25	7434.9
240.50	7380.3
240.75	7667.6
241.00	7618.6
241.25	7801.2
241.50	8028.4
241.75	8140.9
242.00	8031.7
242.25	8021.7
242.50	8584.1
242.75	8501.7
243.00	8687.6
243.25	8718.8
243.50	8764.4
243.75	8684.3
244.00	8684.3
244.25	8663.1
244.50	8626.4
244.75	8721.0
245.00	8762.2
245.25	8851.3
245.50	8657.5
245.75	8624.1
246.00	8721.0
246.25	8786.7
246.50	8844.6
246.75	8844.6
247.00	9061.8
247.25	9169.8
247.50	9353.5
247.75	9710.9
248.00	10224
248.25	10098
248.50	10359
248.75	10489
249.00	10392
249.25	10180
249.50	10126
249.75	9762.2
250.00	9882.4
250.25	9507.2
250.50	9285.6
250.75	9375.8
251.00	9143.0
251.25	9294.5
251.50	9236.6
251.75	9037.3
252.00	8903.6
252.25	8979.4
252.50	8946.0
252.75	8924.8
253.00	9280.0
253.25	9627.4
253.50	9854.6
253.75	10225
254.00	10496
254.25	10885
254.50	10771
254.75	10578
255.00	10573
255.25	10478
255.50	10108
255.75	9717.6
256.00	9506.1
256.25	9444.8
256.50	9055.1
256.75	8928.1
257.00	8974.9
257.25	8790.1
257.50	8451.5
257.75	8458.2
258.00	8395.9
258.25	8206.6
258.50	8165.4
258.75	8163.1
259.00	8104.1
259.25	8382.5
259.50	8398.1
259.75	8628.6
260.00	8816.8
260.25	9176.5
260.50	9207.6
260.75	9075.1
261.00	9001.6
261.25	8873.6
261.50	8571.8
261.75	8517.2
262.00	8182.1
262.25	8025.1
262.50	7890.3
262.75	7801.2
263.00	7667.6
263.25	7694.3
263.50	7529.5
263.75	7447.1
264.00	7370.3
264.25	7261.2
264.50	7135.3
264.75	7382.6
265.00	7223.3
265.25	7334.7
265.50	7074.1
265.75	7168.8
266.00	6950.5
266.25	7024.0
266.50	6762.3
266.75	6842.5
267.00	6922.7
267.25	7034.0
267.50	6800.2
267.75	6671.0
268.00	6734.5
268.25	6645.4
268.50	6556.3
268.75	6620.9
269.00	6468.3
269.25	6588.6
269.50	6450.5
269.75	6397.1
270.00	6538.5
270.25	6342.5
270.50	6314.7
270.75	6223.4
271.00	6328.0
