Wavelength (nm)	FL002 [1] 3722-72-3, 8-methyl-chromane [D]
245.00	104.84
246.00	97.262
247.00	95.011
248.00	98.137
249.00	106.85
250.00	117.88
251.00	132.09
252.00	149.59
253.00	177.02
254.00	204.06
255.00	237.80
256.00	278.35
257.00	323.05
258.00	374.15
259.00	433.77
260.00	500.51
261.00	577.18
262.00	660.71
263.00	739.00
264.00	816.04
265.00	897.51
266.00	983.56
267.00	1078.6
268.00	1180.3
269.00	1283.3
270.00	1393.1
271.00	1505.6
272.00	1633.8
273.00	1796.5
274.00	1875.4
275.00	1874.7
276.00	1824.3
277.00	1807.7
278.00	1808.8
279.00	1765.1
280.00	1684.0
281.00	1674.4
282.00	1809.7
283.00	2180.0
284.00	1979.9
285.00	1616.3
286.00	1235.9
287.00	866.66
288.00	537.58
289.00	335.57
290.00	221.63
291.00	159.93
292.00	119.00
293.00	88.201
294.00	65.575
295.00	48.850
296.00	34.081
297.00	23.676
298.00	16.060
299.00	12.127
300.00	9.2529
301.00	6.6870
302.00	5.9312
303.00	5.1777
304.00	4.4266
305.00	3.4475
306.00	2.7027
307.00	2.6507
308.00	2.6007
309.00	2.5616
310.00	2.5298
