Wavelength (nm)	T11 abs e
350.00	9051.3
351.00	9107.5
352.00	9150.4
353.00	9202.4
354.00	9221.7
355.00	9227.8
356.00	9167.3
357.00	9172.8
358.00	9178.4
359.00	9154.0
360.00	9075.1
361.00	9013.4
362.00	9003.5
363.00	9025.3
364.00	9175.9
365.00	9470.8
366.00	9595.5
367.00	9628.7
368.00	9703.3
369.00	9825.6
370.00	9938.4
371.00	10053
372.00	10230
373.00	10406
374.00	10650
375.00	10994
376.00	11437
377.00	12097
378.00	12984
379.00	14037
380.00	15364
381.00	17053
382.00	19114
383.00	21407
384.00	23916
385.00	26608
386.00	29270
387.00	32025
388.00	34390
389.00	36354
390.00	37782
391.00	38662
392.00	39066
393.00	38957
394.00	38709
395.00	38372
396.00	38369
397.00	39038
398.00	40742
399.00	43571
400.00	47835
401.00	53956
402.00	61928
403.00	72183
404.00	85090
405.00	1.0007e+05
406.00	1.1651e+05
407.00	1.3364e+05
408.00	1.5174e+05
409.00	1.6835e+05
410.00	1.7993e+05
411.00	1.8600e+05
412.00	1.8526e+05
413.00	1.7751e+05
414.00	1.6379e+05
415.00	1.4550e+05
416.00	1.2507e+05
417.00	1.0434e+05
418.00	84991
419.00	67914
420.00	53186
421.00	40935
422.00	31495
423.00	24523
424.00	18890
425.00	14603
426.00	11391
427.00	8888.3
428.00	7183.7
429.00	5939.3
430.00	4936.0
431.00	4291.2
432.00	3837.4
433.00	3405.6
434.00	3027.7
435.00	2840.1
436.00	2629.3
437.00	2481.6
438.00	2362.6
439.00	2265.3
440.00	2193.6
441.00	2102.7
442.00	2043.0
443.00	2015.9
444.00	1969.2
445.00	1960.0
446.00	1933.7
447.00	1928.7
448.00	1921.4
449.00	1853.1
450.00	1849.1
451.00	1871.2
452.00	1842.5
453.00	1822.0
454.00	1802.3
455.00	1785.4
456.00	1778.6
457.00	1784.0
458.00	1778.4
459.00	1756.2
460.00	1743.5
461.00	1752.1
462.00	1796.2
463.00	1768.7
464.00	1786.9
465.00	1784.4
466.00	1818.2
467.00	1848.8
468.00	1897.1
469.00	1936.1
470.00	1951.6
471.00	1915.2
472.00	1958.1
473.00	1959.5
474.00	1982.1
475.00	1973.7
476.00	1938.8
477.00	1955.2
478.00	1952.0
479.00	1914.9
480.00	1874.8
481.00	1835.3
482.00	1820.1
483.00	1821.4
484.00	1802.0
485.00	1781.5
486.00	1721.2
487.00	1850.7
488.00	1953.7
489.00	1910.1
490.00	1927.2
491.00	2005.1
492.00	2096.7
493.00	2169.3
494.00	2268.1
495.00	2411.6
496.00	2526.7
497.00	2650.5
498.00	2869.0
499.00	3079.3
500.00	3305.4
501.00	3574.8
502.00	3826.1
503.00	4034.1
504.00	4236.5
505.00	4390.3
506.00	4453.9
507.00	4463.6
508.00	4384.5
509.00	4324.7
510.00	4236.5
511.00	4174.7
512.00	4095.2
513.00	4006.0
514.00	3921.6
515.00	3865.6
516.00	3772.3
517.00	3677.8
518.00	3551.7
519.00	3453.7
520.00	3387.9
521.00	3311.8
522.00	3240.9
523.00	3166.1
524.00	3109.0
525.00	3065.6
526.00	3035.2
527.00	2971.3
528.00	2911.9
529.00	2831.4
530.00	2803.2
531.00	2777.1
532.00	2733.0
533.00	2717.4
534.00	2660.9
535.00	2618.0
536.00	2583.3
537.00	2535.6
538.00	2471.4
539.00	2401.2
540.00	2353.7
541.00	2283.4
542.00	2233.2
543.00	2177.7
544.00	2121.6
545.00	2077.7
546.00	2083.9
547.00	2134.6
548.00	2139.4
549.00	2173.6
550.00	2228.8
551.00	2352.5
552.00	2483.9
553.00	2639.2
554.00	2885.7
555.00	3161.3
556.00	3485.9
557.00	3846.5
558.00	4220.6
559.00	4620.6
560.00	4936.9
561.00	5211.1
562.00	5396.8
563.00	5444.7
564.00	5370.5
565.00	5231.1
566.00	5061.9
567.00	4915.4
568.00	4877.1
569.00	4855.9
570.00	4904.4
571.00	4972.4
572.00	5017.2
573.00	5017.5
574.00	4922.4
575.00	4799.5
576.00	4608.3
577.00	4421.9
578.00	4237.2
579.00	4113.5
580.00	3915.1
581.00	3757.6
582.00	3578.9
583.00	3539.1
584.00	3392.1
585.00	3277.2
586.00	3261.8
587.00	3289.8
588.00	3395.9
589.00	3620.1
590.00	3910.0
591.00	4270.7
592.00	4692.4
593.00	5080.6
594.00	5503.8
595.00	5901.4
596.00	6325.3
597.00	6868.6
598.00	7686.2
599.00	8856.2
600.00	10596
601.00	12994
602.00	16173
603.00	20181
604.00	24572
605.00	29262
606.00	33601
607.00	36746
608.00	38381
609.00	38214
610.00	36319
611.00	32983
612.00	28870
613.00	24386
614.00	20003
615.00	16086
616.00	12724
617.00	9939.6
618.00	7800.6
619.00	6188.6
620.00	4940.8
621.00	4060.2
622.00	3330.3
623.00	2798.6
624.00	2360.8
625.00	2042.4
626.00	1787.4
627.00	1556.4
628.00	1387.0
629.00	1224.5
630.00	1108.1
631.00	1007.8
632.00	914.53
633.00	804.50
634.00	700.79
635.00	629.88
636.00	578.62
637.00	513.35
638.00	480.21
639.00	460.39
640.00	441.25
641.00	421.09
642.00	395.63
643.00	389.31
644.00	359.24
645.00	351.89
646.00	341.30
647.00	342.84
648.00	330.54
649.00	305.42
650.00	291.58
651.00	307.98
652.00	314.13
653.00	293.97
654.00	283.38
655.00	281.16
656.00	172.49
657.00	380.77
658.00	355.31
659.00	270.91
660.00	272.44
661.00	273.98
662.00	259.97
663.00	273.64
664.00	254.16
665.00	266.12
666.00	284.92
667.00	266.29
668.00	273.81
669.00	267.32
670.00	268.86
671.00	273.13
672.00	275.35
673.00	279.96
674.00	275.18
675.00	272.27
676.00	266.12
677.00	283.72
678.00	271.76
679.00	269.20
680.00	255.53
681.00	281.84
682.00	281.16
683.00	278.59
684.00	260.14
685.00	275.52
686.00	278.94
687.00	285.26
688.00	284.06
689.00	289.53
690.00	285.77
691.00	281.16
692.00	295.85
693.00	307.98
694.00	302.00
695.00	297.90
696.00	298.59
697.00	314.82
698.00	312.42
699.00	319.94
700.00	321.31
