Wavelength (nm)	FL113 [12] 7478-60-6, 3-Hydroxy-7-methoxyflavone [D]
220.00	15019
221.00	15201
222.00	15385
223.00	15578
224.00	15771
225.00	15981
226.00	16194
227.00	16371
228.00	16507
229.00	16588
230.00	16611
231.00	16528
232.00	16225
233.00	15088
234.00	14270
235.00	13574
236.00	13108
237.00	12827
238.00	12625
239.00	12549
240.00	12476
241.00	12436
242.00	12399
243.00	12452
244.00	12504
245.00	12572
246.00	12727
247.00	12882
248.00	13066
249.00	13297
250.00	13514
251.00	13715
252.00	13907
253.00	14060
254.00	14160
255.00	14261
256.00	14296
257.00	14236
258.00	14047
259.00	13629
260.00	12970
261.00	12261
262.00	11430
263.00	10697
264.00	10087
265.00	9448.1
266.00	8740.2
267.00	8059.9
268.00	7460.9
269.00	6905.5
270.00	6496.0
271.00	6132.7
272.00	5789.6
273.00	5504.1
274.00	5252.8
275.00	5122.9
276.00	4993.0
277.00	4905.9
278.00	4845.0
279.00	4784.0
280.00	4736.4
281.00	4699.3
282.00	4665.9
283.00	4704.6
284.00	4743.3
285.00	4864.8
286.00	5033.0
287.00	5255.2
288.00	5500.6
289.00	5779.3
290.00	6143.5
291.00	6507.8
292.00	6864.8
293.00	7218.6
294.00	7572.4
295.00	7916.3
296.00	8251.3
297.00	8586.3
298.00	8942.2
299.00	9321.7
300.00	9701.1
301.00	10081
302.00	10462
303.00	10917
304.00	11371
305.00	11826
306.00	12304
307.00	12814
308.00	13323
309.00	13813
310.00	14276
311.00	14740
312.00	15158
313.00	15469
314.00	15755
315.00	15963
316.00	16171
317.00	16291
318.00	16412
319.00	16532
320.00	16579
321.00	16625
322.00	16604
323.00	16536
324.00	16460
325.00	16380
326.00	16299
327.00	16197
328.00	16095
329.00	15996
330.00	15979
331.00	15963
332.00	15996
333.00	16035
334.00	16127
335.00	16275
336.00	16423
337.00	16545
338.00	16664
339.00	16761
340.00	16800
341.00	16769
342.00	16716
343.00	16637
344.00	16469
345.00	16302
346.00	16084
347.00	15799
348.00	15514
349.00	15201
350.00	14814
351.00	14426
352.00	14039
353.00	13621
354.00	13158
355.00	12695
356.00	12231
357.00	11694
358.00	11123
359.00	10551
360.00	9979.4
361.00	9398.0
362.00	8796.0
363.00	8193.9
364.00	7589.3
365.00	6951.5
366.00	6313.6
367.00	5784.1
368.00	5310.4
369.00	4851.0
370.00	4434.5
371.00	4017.9
372.00	3666.8
373.00	3350.9
374.00	3035.0
375.00	2769.8
376.00	2539.7
377.00	2309.6
378.00	2108.3
379.00	1960.6
380.00	1812.9
381.00	1665.1
382.00	1517.4
383.00	1380.3
384.00	1249.8
385.00	1119.3
386.00	988.84
387.00	858.34
388.00	778.91
389.00	705.79
390.00	632.67
391.00	559.54
392.00	497.14
393.00	448.95
394.00	400.76
395.00	352.56
396.00	304.62
397.00	259.58
398.00	214.54
399.00	169.50
400.00	138.12
401.00	122.80
402.00	107.48
403.00	92.151
404.00	79.269
405.00	67.645
406.00	56.021
407.00	44.398
408.00	32.774
409.00	28.705
410.00	28.705
411.00	28.705
412.00	28.705
413.00	28.705
414.00	28.705
415.00	28.705
416.00	28.705
417.00	28.705
418.00	28.705
419.00	28.705
420.00	28.705
