Wavelength (nm)	"92, M 1985_1177, 3"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.27985
251.00	0.28073
252.00	0.28248
253.00	0.28574
254.00	0.28901
255.00	0.29228
256.00	0.29458
257.00	0.29606
258.00	0.29754
259.00	0.29903
260.00	0.30051
261.00	0.30134
262.00	0.30203
263.00	0.30273
264.00	0.30336
265.00	0.30376
266.00	0.30417
267.00	0.30457
268.00	0.30498
269.00	0.30569
270.00	0.30714
271.00	0.30858
272.00	0.31003
273.00	0.31148
274.00	0.31397
275.00	0.31672
276.00	0.31946
277.00	0.32220
278.00	0.32803
279.00	0.33390
280.00	0.34084
281.00	0.34879
282.00	0.35674
283.00	0.36745
284.00	0.37878
285.00	0.39010
286.00	0.40389
287.00	0.41791
288.00	0.43194
289.00	0.44597
290.00	0.46097
291.00	0.47652
292.00	0.49207
293.00	0.50762
294.00	0.52448
295.00	0.54355
296.00	0.56263
297.00	0.58191
298.00	0.60188
299.00	0.62354
300.00	0.64745
301.00	0.67135
302.00	0.69526
303.00	0.71879
304.00	0.74046
305.00	0.76214
306.00	0.78382
307.00	0.80550
308.00	0.82589
309.00	0.84567
310.00	0.86544
311.00	0.88522
312.00	0.90500
313.00	0.92395
314.00	0.94286
315.00	0.96177
316.00	0.97841
317.00	0.99117
318.00	0.99787
319.00	1.0000
320.00	0.99885
321.00	0.99771
322.00	0.99613
323.00	0.98967
324.00	0.98320
325.00	0.97807
326.00	0.97319
327.00	0.96916
328.00	0.96572
329.00	0.96173
330.00	0.95365
331.00	0.94557
332.00	0.92837
333.00	0.90626
334.00	0.88414
335.00	0.86138
336.00	0.82841
337.00	0.79545
338.00	0.76248
339.00	0.72951
340.00	0.65780
341.00	0.60562
342.00	0.56814
343.00	0.53065
344.00	0.51015
345.00	0.48999
346.00	0.47084
347.00	0.45425
348.00	0.43767
349.00	0.42180
350.00	0.40717
351.00	0.39255
352.00	0.37948
353.00	0.37192
354.00	0.36435
355.00	0.35679
356.00	0.34923
357.00	0.34500
358.00	0.34200
359.00	0.33900
360.00	0.33600
361.00	0.33300
362.00	0.33044
363.00	0.32822
364.00	0.32618
365.00	0.32575
366.00	0.32532
367.00	0.32490
