Wavelength (nm)	4, Cj-PleB-Ethylester, CJPLEBETHYLESTER
215.00	0.77984
216.00	0.84900
217.00	0.89382
218.00	0.93863
219.00	0.96216
220.00	0.98569
221.00	0.99285
222.00	1.0000
223.00	0.99637
224.00	0.99272
225.00	0.98383
226.00	0.97493
227.00	0.96511
228.00	0.95530
229.00	0.94749
230.00	0.93968
231.00	0.93366
232.00	0.92763
233.00	0.92278
234.00	0.91793
235.00	0.91404
236.00	0.91015
237.00	0.90593
238.00	0.90172
239.00	0.89680
240.00	0.89189
241.00	0.88464
242.00	0.87738
243.00	0.86629
244.00	0.85520
245.00	0.83913
246.00	0.82306
247.00	0.80125
248.00	0.77944
249.00	0.75450
250.00	0.72956
251.00	0.70336
252.00	0.67717
253.00	0.65239
254.00	0.62761
255.00	0.60522
256.00	0.58283
257.00	0.56536
258.00	0.54789
259.00	0.53460
260.00	0.52131
261.00	0.51125
262.00	0.50119
263.00	0.49433
264.00	0.48746
265.00	0.48261
266.00	0.47776
267.00	0.47405
268.00	0.47034
269.00	0.46745
270.00	0.46457
271.00	0.46242
272.00	0.46026
273.00	0.45832
274.00	0.45637
275.00	0.45524
276.00	0.45411
277.00	0.45341
278.00	0.45270
279.00	0.45296
280.00	0.45322
281.00	0.45437
282.00	0.45551
283.00	0.45818
284.00	0.46084
285.00	0.46542
286.00	0.47000
287.00	0.47630
288.00	0.48261
289.00	0.49097
290.00	0.49933
291.00	0.50958
292.00	0.51983
293.00	0.53186
294.00	0.54388
295.00	0.55717
296.00	0.57045
297.00	0.58437
298.00	0.59829
299.00	0.61284
300.00	0.62739
301.00	0.64124
302.00	0.65510
303.00	0.66861
304.00	0.68213
305.00	0.69327
306.00	0.70441
307.00	0.71291
308.00	0.72142
309.00	0.72611
310.00	0.73081
311.00	0.73077
312.00	0.73073
313.00	0.72558
314.00	0.72043
315.00	0.70961
316.00	0.69879
317.00	0.68360
318.00	0.66841
319.00	0.64780
320.00	0.62718
321.00	0.60275
322.00	0.57832
323.00	0.55133
324.00	0.52434
325.00	0.49457
326.00	0.46479
327.00	0.43381
328.00	0.40283
329.00	0.37210
330.00	0.34136
331.00	0.31110
332.00	0.28084
333.00	0.25232
334.00	0.22379
335.00	0.19835
336.00	0.17291
337.00	0.15120
338.00	0.12950
339.00	0.11242
340.00	0.095337
341.00	0.081333
342.00	0.067328
343.00	0.056845
344.00	0.046361
345.00	0.038686
346.00	0.031010
347.00	0.026015
348.00	0.021020
349.00	0.017557
350.00	0.014094
351.00	0.011596
352.00	0.0090987
353.00	0.0076071
354.00	0.0061156
355.00	0.0049455
356.00	0.0037755
357.00	0.0031183
358.00	0.0024611
359.00	0.0022642
360.00	0.0020674
361.00	0.0017536
362.00	0.0014397
363.00	0.0014572
364.00	0.0014747
365.00	0.0013818
366.00	0.0012888
367.00	0.0013249
368.00	0.0013610
369.00	0.0011259
370.00	0.00089079
371.00	0.0010690
372.00	0.0012473
373.00	0.0011018
374.00	0.00095640
375.00	0.0010067
376.00	0.0010570
377.00	0.00093562
378.00	0.00081424
379.00	0.0010668
380.00	0.0013194
381.00	0.0012341
382.00	0.0011489
383.00	0.0012659
384.00	0.0013829
385.00	0.0013741
386.00	0.0013654
387.00	0.0013173
388.00	0.0012691
389.00	0.0012440
390.00	0.0012188
391.00	0.0010909
392.00	0.00096295
393.00	0.0011040
394.00	0.0012451
395.00	0.0014550
396.00	0.0016650
397.00	0.0014441
398.00	0.0012232
399.00	0.0013227
400.00	0.0014222
