Wavelength (nm)	FL080 [11] 491-67-8, Baicalein [M]
210.00	27527
211.00	28305
212.00	29017
213.00	29604
214.00	30092
215.00	30338
216.00	30244
217.00	29830
218.00	29122
219.00	28048
220.00	26702
221.00	25136
222.00	23536
223.00	21964
224.00	20447
225.00	19077
226.00	17762
227.00	16578
228.00	15488
229.00	14530
230.00	13705
231.00	12997
232.00	12448
233.00	12026
234.00	11732
235.00	11528
236.00	11390
237.00	11316
238.00	11273
239.00	11276
240.00	11340
241.00	11454
242.00	11623
243.00	11855
244.00	12127
245.00	12407
246.00	12691
247.00	12955
248.00	13209
249.00	13440
250.00	13658
251.00	13878
252.00	14081
253.00	14271
254.00	14445
255.00	14627
256.00	14815
257.00	15039
258.00	15314
259.00	15670
260.00	16092
261.00	16620
262.00	17206
263.00	17849
264.00	18558
265.00	19291
266.00	20035
267.00	20799
268.00	21435
269.00	22034
270.00	22591
271.00	23092
272.00	23449
273.00	23662
274.00	23823
275.00	23900
276.00	23873
277.00	23834
278.00	23657
279.00	23313
280.00	22817
281.00	22194
282.00	21458
283.00	20624
284.00	19744
285.00	18889
286.00	18070
287.00	17280
288.00	16567
289.00	15887
290.00	15225
291.00	14590
292.00	13987
293.00	13395
294.00	12792
295.00	12217
296.00	11691
297.00	11228
298.00	10873
299.00	10646
300.00	10513
301.00	10473
302.00	10522
303.00	10632
304.00	10769
305.00	10945
306.00	11169
307.00	11428
308.00	11685
309.00	11937
310.00	12201
311.00	12478
312.00	12749
313.00	13011
314.00	13261
315.00	13473
316.00	13691
317.00	13877
318.00	14050
319.00	14169
320.00	14270
321.00	14349
322.00	14388
323.00	14401
324.00	14409
325.00	14350
326.00	14269
327.00	14141
328.00	14017
329.00	13849
330.00	13668
331.00	13467
332.00	13229
333.00	12960
334.00	12687
335.00	12405
336.00	12096
337.00	11782
338.00	11448
339.00	11112
340.00	10767
341.00	10413
342.00	10068
343.00	9724.5
344.00	9374.7
345.00	9034.5
346.00	8692.4
347.00	8362.5
348.00	8025.0
349.00	7705.3
350.00	7391.5
351.00	7099.5
352.00	6810.1
353.00	6535.7
354.00	6258.0
355.00	6025.4
356.00	5789.1
357.00	5566.9
358.00	5337.1
359.00	5117.3
360.00	4888.7
361.00	4676.4
362.00	4472.6
363.00	4299.9
364.00	4156.3
365.00	4016.4
366.00	3874.7
367.00	3703.5
368.00	3555.6
369.00	3428.2
370.00	3310.9
371.00	3192.7
372.00	3091.6
373.00	2981.1
374.00	2861.7
375.00	2787.4
376.00	2673.7
377.00	2581.7
378.00	2507.2
379.00	2419.0
380.00	2339.3
381.00	2271.0
382.00	2193.8
383.00	2116.3
384.00	2056.1
385.00	1988.3
386.00	1926.8
387.00	1857.8
388.00	1810.2
389.00	1745.5
390.00	1682.8
391.00	1630.3
392.00	1572.1
393.00	1536.0
394.00	1464.2
395.00	1426.7
396.00	1379.3
397.00	1340.4
398.00	1286.4
399.00	1243.5
400.00	1194.7
401.00	1160.0
402.00	1123.4
403.00	1087.2
404.00	1044.6
405.00	1019.8
406.00	975.10
407.00	926.70
408.00	912.20
409.00	880.35
410.00	832.38
411.00	818.41
412.00	789.00
413.00	769.76
414.00	723.19
415.00	689.32
416.00	677.57
417.00	650.97
418.00	639.38
419.00	619.75
420.00	589.15
421.00	581.39
422.00	543.57
423.00	516.79
424.00	502.77
425.00	484.93
426.00	461.34
427.00	464.97
428.00	425.48
429.00	424.83
430.00	414.95
431.00	392.64
432.00	354.84
433.00	380.87
434.00	364.49
435.00	330.23
436.00	343.87
437.00	325.16
438.00	310.14
439.00	303.91
440.00	284.49
441.00	291.63
442.00	285.12
443.00	253.49
444.00	247.97
445.00	228.56
446.00	226.45
447.00	226.51
448.00	218.88
449.00	216.36
450.00	215.64
451.00	200.37
452.00	202.63
453.00	200.24
454.00	195.18
455.00	191.98
456.00	175.15
457.00	177.01
458.00	164.80
459.00	159.54
460.00	156.19
461.00	157.53
462.00	143.05
463.00	146.31
464.00	165.55
465.00	133.87
466.00	126.10
467.00	128.56
468.00	125.24
469.00	99.118
470.00	127.00
471.00	123.37
472.00	118.30
473.00	128.76
474.00	103.50
475.00	102.77
476.00	117.43
477.00	91.413
478.00	108.86
479.00	94.695
480.00	91.948
481.00	76.814
482.00	68.662
483.00	66.147
484.00	62.735
485.00	95.446
486.00	52.574
487.00	16.408
488.00	36.384
489.00	63.819
490.00	51.258
491.00	30.747
492.00	57.604
493.00	61.579
494.00	53.022
495.00	66.465
496.00	34.014
497.00	44.204
498.00	41.501
499.00	47.081
500.00	19.718
