Wavelength (nm)	H01 abs e
220.00	9222.4
221.00	8118.2
222.00	7135.5
223.00	6320.5
224.00	5653.3
225.00	5159.2
226.00	4756.7
227.00	4405.6
228.00	4080.6
229.00	3785.2
230.00	3526.5
231.00	3327.7
232.00	3157.7
233.00	2953.5
234.00	2715.7
235.00	2477.1
236.00	2293.7
237.00	2171.9
238.00	2098.5
239.00	2028.0
240.00	1942.4
241.00	1874.3
242.00	1864.1
243.00	1921.0
244.00	2028.6
245.00	2176.4
246.00	2358.8
247.00	2567.7
248.00	2802.0
249.00	3053.2
250.00	3324.6
251.00	3617.8
252.00	3918.7
253.00	4238.9
254.00	4579.4
255.00	4931.4
256.00	5299.2
257.00	5673.8
258.00	6069.4
259.00	6461.8
260.00	6867.0
261.00	7270.7
262.00	7649.0
263.00	8027.3
264.00	8397.7
265.00	8744.9
266.00	9080.4
267.00	9411.7
268.00	9712.3
269.00	10021
270.00	10305
271.00	10551
272.00	10737
273.00	10883
274.00	10987
275.00	11000
276.00	10950
277.00	10852
278.00	10710
279.00	10563
280.00	10414
281.00	10269
282.00	10126
283.00	9945.9
284.00	9727.1
285.00	9458.9
286.00	9100.8
287.00	8680.5
288.00	8210.9
289.00	7702.0
290.00	7189.3
291.00	6712.4
292.00	6280.7
293.00	5914.4
294.00	5615.9
295.00	5387.4
296.00	5220.4
297.00	5114.9
298.00	5067.1
299.00	5057.0
300.00	5088.0
301.00	5129.8
302.00	5186.9
303.00	5260.1
304.00	5325.2
305.00	5383.8
306.00	5443.0
307.00	5494.2
308.00	5529.2
309.00	5552.3
310.00	5560.1
311.00	5557.6
312.00	5547.5
313.00	5538.9
314.00	5507.9
315.00	5460.3
316.00	5398.8
317.00	5316.3
318.00	5211.1
319.00	5083.2
320.00	4940.6
321.00	4767.7
322.00	4576.6
323.00	4369.4
324.00	4161.8
325.00	3952.2
326.00	3742.4
327.00	3540.3
328.00	3341.5
329.00	3153.0
330.00	2961.9
331.00	2772.9
332.00	2578.7
333.00	2382.5
334.00	2175.4
335.00	1967.0
336.00	1757.1
337.00	1541.1
338.00	1327.6
339.00	1124.8
340.00	927.24
341.00	753.02
342.00	596.86
343.00	467.05
344.00	359.24
345.00	277.35
346.00	211.37
347.00	162.30
348.00	128.65
349.00	99.631
350.00	78.822
351.00	65.034
352.00	55.933
353.00	47.653
354.00	41.590
355.00	37.402
356.00	32.539
357.00	32.777
358.00	29.706
359.00	28.793
360.00	25.206
361.00	19.930
362.00	21.188
363.00	20.848
364.00	19.709
365.00	17.641
366.00	27.870
367.00	28.351
368.00	29.303
369.00	26.697
370.00	24.073
371.00	24.350
372.00	21.727
373.00	25.693
374.00	24.452
375.00	28.963
376.00	29.621
377.00	27.768
378.00	35.611
379.00	40.105
380.00	37.305
381.00	38.988
382.00	43.199
383.00	41.289
384.00	41.782
385.00	38.988
386.00	39.493
387.00	48.622
388.00	58.687
389.00	41.062
390.00	35.441
391.00	34.630
392.00	52.720
393.00	50.538
394.00	45.721
395.00	42.496
396.00	37.396
397.00	44.191
398.00	59.922
399.00	51.581
400.00	42.247
