Wavelength (nm)	N10 abs e
220.00	19487
220.25	19502
220.50	19692
220.75	19436
221.00	19680
221.25	19590
221.50	19531
221.75	19595
222.00	19666
222.25	19571
222.50	19770
222.75	19571
223.00	19628
223.25	19705
223.50	19779
223.75	19671
224.00	19693
224.25	19667
224.50	19832
224.75	19897
225.00	19801
225.25	19808
225.50	19889
225.75	19772
226.00	19745
226.25	19905
226.50	19973
226.75	19985
227.00	19970
227.25	20045
227.50	20245
227.75	19946
228.00	20199
228.25	20213
228.50	20206
228.75	20232
229.00	20258
229.25	20207
229.50	20430
229.75	20323
230.00	20377
230.25	20527
230.50	20569
230.75	20678
231.00	20777
231.25	20740
231.50	20844
231.75	20686
232.00	20806
232.25	20978
232.50	20971
232.75	21139
233.00	21042
233.25	21071
233.50	21267
233.75	21255
234.00	21323
234.25	21505
234.50	21624
234.75	21584
235.00	21730
235.25	21739
235.50	21943
235.75	22094
236.00	22324
236.25	22584
236.50	22700
236.75	22950
237.00	23164
237.25	23554
237.50	23632
237.75	23888
238.00	24185
238.25	24436
238.50	24855
238.75	25134
239.00	25457
239.25	25865
239.50	26272
239.75	26640
240.00	27004
240.25	27285
240.50	27557
240.75	28159
241.00	28386
241.25	28652
241.50	29046
241.75	29415
242.00	29677
242.25	29819
242.50	30317
242.75	30466
243.00	30885
243.25	30986
243.50	31131
243.75	31393
244.00	31568
244.25	31657
244.50	31632
244.75	31965
245.00	31915
245.25	31954
245.50	31761
245.75	31851
246.00	31895
246.25	31796
246.50	31596
246.75	31188
247.00	31168
247.25	30787
247.50	30405
247.75	30058
248.00	29714
248.25	29165
248.50	28513
248.75	28057
249.00	27406
249.25	26703
249.50	26202
249.75	25459
250.00	24821
250.25	23990
250.50	23258
250.75	22598
251.00	21934
251.25	21045
251.50	20456
251.75	19759
252.00	19020
252.25	18449
252.50	17752
252.75	17152
253.00	16701
253.25	16305
253.50	15765
253.75	15425
254.00	14920
254.25	14597
254.50	14187
254.75	13874
255.00	13635
255.25	13402
255.50	13137
255.75	12914
256.00	12601
256.25	12498
256.50	12095
256.75	12001
257.00	11833
257.25	11695
257.50	11362
257.75	11348
258.00	11306
258.25	11084
258.50	10957
258.75	10995
259.00	10976
259.25	10940
259.50	10972
259.75	10864
260.00	10928
260.25	10890
260.50	11057
260.75	11089
261.00	11010
261.25	11144
261.50	11065
261.75	11165
262.00	11166
262.25	11115
262.50	11249
262.75	11190
263.00	11394
263.25	11430
263.50	11565
263.75	11600
264.00	11600
264.25	11610
264.50	11549
264.75	11905
265.00	11780
265.25	11861
265.50	11862
265.75	11928
266.00	11852
266.25	11920
266.50	11842
266.75	11857
267.00	11837
267.25	11813
267.50	11720
267.75	11613
268.00	11581
268.25	11444
268.50	11375
268.75	11329
269.00	11272
269.25	11179
269.50	11096
269.75	10909
270.00	10833
270.25	10685
270.50	10638
270.75	10566
271.00	10481
271.25	10397
271.50	10097
271.75	9931.1
272.00	9980.9
272.25	9812.4
272.50	9721.4
272.75	9642.7
273.00	9383.3
273.25	9383.9
273.50	9220.1
273.75	9135.6
274.00	9022.2
274.25	8916.7
274.50	8739.1
274.75	8686.1
275.00	8528.8
275.25	8336.8
275.50	8399.1
275.75	8196.6
276.00	8152.7
276.25	8252.3
276.50	8043.9
276.75	7908.9
277.00	7823.1
277.25	7826.4
277.50	7842.8
277.75	7644.9
278.00	7578.7
278.25	7486.3
278.50	7572.1
278.75	7452.9
279.00	7395.9
279.25	7542.0
279.50	7405.0
279.75	7599.7
280.00	7464.7
280.25	7446.3
280.50	7329.0
280.75	7361.8
281.00	7480.4
281.25	7510.5
281.50	7396.5
281.75	7416.8
282.00	7437.8
282.25	7376.9
282.50	7452.2
282.75	7407.0
283.00	7398.5
283.25	7401.1
283.50	7469.3
283.75	7430.6
284.00	7467.9
284.25	7541.3
284.50	7405.7
284.75	7410.3
285.00	7387.4
285.25	7434.5
285.50	7507.9
285.75	7681.6
286.00	7620.6
286.25	7599.7
286.50	7758.2
286.75	7777.9
287.00	7771.3
287.25	7720.2
287.50	7690.7
287.75	7739.2
288.00	7671.1
288.25	7867.0
288.50	7959.4
288.75	7809.3
289.00	7987.6
289.25	7857.8
289.50	7939.1
289.75	8138.9
290.00	8095.0
290.25	8076.7
290.50	8245.7
290.75	8087.8
291.00	8022.9
291.25	8144.2
291.50	8251.0
291.75	8140.9
292.00	8132.4
292.25	8169.7
292.50	8220.2
292.75	8314.5
293.00	8357.8
293.25	8337.5
293.50	8289.0
293.75	8304.1
294.00	8335.5
294.25	8173.0
294.50	8348.6
294.75	8304.7
295.00	8068.2
295.25	8074.7
295.50	8123.2
295.75	8185.5
296.00	8095.0
296.25	8136.3
296.50	8097.0
296.75	8059.0
297.00	8000.0
297.25	7981.7
297.50	7933.2
297.75	7738.6
298.00	7701.2
298.25	7560.3
298.50	7538.7
298.75	7440.4
299.00	7295.0
299.25	7353.3
299.50	7106.9
299.75	6973.2
300.00	6896.6
300.25	6880.8
300.50	6764.9
300.75	6662.0
301.00	6460.2
301.25	6415.6
301.50	6158.1
301.75	6104.4
302.00	5910.4
302.25	5963.5
302.50	5796.4
302.75	5621.4
303.00	5607.0
303.25	5390.8
303.50	5297.1
303.75	5318.7
304.00	5114.9
304.25	5089.4
304.50	4888.2
304.75	4962.9
305.00	4745.4
305.25	4644.5
305.50	4568.4
305.75	4424.3
306.00	4310.3
306.25	4258.5
306.50	4267.7
306.75	4295.9
307.00	3995.7
307.25	3932.8
307.50	3876.5
307.75	3788.7
308.00	3885.7
308.25	3644.5
308.50	3565.9
308.75	3556.1
309.00	3456.5
309.25	3382.4
309.50	3377.2
309.75	3362.8
310.00	3451.2
310.25	3180.6
310.50	3667.5
310.75	3147.8
311.00	3997.1
311.25	3398.8
311.50	3092.2
311.75	3041.7
312.00	3329.4
312.25	2402.2
312.50	2805.1
312.75	2940.1
313.00	2882.5
313.25	3365.4
313.50	3128.2
313.75	3383.7
314.00	3099.4
314.25	2905.4
314.50	2805.1
314.75	2827.4
315.00	2921.8
315.25	3056.1
315.50	3069.9
315.75	2687.2
316.00	2714.7
316.25	2579.1
316.50	2625.0
316.75	2748.8
317.00	2741.6
317.25	2847.7
317.50	2771.7
317.75	2005.1
318.00	3212.7
318.25	2765.2
318.50	2518.1
318.75	2649.2
319.00	2769.1
319.25	3140.0
319.50	3096.1
319.75	2786.1
320.00	2800.6
320.25	2391.0
320.50	2469.7
320.75	2841.8
321.00	2581.1
321.25	2769.8
321.50	2630.9
321.75	2790.1
322.00	2746.8
322.25	3093.5
322.50	2404.8
322.75	2869.4
323.00	2301.3
323.25	3226.5
323.50	3390.3
323.75	3151.1
324.00	3158.3
324.25	3258.6
324.50	3409.9
324.75	3515.4
325.00	3614.4
325.25	3966.3
325.50	3483.3
325.75	3791.3
326.00	3491.2
326.25	3568.5
326.50	3517.4
326.75	3809.0
327.00	4261.8
327.25	4484.6
327.50	4586.8
327.75	4117.6
328.00	4447.9
328.25	4847.6
328.50	5112.3
328.75	5128.7
329.00	5019.9
329.25	4787.3
329.50	5498.2
329.75	5208.0
330.00	5409.1
330.25	5483.2
330.50	5767.6
330.75	5913.0
331.00	5766.9
331.25	5731.5
331.50	5742.7
331.75	6196.1
332.00	6230.8
332.25	6590.6
332.50	6179.7
332.75	5815.4
333.00	6010.0
333.25	5565.7
333.50	6095.8
333.75	6131.2
334.00	5863.2
334.25	5573.6
334.50	5514.6
334.75	5251.9
335.00	5277.4
335.25	5253.2
335.50	5162.8
335.75	5311.5
336.00	4986.5
336.25	5141.8
336.50	4573.0
336.75	4256.5
337.00	4692.9
337.25	4415.8
337.50	4355.5
337.75	4153.7
338.00	3966.3
338.25	3490.5
338.50	3850.3
338.75	3859.5
339.00	3364.1
339.25	3533.1
339.50	3370.6
339.75	2876.6
340.00	3186.5
340.25	3282.8
340.50	2957.8
340.75	2700.3
341.00	2786.1
341.25	2283.6
341.50	2510.9
341.75	2415.9
342.00	2296.7
342.25	2217.4
342.50	1938.2
342.75	1914.0
343.00	2091.6
343.25	1931.0
343.50	1786.2
343.75	1672.2
344.00	1634.9
344.25	1391.8
344.50	1237.1
344.75	1185.4
345.00	1525.4
345.25	1099.5
345.50	946.84
345.75	1338.0
346.00	969.78
346.25	965.19
346.50	1302.6
346.75	808.59
347.00	855.11
347.25	752.23
347.50	935.70
347.75	680.81
348.00	739.78
348.25	883.94
348.50	516.34
348.75	783.69
349.00	407.57
349.25	348.60
349.50	746.34
349.75	406.26
350.00	659.84
350.25	513.72
