Wavelength (nm)	2, Po-PleB, POPLEB
205.00	0.61391
206.00	0.68344
207.00	0.73840
208.00	0.79337
209.00	0.83520
210.00	0.87703
211.00	0.90951
212.00	0.94199
213.00	0.96180
214.00	0.98161
215.00	0.99081
216.00	1.0000
217.00	0.99940
218.00	0.99879
219.00	0.99004
220.00	0.98128
221.00	0.96603
222.00	0.95078
223.00	0.93159
224.00	0.91239
225.00	0.89309
226.00	0.87378
227.00	0.85706
228.00	0.84035
229.00	0.82709
230.00	0.81383
231.00	0.80408
232.00	0.79434
233.00	0.78718
234.00	0.78002
235.00	0.77519
236.00	0.77036
237.00	0.76656
238.00	0.76275
239.00	0.75947
240.00	0.75620
241.00	0.75178
242.00	0.74737
243.00	0.74090
244.00	0.73444
245.00	0.72477
246.00	0.71510
247.00	0.70093
248.00	0.68676
249.00	0.66914
250.00	0.65152
251.00	0.63138
252.00	0.61124
253.00	0.59015
254.00	0.56906
255.00	0.54849
256.00	0.52793
257.00	0.51023
258.00	0.49253
259.00	0.47837
260.00	0.46422
261.00	0.45319
262.00	0.44216
263.00	0.43451
264.00	0.42685
265.00	0.42151
266.00	0.41616
267.00	0.41265
268.00	0.40914
269.00	0.40670
270.00	0.40427
271.00	0.40253
272.00	0.40079
273.00	0.39938
274.00	0.39797
275.00	0.39708
276.00	0.39618
277.00	0.39553
278.00	0.39488
279.00	0.39456
280.00	0.39423
281.00	0.39441
282.00	0.39459
283.00	0.39556
284.00	0.39653
285.00	0.39869
286.00	0.40084
287.00	0.40389
288.00	0.40694
289.00	0.41151
290.00	0.41609
291.00	0.42209
292.00	0.42810
293.00	0.43581
294.00	0.44352
295.00	0.45295
296.00	0.46238
297.00	0.47254
298.00	0.48270
299.00	0.49393
300.00	0.50516
301.00	0.51663
302.00	0.52810
303.00	0.53963
304.00	0.55117
305.00	0.56161
306.00	0.57205
307.00	0.58132
308.00	0.59059
309.00	0.59766
310.00	0.60472
311.00	0.60862
312.00	0.61252
313.00	0.61311
314.00	0.61370
315.00	0.61029
316.00	0.60689
317.00	0.59969
318.00	0.59248
319.00	0.58106
320.00	0.56963
321.00	0.55428
322.00	0.53892
323.00	0.52052
324.00	0.50212
325.00	0.48024
326.00	0.45835
327.00	0.43375
328.00	0.40914
329.00	0.38376
330.00	0.35838
331.00	0.33169
332.00	0.30501
333.00	0.27891
334.00	0.25282
335.00	0.22817
336.00	0.20353
337.00	0.18152
338.00	0.15951
339.00	0.14122
340.00	0.12294
341.00	0.10762
342.00	0.092314
343.00	0.080262
344.00	0.068210
345.00	0.059086
346.00	0.049961
347.00	0.043158
348.00	0.036354
349.00	0.031603
350.00	0.026853
351.00	0.023303
352.00	0.019753
353.00	0.017418
354.00	0.015082
355.00	0.013146
356.00	0.011211
357.00	0.0099160
358.00	0.0086215
359.00	0.0077688
360.00	0.0069162
361.00	0.0063095
362.00	0.0057028
363.00	0.0053220
364.00	0.0049413
365.00	0.0045368
366.00	0.0041323
367.00	0.0037403
368.00	0.0033483
369.00	0.0030893
370.00	0.0028303
371.00	0.0026293
372.00	0.0024283
373.00	0.0021380
374.00	0.0018478
375.00	0.0017979
376.00	0.0017479
377.00	0.0015575
378.00	0.0013672
379.00	0.0013853
380.00	0.0014034
381.00	0.0013734
382.00	0.0013434
383.00	0.0013409
384.00	0.0013384
385.00	0.0012124
386.00	0.0010863
387.00	0.0010607
388.00	0.0010351
389.00	0.0011268
390.00	0.0012186
391.00	0.0010451
392.00	0.00087156
393.00	0.00097330
394.00	0.0010750
395.00	0.00098016
396.00	0.00088529
397.00	0.00080102
398.00	0.00071676
399.00	0.00082537
400.00	0.00093397
