Wavelength (nm)	A19 abs1 e
235.00	30.604
236.00	30.788
237.00	32.978
238.00	39.173
239.00	47.065
240.00	49.564
241.00	49.745
242.00	53.323
243.00	60.217
244.00	74.836
245.00	88.757
246.00	88.292
247.00	85.636
248.00	94.675
249.00	105.85
250.00	124.43
251.00	148.14
252.00	146.34
253.00	133.24
254.00	147.20
255.00	166.06
256.00	176.33
257.00	205.23
258.00	228.07
259.00	193.85
260.00	180.13
261.00	202.77
262.00	204.14
263.00	210.94
264.00	264.74
265.00	280.00
266.00	203.36
267.00	165.44
268.00	159.51
269.00	138.61
270.00	128.70
271.00	180.12
272.00	212.32
273.00	141.39
274.00	82.767
275.00	46.820
276.00	28.104
277.00	17.981
278.00	10.831
279.00	6.8252
280.00	4.3812
281.00	2.5598
282.00	1.5484
283.00	0.97226
284.00	0.57382
285.00	0.40460
286.00	0.31383
287.00	0.24995
288.00	0.25228
289.00	0.23012
290.00	0.24589
291.00	0.23097
292.00	0.35389
293.00	0.33540
294.00	0.32602
295.00	0.26032
296.00	0.30780
297.00	0.31915
298.00	0.33652
299.00	0.35095
300.00	0.34198
