Wavelength (nm)	C13 abs e
200.00	14714
201.00	13868
202.00	13609
203.00	13443
204.00	13642
205.00	14366
206.00	15232
207.00	15897
208.00	16662
209.00	17418
210.00	18185
211.00	18699
212.00	18986
213.00	19112
214.00	19207
215.00	19183
216.00	19052
217.00	18626
218.00	17760
219.00	16588
220.00	15422
221.00	14609
222.00	14305
223.00	14494
224.00	15097
225.00	16009
226.00	17206
227.00	18577
228.00	20155
229.00	21875
230.00	23760
231.00	25752
232.00	27848
233.00	30025
234.00	32248
235.00	34555
236.00	36803
237.00	39062
238.00	41203
239.00	43160
240.00	44963
241.00	46564
242.00	47915
243.00	49018
244.00	49774
245.00	50100
246.00	49983
247.00	49343
248.00	48186
249.00	46611
250.00	44725
251.00	42644
252.00	40381
253.00	37879
254.00	35167
255.00	32197
256.00	29012
257.00	25727
258.00	22391
259.00	19173
260.00	16261
261.00	13694
262.00	11558
263.00	9793.4
264.00	8411.6
265.00	7359.3
266.00	6569.7
267.00	6012.1
268.00	5598.8
269.00	5269.5
270.00	5049.8
271.00	4884.8
272.00	4769.9
273.00	4687.4
274.00	4636.0
275.00	4601.0
276.00	4579.7
277.00	4570.4
278.00	4563.8
279.00	4560.6
280.00	4538.2
281.00	4511.1
282.00	4491.0
283.00	4451.8
284.00	4410.7
285.00	4377.8
286.00	4350.1
287.00	4336.4
288.00	4311.0
289.00	4286.7
290.00	4252.5
291.00	4213.4
292.00	4145.2
293.00	4078.5
294.00	4000.7
295.00	3902.6
296.00	3797.3
297.00	3695.7
298.00	3590.7
299.00	3476.1
300.00	3369.5
301.00	3258.3
302.00	3145.8
303.00	3018.8
304.00	2901.5
305.00	2805.3
306.00	2716.2
307.00	2619.9
308.00	2527.9
309.00	2461.3
310.00	2413.1
311.00	2379.7
312.00	2366.6
313.00	2348.6
314.00	2376.9
315.00	2412.2
316.00	2442.1
317.00	2519.2
318.00	2591.8
319.00	2669.0
320.00	2748.8
321.00	2856.6
322.00	2958.9
323.00	3074.8
324.00	3167.7
325.00	3286.6
326.00	3399.9
327.00	3511.2
328.00	3624.4
329.00	3730.7
330.00	3829.3
331.00	3920.1
332.00	4012.9
333.00	4099.3
334.00	4203.4
335.00	4301.9
336.00	4397.6
337.00	4486.9
338.00	4567.7
339.00	4632.0
340.00	4672.2
341.00	4681.3
342.00	4673.0
343.00	4640.3
344.00	4536.6
345.00	4413.3
346.00	4247.4
347.00	4052.2
348.00	3839.1
349.00	3582.8
350.00	3324.1
351.00	3034.5
352.00	2735.9
353.00	2452.3
354.00	2175.1
355.00	1908.6
356.00	1649.2
357.00	1430.8
358.00	1231.3
359.00	1056.6
360.00	893.19
361.00	762.14
362.00	641.32
363.00	566.81
364.00	482.21
365.00	419.23
366.00	367.09
367.00	317.21
368.00	291.95
369.00	273.05
370.00	235.52
371.00	203.85
372.00	198.54
373.00	188.19
374.00	172.18
375.00	153.42
376.00	141.94
377.00	122.60
378.00	120.01
379.00	127.41
380.00	109.12
381.00	120.29
382.00	110.60
383.00	78.963
384.00	92.527
385.00	104.94
386.00	73.130
387.00	83.255
388.00	84.576
389.00	87.162
390.00	94.481
391.00	66.966
392.00	72.937
393.00	71.121
394.00	68.150
395.00	54.888
396.00	59.208
397.00	74.010
398.00	67.269
399.00	69.580
400.00	69.993
