Wavelength (nm)	Co(III) UroP I (in 0.1 M MOPS).abs
300.00	0.041947
301.00	0.041947
302.00	0.043707
303.00	0.045103
304.00	0.046970
305.00	0.048847
306.00	0.050861
307.00	0.053040
308.00	0.055184
309.00	0.057422
310.00	0.059748
311.00	0.062187
312.00	0.064838
313.00	0.067591
314.00	0.070358
315.00	0.073348
316.00	0.076436
317.00	0.079703
318.00	0.083023
319.00	0.086377
320.00	0.089803
321.00	0.093322
322.00	0.096540
323.00	0.099692
324.00	0.10264
325.00	0.10545
326.00	0.10814
327.00	0.11033
328.00	0.11249
329.00	0.11437
330.00	0.11621
331.00	0.11795
332.00	0.11955
333.00	0.12144
334.00	0.12333
335.00	0.12525
336.00	0.12732
337.00	0.12953
338.00	0.13203
339.00	0.13439
340.00	0.13672
341.00	0.13876
342.00	0.14038
343.00	0.14165
344.00	0.14226
345.00	0.14244
346.00	0.14207
347.00	0.14086
348.00	0.13924
349.00	0.13684
350.00	0.13434
351.00	0.13134
352.00	0.12794
353.00	0.12439
354.00	0.12101
355.00	0.11752
356.00	0.11424
357.00	0.11084
358.00	0.10778
359.00	0.10458
360.00	0.10182
361.00	0.099380
362.00	0.096695
363.00	0.094571
364.00	0.092842
365.00	0.090663
366.00	0.089166
367.00	0.087807
368.00	0.086782
369.00	0.086082
370.00	0.085105
371.00	0.084789
372.00	0.084693
373.00	0.084274
374.00	0.084670
375.00	0.085015
376.00	0.085554
377.00	0.086587
378.00	0.087811
379.00	0.089366
380.00	0.091031
381.00	0.093542
382.00	0.096794
383.00	0.10014
384.00	0.10437
385.00	0.10856
386.00	0.11351
387.00	0.11946
388.00	0.12548
389.00	0.13174
390.00	0.13882
391.00	0.14577
392.00	0.15347
393.00	0.16106
394.00	0.16925
395.00	0.17848
396.00	0.18840
397.00	0.19882
398.00	0.20990
399.00	0.22078
400.00	0.23243
401.00	0.24567
402.00	0.26118
403.00	0.27924
404.00	0.30124
405.00	0.32815
406.00	0.35856
407.00	0.39464
408.00	0.43651
409.00	0.48131
410.00	0.52795
411.00	0.57847
412.00	0.63126
413.00	0.68608
414.00	0.74043
415.00	0.80011
416.00	0.86141
417.00	0.92236
418.00	0.97339
419.00	1.0000
420.00	0.98938
421.00	0.93663
422.00	0.85091
423.00	0.74538
424.00	0.63583
425.00	0.53020
426.00	0.43659
427.00	0.35453
428.00	0.28976
429.00	0.23446
430.00	0.18957
431.00	0.15610
432.00	0.12798
433.00	0.10424
434.00	0.085730
435.00	0.072436
436.00	0.060945
437.00	0.051729
438.00	0.044946
439.00	0.039315
440.00	0.034793
441.00	0.031067
442.00	0.027731
443.00	0.025405
444.00	0.023482
445.00	0.021879
446.00	0.020269
447.00	0.019299
448.00	0.018485
449.00	0.017640
450.00	0.016937
451.00	0.016498
452.00	0.016290
453.00	0.015867
454.00	0.015719
455.00	0.015646
456.00	0.015156
457.00	0.015341
458.00	0.015148
459.00	0.015127
460.00	0.015093
461.00	0.015376
462.00	0.015049
463.00	0.015359
464.00	0.015523
465.00	0.015470
466.00	0.015185
467.00	0.015273
468.00	0.015217
469.00	0.015274
470.00	0.015691
471.00	0.015508
472.00	0.015630
473.00	0.015577
474.00	0.015561
475.00	0.015690
476.00	0.015657
477.00	0.015907
478.00	0.015552
479.00	0.015993
480.00	0.016064
481.00	0.016261
482.00	0.016327
483.00	0.016222
484.00	0.016468
485.00	0.016403
486.00	0.015839
487.00	0.016110
488.00	0.017076
489.00	0.017077
490.00	0.017282
491.00	0.017544
492.00	0.017767
493.00	0.017899
494.00	0.018164
495.00	0.018452
496.00	0.018795
497.00	0.018798
498.00	0.019194
499.00	0.019591
500.00	0.019762
501.00	0.020280
502.00	0.020640
503.00	0.021351
504.00	0.021829
505.00	0.022945
506.00	0.023654
507.00	0.024727
508.00	0.025789
509.00	0.026943
510.00	0.028557
511.00	0.030531
512.00	0.032496
513.00	0.034667
514.00	0.036989
515.00	0.039519
516.00	0.042014
517.00	0.044525
518.00	0.046974
519.00	0.049893
520.00	0.052234
521.00	0.054882
522.00	0.057231
523.00	0.059603
524.00	0.061732
525.00	0.063774
526.00	0.065559
527.00	0.067242
528.00	0.068585
529.00	0.069274
530.00	0.069523
531.00	0.068966
532.00	0.067870
533.00	0.066307
534.00	0.064484
535.00	0.062105
536.00	0.059853
537.00	0.057472
538.00	0.054773
539.00	0.052206
540.00	0.050046
541.00	0.047861
542.00	0.045564
543.00	0.043831
544.00	0.042119
545.00	0.040503
546.00	0.039242
547.00	0.038607
548.00	0.037974
549.00	0.037966
550.00	0.038326
551.00	0.039154
552.00	0.040482
553.00	0.042417
554.00	0.044598
555.00	0.047026
556.00	0.049868
557.00	0.052655
558.00	0.055536
559.00	0.057762
560.00	0.059692
561.00	0.060762
562.00	0.061100
563.00	0.060630
564.00	0.059189
565.00	0.057213
566.00	0.054715
567.00	0.051735
568.00	0.048386
569.00	0.045099
570.00	0.041796
571.00	0.038502
572.00	0.035740
573.00	0.032670
574.00	0.029886
575.00	0.027493
576.00	0.025305
577.00	0.023327
578.00	0.021474
579.00	0.019679
580.00	0.018213
581.00	0.016720
582.00	0.015274
583.00	0.014290
584.00	0.013173
585.00	0.012250
586.00	0.011399
587.00	0.010536
588.00	0.010016
589.00	0.0092974
590.00	0.0088951
591.00	0.0085294
592.00	0.0080843
593.00	0.0077321
594.00	0.0074157
595.00	0.0071521
596.00	0.0068164
597.00	0.0065473
598.00	0.0063331
599.00	0.0061615
600.00	0.0059754
601.00	0.0057173
602.00	0.0055440
603.00	0.0055193
604.00	0.0053770
605.00	0.0052129
606.00	0.0050861
607.00	0.0050752
608.00	0.0050205
609.00	0.0048653
610.00	0.0048554
611.00	0.0047532
612.00	0.0044824
613.00	0.0045964
614.00	0.0045224
615.00	0.0042662
616.00	0.0042060
617.00	0.0042515
618.00	0.0041430
619.00	0.0041002
620.00	0.0039204
621.00	0.0039068
622.00	0.0039395
623.00	0.0038538
624.00	0.0036166
625.00	0.0036048
626.00	0.0036011
627.00	0.0036030
628.00	0.0034307
629.00	0.0034607
630.00	0.0033039
631.00	0.0033056
632.00	0.0031543
633.00	0.0030759
634.00	0.0030393
635.00	0.0030877
636.00	0.0029902
637.00	0.0030064
638.00	0.0029481
639.00	0.0027493
640.00	0.0026891
641.00	0.0027092
642.00	0.0026416
643.00	0.0026983
644.00	0.0023059
645.00	0.0023672
646.00	0.0023909
647.00	0.0026334
648.00	0.0024821
649.00	0.0023909
650.00	0.0022604
651.00	0.0020014
652.00	0.0020770
653.00	0.0020697
654.00	0.0019438
654.00	0.0019511
655.00	0.0019511
657.00	0.0019511
658.00	0.0019593
659.00	0.0017660
660.00	0.0017523
661.00	0.0018627
662.00	0.0016794
663.00	0.0015362
664.00	0.0015170
665.00	0.0012799
666.00	0.0012917
667.00	0.0012771
668.00	0.0012616
669.00	0.0012425
670.00	0.0011832
671.00	0.0012224
672.00	0.0010090
673.00	0.00098707
674.00	0.00089221
675.00	0.00090772
676.00	0.00084661
677.00	0.00084661
678.00	0.00081287
679.00	0.00075083
680.00	0.00071252
681.00	0.00074081
682.00	0.00065963
683.00	0.00064503
684.00	0.00045805
685.00	0.00047902
686.00	0.00039328
687.00	0.00036409
688.00	0.00047173
689.00	0.00032031
690.00	0.00027381
691.00	0.00026923
692.00	0.00017985
693.00	0.00014154
694.00	0.00020904
695.00	0.00014063
696.00	9.1373e-05
697.00	0.00018806
698.00	4.7221e-05
699.00	3.6323e-05
700.00	3.4584e-05
