Wavelength (nm)	FL112 [12] 492-00-2, 3,7-Dihydroxyflavone [D]
220.00	21243
221.00	21511
222.00	21772
223.00	22027
224.00	22243
225.00	22404
226.00	22499
227.00	22516
228.00	22492
229.00	22425
230.00	22211
231.00	21745
232.00	21269
233.00	20594
234.00	19742
235.00	18865
236.00	17987
237.00	17304
238.00	16659
239.00	16220
240.00	15916
241.00	15713
242.00	15526
243.00	15419
244.00	15345
245.00	15381
246.00	15458
247.00	15610
248.00	15879
249.00	16268
250.00	16717
251.00	17583
252.00	18313
253.00	18726
254.00	19101
255.00	19170
256.00	19238
257.00	19124
258.00	18882
259.00	18291
260.00	17479
261.00	16440
262.00	15303
263.00	14362
264.00	13422
265.00	12485
266.00	11691
267.00	10974
268.00	10221
269.00	9635.7
270.00	9246.1
271.00	8856.5
272.00	8488.0
273.00	8138.3
274.00	7930.6
275.00	7775.4
276.00	7702.0
277.00	7635.7
278.00	7570.9
279.00	7543.2
280.00	7515.5
281.00	7514.5
282.00	7530.7
283.00	7546.8
284.00	7588.3
285.00	7635.4
286.00	7682.5
287.00	7754.7
288.00	7853.9
289.00	7953.2
290.00	8052.5
291.00	8183.4
292.00	8343.5
293.00	8503.6
294.00	8665.3
295.00	8984.3
296.00	9303.4
297.00	9744.0
298.00	10273
299.00	10802
300.00	11473
301.00	12209
302.00	12920
303.00	13509
304.00	14099
305.00	14688
306.00	15251
307.00	15752
308.00	16254
309.00	16755
310.00	17256
311.00	17758
312.00	18212
313.00	18627
314.00	19041
315.00	19455
316.00	19856
317.00	20154
318.00	20452
319.00	20751
320.00	21001
321.00	21245
322.00	21347
323.00	21447
324.00	21548
325.00	21619
326.00	21679
327.00	21740
328.00	21799
329.00	21836
330.00	21872
331.00	21908
332.00	21989
333.00	22097
334.00	22204
335.00	22308
336.00	22411
337.00	22515
338.00	22656
339.00	22788
340.00	22899
341.00	22949
342.00	23000
343.00	22977
344.00	22955
345.00	22894
346.00	22834
347.00	22751
348.00	22636
349.00	22477
350.00	22182
351.00	21559
352.00	20854
353.00	20082
354.00	19331
355.00	18694
356.00	18056
357.00	17359
358.00	16637
359.00	15916
360.00	15200
361.00	14485
362.00	13751
363.00	13010
364.00	12266
365.00	11519
366.00	10739
367.00	9833.5
368.00	8936.4
369.00	8038.0
370.00	7098.1
371.00	6191.6
372.00	5345.6
373.00	4607.3
374.00	4020.4
375.00	3585.4
376.00	3269.2
377.00	2964.7
378.00	2672.0
379.00	2379.2
380.00	2169.3
381.00	1969.5
382.00	1769.7
383.00	1627.2
384.00	1504.9
385.00	1382.5
386.00	1260.2
387.00	1143.9
388.00	1047.1
389.00	950.21
390.00	853.34
391.00	759.71
392.00	680.86
393.00	602.01
394.00	523.15
395.00	462.57
396.00	407.75
397.00	352.94
398.00	299.87
399.00	270.09
400.00	240.31
401.00	210.53
402.00	180.75
403.00	163.48
404.00	147.29
405.00	131.11
406.00	114.92
407.00	99.200
408.00	90.736
409.00	82.272
410.00	73.807
411.00	65.343
412.00	56.878
413.00	54.762
414.00	54.762
415.00	54.762
416.00	54.762
417.00	54.762
418.00	54.762
419.00	54.762
420.00	54.762
