Wavelength (nm)	FL132 [12] 1486-70-0, Quercetin 3-methyl ether [D]
243.00	12121
244.00	12619
245.00	13118
246.00	13616
247.00	14136
248.00	14678
249.00	15220
250.00	15761
251.00	16290
252.00	16803
253.00	17316
254.00	17827
255.00	18263
256.00	18682
257.00	18900
258.00	19117
259.00	18963
260.00	18644
261.00	18179
262.00	17695
263.00	17194
264.00	16827
265.00	16583
266.00	16339
267.00	16016
268.00	15624
269.00	15231
270.00	14745
271.00	13886
272.00	13028
273.00	12082
274.00	10899
275.00	9732.4
276.00	8704.2
277.00	7809.2
278.00	7200.4
279.00	6770.3
280.00	6541.0
281.00	6424.6
282.00	6308.2
283.00	6280.9
284.00	6387.5
285.00	6494.0
286.00	6600.6
287.00	6741.3
288.00	6887.7
289.00	7034.0
290.00	7180.3
291.00	7320.4
292.00	7450.8
293.00	7581.2
294.00	7711.7
295.00	7842.1
296.00	7944.6
297.00	8038.4
298.00	8132.2
299.00	8225.9
300.00	8319.7
301.00	8413.5
302.00	8501.1
303.00	8584.5
304.00	8667.8
305.00	8751.2
306.00	8834.6
307.00	8917.9
308.00	9001.3
309.00	9071.7
310.00	9135.1
311.00	9198.6
312.00	9262.0
313.00	9325.5
314.00	9391.7
315.00	9483.2
316.00	9574.6
317.00	9666.1
318.00	9777.6
319.00	9949.2
320.00	10121
321.00	10292
322.00	10464
323.00	10636
324.00	10828
325.00	11086
326.00	11344
327.00	11602
328.00	11859
329.00	12140
330.00	12448
331.00	12755
332.00	13062
333.00	13370
334.00	13677
335.00	13987
336.00	14297
337.00	14607
338.00	14917
339.00	15227
340.00	15536
341.00	15878
342.00	16224
343.00	16570
344.00	16916
345.00	17262
346.00	17566
347.00	17860
348.00	18154
349.00	18448
350.00	18742
351.00	19037
352.00	19288
353.00	19516
354.00	19744
355.00	19926
356.00	20070
357.00	20214
358.00	20280
359.00	20340
360.00	20400
361.00	20318
362.00	20237
363.00	20134
364.00	19960
365.00	19787
366.00	19463
367.00	19123
368.00	18666
369.00	18172
370.00	17678
371.00	17184
372.00	16694
373.00	16213
374.00	15733
375.00	15252
376.00	14772
377.00	14292
378.00	13729
379.00	13137
380.00	12544
381.00	11952
382.00	11375
383.00	10810
384.00	10245
385.00	9680.3
386.00	9122.2
387.00	8584.0
388.00	8045.9
389.00	7507.7
390.00	6965.1
391.00	6377.1
