Wavelength (nm)	Angew 2011_10724, DNCC 1 [Z]
200.00	0.78982
201.00	0.81665
202.00	0.84477
203.00	0.87678
204.00	0.90501
205.00	0.93016
206.00	0.96277
207.00	0.97811
208.00	0.98867
209.00	0.99721
210.00	1.0000
211.00	0.99685
212.00	0.99216
213.00	0.98663
214.00	0.97861
215.00	0.96962
216.00	0.95418
217.00	0.93832
218.00	0.91903
219.00	0.89553
220.00	0.87203
221.00	0.84496
222.00	0.81621
223.00	0.78766
224.00	0.75917
225.00	0.72962
226.00	0.69959
227.00	0.67503
228.00	0.65283
229.00	0.63379
230.00	0.61805
231.00	0.60231
232.00	0.58858
233.00	0.57565
234.00	0.56366
235.00	0.55692
236.00	0.55019
237.00	0.54362
238.00	0.53745
239.00	0.53129
240.00	0.52474
241.00	0.51784
242.00	0.51095
243.00	0.50080
244.00	0.49029
245.00	0.47871
246.00	0.46411
247.00	0.44951
248.00	0.43331
249.00	0.41479
250.00	0.39627
251.00	0.37775
252.00	0.35694
253.00	0.33547
254.00	0.31401
255.00	0.29374
256.00	0.27627
257.00	0.25880
258.00	0.24133
259.00	0.23060
260.00	0.22080
261.00	0.21099
262.00	0.20198
263.00	0.19656
264.00	0.19115
265.00	0.18573
266.00	0.18294
267.00	0.18070
268.00	0.17845
269.00	0.17620
270.00	0.17451
271.00	0.17326
272.00	0.17201
273.00	0.17076
274.00	0.16974
275.00	0.16928
276.00	0.16882
277.00	0.16836
278.00	0.16790
279.00	0.16697
280.00	0.16580
281.00	0.16463
282.00	0.16347
283.00	0.16230
284.00	0.16079
285.00	0.15774
286.00	0.15469
287.00	0.15165
288.00	0.14860
289.00	0.14535
290.00	0.14199
291.00	0.13862
292.00	0.13522
293.00	0.13155
294.00	0.12788
295.00	0.12420
296.00	0.12016
297.00	0.11592
298.00	0.11167
299.00	0.10743
300.00	0.10356
301.00	0.099734
302.00	0.095912
303.00	0.092053
304.00	0.088163
305.00	0.084273
306.00	0.080383
307.00	0.076493
308.00	0.072603
309.00	0.069190
310.00	0.065920
311.00	0.062650
312.00	0.059380
313.00	0.056110
314.00	0.052840
315.00	0.049831
316.00	0.047018
317.00	0.044205
318.00	0.041392
319.00	0.038579
320.00	0.035767
321.00	0.033722
322.00	0.031781
323.00	0.029841
324.00	0.027901
325.00	0.025961
326.00	0.024021
327.00	0.022430
328.00	0.020911
329.00	0.019393
330.00	0.017874
331.00	0.016355
332.00	0.014970
333.00	0.014088
334.00	0.013206
335.00	0.012324
336.00	0.011443
337.00	0.010561
338.00	0.0096381
339.00	0.0085009
340.00	0.0073637
341.00	0.0062266
342.00	0.0050894
343.00	0.0039523
344.00	0.0033289
345.00	0.0031611
346.00	0.0029933
347.00	0.0028255
348.00	0.0026577
349.00	0.0024921
350.00	0.0023308
351.00	0.0021695
352.00	0.0020082
353.00	0.0018468
354.00	0.0016855
355.00	0.0015242
356.00	0.0013628
357.00	0.0012838
358.00	0.0012838
359.00	0.0012838
360.00	0.0012838
361.00	0.0012838
362.00	0.0012838
363.00	0.0012838
364.00	0.0012838
365.00	0.0012838
366.00	0.0012838
367.00	0.0012838
368.00	0.0012838
369.00	0.0012838
370.00	0.0012838
371.00	0.0012838
372.00	0.0012838
373.00	0.0012838
374.00	0.0012838
375.00	0.0012838
376.00	0.0012838
377.00	0.0012838
378.00	0.0012838
379.00	0.0012838
380.00	0.0012838
381.00	0.0012838
382.00	0.0012838
383.00	0.0012838
384.00	0.0012838
385.00	0.0012838
386.00	0.0012838
387.00	0.0012838
388.00	0.0012838
389.00	0.0012838
390.00	0.0012838
391.00	0.0012838
392.00	0.0012838
393.00	0.0012838
394.00	0.0012838
395.00	0.0012838
396.00	0.0012838
397.00	0.0012838
398.00	0.0012838
399.00	0.0012838
400.00	0.0012838
