Wavelength (nm)	D07 abs e
386.25	13645
386.50	13636
386.75	13948
387.00	13950
387.25	14114
387.50	14167
387.75	14250
388.00	14383
388.25	14418
388.50	14629
388.75	14710
389.00	14777
389.25	14979
389.50	15076
389.75	15123
390.00	15260
390.25	15373
390.50	15506
390.75	15533
391.00	15582
391.25	15810
391.50	15961
391.75	16015
392.00	16043
392.25	16249
392.50	16357
392.75	16382
393.00	16516
393.25	16497
393.50	16617
393.75	16838
394.00	16938
394.25	17039
394.50	17074
394.75	17223
395.00	17460
395.25	17485
395.50	17615
395.75	17727
396.00	17910
396.25	17973
396.50	18093
396.75	18084
397.00	18294
397.25	18457
397.50	18458
397.75	18581
398.00	18759
398.25	18738
398.50	18835
398.75	19023
399.00	18989
399.25	19146
399.50	19227
399.75	19361
400.00	19499
400.25	19600
400.50	19661
400.75	19777
401.00	19878
401.25	19875
401.50	19993
401.75	20194
402.00	20177
402.25	20275
402.50	20399
402.75	20500
403.00	20605
403.25	20740
403.50	20868
403.75	20880
404.00	20972
404.25	21073
404.50	21168
404.75	21269
405.00	21344
405.25	21477
405.50	21514
405.75	21573
406.00	21712
406.25	21837
406.50	21934
406.75	22021
407.00	21994
407.25	22238
407.50	22256
407.75	22293
408.00	22363
408.25	22470
408.50	22555
408.75	22690
409.00	22669
409.25	22808
409.50	22898
409.75	22929
410.00	22969
410.25	23186
410.50	23462
410.75	23262
411.00	23352
411.25	23494
411.50	23532
411.75	23725
412.00	23650
412.25	23839
412.50	23866
412.75	23993
413.00	23994
413.25	24219
413.50	24232
413.75	24202
414.00	24349
414.25	24464
414.50	24390
414.75	24398
415.00	24532
415.25	24580
415.50	24690
415.75	24779
416.00	24801
416.25	24876
416.50	24854
416.75	24994
417.00	24985
417.25	25018
417.50	25166
417.75	25248
418.00	25310
418.25	25324
418.50	25425
418.75	25423
419.00	25493
419.25	25512
419.50	25619
419.75	25652
420.00	25654
420.25	25902
420.50	25881
420.75	25840
421.00	25881
421.25	26005
421.50	26128
421.75	26101
422.00	26089
422.25	26117
422.50	26209
422.75	26279
423.00	26189
423.25	26314
423.50	26319
423.75	26410
424.00	26383
424.25	26470
424.50	26569
424.75	26472
425.00	26481
425.25	26494
425.50	26468
425.75	26525
426.00	26594
426.25	26733
426.50	26727
426.75	26729
427.00	26731
427.25	26707
427.50	26667
427.75	26783
428.00	26792
428.25	26850
428.50	26834
428.75	26865
429.00	26842
429.25	26797
429.50	26871
429.75	26924
430.00	26844
430.25	26846
430.50	26840
430.75	26847
431.00	26833
431.25	26900
431.50	26867
431.75	26913
432.00	26913
432.25	27000
432.50	26873
432.75	26717
433.00	26905
433.25	26783
433.50	26896
433.75	26837
434.00	26882
434.25	26770
434.50	26808
434.75	26835
435.00	26800
435.25	26722
435.50	26688
435.75	26708
436.00	26605
436.25	26649
436.50	26558
436.75	26657
437.00	26528
437.25	26553
437.50	26633
437.75	26357
438.00	26427
438.25	26433
438.50	26379
438.75	26425
439.00	26333
439.25	26405
439.50	26195
439.75	26150
440.00	26133
440.25	26173
440.50	26164
440.75	26037
441.00	25890
441.25	26007
441.50	25904
441.75	25842
442.00	25883
442.25	25823
442.50	25743
442.75	25743
443.00	25650
443.25	25652
443.50	25502
443.75	25424
444.00	25403
444.25	25348
444.50	25218
444.75	25231
445.00	25140
445.25	25132
445.50	25053
445.75	24886
446.00	24941
446.25	24838
446.50	24786
446.75	24734
447.00	24579
447.25	24603
447.50	24473
447.75	24381
448.00	24324
448.25	24217
448.50	24153
448.75	24254
449.00	24096
449.25	23890
449.50	23853
449.75	23801
450.00	23741
450.25	23668
450.50	23534
450.75	23414
451.00	23454
451.25	23463
451.50	23195
451.75	23139
452.00	23066
452.25	22991
452.50	22843
452.75	22830
453.00	22667
453.25	22711
453.50	22515
453.75	22404
454.00	22310
454.25	22260
454.50	22295
454.75	22183
455.00	22068
455.25	21912
455.50	21892
455.75	21711
456.00	21591
456.25	21507
456.50	21444
456.75	21310
457.00	21188
457.25	21083
457.50	21031
457.75	20902
458.00	20775
458.25	20664
458.50	20671
458.75	20488
459.00	20328
459.25	20249
459.50	20140
459.75	20049
460.00	19922
460.25	19828
460.50	19736
460.75	19599
461.00	19480
461.25	19299
461.50	19234
461.75	19163
462.00	19015
462.25	18893
462.50	18850
462.75	18757
463.00	18559
463.25	18419
463.50	18297
463.75	18213
464.00	18184
464.25	17977
464.50	17884
464.75	17766
465.00	17678
465.25	17512
465.50	17396
465.75	17302
466.00	17190
466.25	17077
466.50	16932
466.75	16826
467.00	16770
467.25	16606
