Wavelength (nm)	FL168 [14] 478-79-5, Khellol [D]
262.00	19542
263.00	18437
264.00	17641
265.00	16929
266.00	16253
267.00	15692
268.00	15166
269.00	14747
270.00	14342
271.00	14018
272.00	13705
273.00	13496
274.00	13363
275.00	13376
276.00	13512
277.00	13831
278.00	14298
279.00	14848
280.00	15586
281.00	16416
282.00	17478
283.00	18659
284.00	20005
285.00	21434
286.00	22846
287.00	24200
288.00	25554
289.00	26832
290.00	28059
291.00	29214
292.00	30140
293.00	30906
294.00	31565
295.00	31955
296.00	32108
297.00	31765
298.00	31140
299.00	30256
300.00	29053
301.00	27672
302.00	26006
303.00	24327
304.00	22545
305.00	20763
306.00	18984
307.00	17208
308.00	15432
309.00	13957
310.00	12512
311.00	11166
312.00	10197
313.00	9227.1
314.00	8270.5
315.00	7446.4
316.00	6805.8
317.00	6303.7
318.00	5868.4
319.00	5642.9
320.00	5514.4
321.00	5433.7
322.00	5366.5
323.00	5302.5
324.00	5250.2
325.00	5197.9
326.00	5096.5
327.00	4969.8
328.00	4834.3
329.00	4687.3
330.00	4522.3
331.00	4333.1
332.00	4134.2
333.00	3910.5
334.00	3688.3
335.00	3491.0
336.00	3293.8
337.00	3107.1
338.00	2930.8
339.00	2775.2
340.00	2635.9
341.00	2529.0
342.00	2436.2
343.00	2360.9
344.00	2300.3
345.00	2247.8
346.00	2217.2
347.00	2197.1
348.00	2188.6
349.00	2207.6
350.00	2233.3
351.00	2266.4
352.00	2320.0
353.00	2393.0
354.00	2497.5
355.00	2605.6
356.00	2717.5
357.00	2829.5
358.00	2947.4
359.00	3066.0
360.00	3188.3
361.00	3315.9
362.00	3443.6
363.00	3579.6
364.00	3735.5
365.00	3891.3
366.00	4039.7
367.00	4179.5
368.00	4318.7
369.00	4449.5
370.00	4526.8
371.00	4557.6
372.00	4574.4
373.00	4526.4
374.00	4466.2
375.00	4393.4
376.00	4307.0
377.00	4209.5
378.00	4110.0
379.00	4002.2
380.00	3894.5
381.00	3786.7
382.00	3670.4
383.00	3552.8
384.00	3435.1
385.00	3317.6
386.00	3200.2
387.00	3082.7
388.00	2957.8
389.00	2830.8
390.00	2703.6
391.00	2575.2
392.00	2446.9
393.00	2319.2
394.00	2192.1
395.00	2065.0
396.00	1939.4
397.00	1814.4
398.00	1690.0
399.00	1578.2
400.00	1477.2
401.00	1374.5
