Wavelength (nm)	G16 abs e
240.00	10791
241.00	9923.6
242.00	9558.7
243.00	9910.0
244.00	10385
245.00	11036
246.00	11833
247.00	12661
248.00	13563
249.00	14504
250.00	15528
251.00	16592
252.00	17649
253.00	18779
254.00	20043
255.00	21488
256.00	23059
257.00	24545
258.00	25664
259.00	26214
260.00	26192
261.00	25886
262.00	25624
263.00	25713
264.00	26267
265.00	27141
266.00	28147
267.00	28986
268.00	29000
269.00	28005
270.00	25829
271.00	22831
272.00	19797
273.00	17234
274.00	15289
275.00	13818
276.00	12590
277.00	11400
278.00	10151
279.00	8844.6
280.00	7542.2
281.00	6303.7
282.00	5180.8
283.00	4203.8
284.00	3398.5
285.00	2760.1
286.00	2272.0
287.00	1910.9
288.00	1658.0
289.00	1491.4
290.00	1387.2
291.00	1335.1
292.00	1319.9
293.00	1329.5
294.00	1366.0
295.00	1414.8
296.00	1491.1
297.00	1565.2
298.00	1656.3
299.00	1741.8
300.00	1850.0
301.00	1959.4
302.00	2075.3
303.00	2196.6
304.00	2318.8
305.00	2441.3
306.00	2567.9
307.00	2697.9
308.00	2830.1
309.00	2963.7
310.00	3088.7
311.00	3214.1
312.00	3334.3
313.00	3451.8
314.00	3562.3
315.00	3664.9
316.00	3758.4
317.00	3838.1
318.00	3911.8
319.00	3969.9
320.00	4026.6
321.00	4076.3
322.00	4105.8
323.00	4123.5
324.00	4129.0
325.00	4126.6
326.00	4100.1
327.00	4071.7
328.00	4024.7
329.00	3956.2
330.00	3870.5
331.00	3792.6
332.00	3686.2
333.00	3573.5
334.00	3455.4
335.00	3337.1
336.00	3221.7
337.00	3092.9
338.00	2981.8
339.00	2866.6
340.00	2751.7
341.00	2650.7
342.00	2544.6
343.00	2446.3
344.00	2348.7
345.00	2253.0
346.00	2160.9
347.00	2075.2
348.00	1987.0
349.00	1891.8
350.00	1806.9
351.00	1711.6
352.00	1627.3
353.00	1540.2
354.00	1452.8
355.00	1364.1
356.00	1290.1
357.00	1219.9
358.00	1146.9
359.00	1083.2
360.00	1025.1
361.00	981.23
362.00	921.42
363.00	881.31
364.00	845.23
365.00	813.67
366.00	794.44
367.00	779.68
368.00	766.02
369.00	751.79
370.00	741.65
371.00	733.74
372.00	742.08
373.00	736.61
374.00	740.48
375.00	753.79
376.00	754.37
377.00	766.46
378.00	778.28
379.00	798.51
380.00	801.34
381.00	830.69
382.00	858.38
383.00	872.87
384.00	900.05
385.00	896.04
386.00	934.27
387.00	951.31
388.00	974.40
389.00	998.76
390.00	1036.4
391.00	1034.1
392.00	1062.5
393.00	1078.4
394.00	1106.7
395.00	1119.0
396.00	1146.2
397.00	1165.9
398.00	1180.6
399.00	1201.6
400.00	1229.4
401.00	1245.3
402.00	1264.2
403.00	1296.6
404.00	1300.9
405.00	1318.3
406.00	1337.4
407.00	1343.2
408.00	1367.3
409.00	1380.3
410.00	1393.6
411.00	1397.5
412.00	1412.3
413.00	1425.0
414.00	1433.5
415.00	1434.2
416.00	1435.5
417.00	1446.7
418.00	1442.6
419.00	1444.2
420.00	1442.3
421.00	1437.0
422.00	1432.9
423.00	1424.6
424.00	1429.4
425.00	1427.9
426.00	1406.9
427.00	1388.1
428.00	1385.9
429.00	1371.5
430.00	1352.6
431.00	1351.2
432.00	1337.9
433.00	1312.8
434.00	1288.5
435.00	1277.1
436.00	1257.2
437.00	1225.4
438.00	1211.0
439.00	1192.9
440.00	1173.0
441.00	1146.4
442.00	1123.4
443.00	1097.3
444.00	1058.6
445.00	1034.0
446.00	1010.0
447.00	976.66
448.00	945.97
449.00	923.48
450.00	893.55
451.00	865.98
452.00	840.68
453.00	798.67
454.00	760.12
455.00	745.43
456.00	717.20
457.00	684.12
458.00	661.05
459.00	630.43
460.00	600.11
461.00	582.42
462.00	548.68
463.00	525.40
464.00	498.95
465.00	484.64
466.00	461.75
467.00	429.65
468.00	415.36
469.00	397.20
470.00	377.90
471.00	368.36
472.00	351.81
473.00	319.71
474.00	300.11
475.00	295.42
476.00	286.88
477.00	282.41
478.00	255.34
479.00	248.51
480.00	217.78
481.00	209.37
482.00	201.29
483.00	195.84
484.00	197.89
485.00	168.08
486.00	164.79
487.00	174.15
488.00	171.52
489.00	164.25
490.00	156.82
491.00	145.64
492.00	142.09
493.00	140.34
494.00	122.25
495.00	135.99
496.00	132.79
497.00	125.74
498.00	114.80
499.00	105.89
500.00	117.01
501.00	109.49
502.00	108.87
503.00	100.47
504.00	93.157
505.00	97.124
506.00	83.041
507.00	79.484
508.00	80.092
509.00	82.049
510.00	63.496
511.00	56.818
512.00	41.372
513.00	43.951
514.00	56.619
515.00	41.372
516.00	51.197
517.00	25.979
518.00	37.973
519.00	34.681
520.00	22.078
521.00	20.941
522.00	31.943
523.00	25.913
524.00	26.746
525.00	26.045
526.00	6.2400
527.00	14.652
528.00	21.655
529.00	11.894
530.00	6.8706
531.00	7.2144
532.00	9.3170
533.00	8.5236
534.00	20.280
535.00	12.544
536.00	14.673
537.00	10.706
538.00	21.655
539.00	8.2326
540.00	8.8771
541.00	7.6772
542.00	20.081
543.00	8.0211
544.00	4.8076
545.00	2.4141
546.00	13.086
547.00	11.115
548.00	3.2208
549.00	5.2705
550.00	7.5273
