Wavelength (nm)	S05 abs e
705.00	36303
706.00	36441
707.00	36776
708.00	37260
709.00	37959
710.00	38798
711.00	39998
712.00	41309
713.00	42856
714.00	44790
715.00	46957
716.00	49119
717.00	52069
718.00	55007
719.00	58181
720.00	61718
721.00	65425
722.00	69193
723.00	73120
724.00	77044
725.00	81392
726.00	85275
727.00	89022
728.00	92668
729.00	96220
730.00	99443
731.00	1.0242e+05
732.00	1.0505e+05
733.00	1.0702e+05
734.00	1.0931e+05
735.00	1.1069e+05
736.00	1.1155e+05
737.00	1.1244e+05
738.00	1.1268e+05
739.00	1.1283e+05
740.00	1.1310e+05
741.00	1.1295e+05
742.00	1.1257e+05
743.00	1.1214e+05
744.00	1.1212e+05
745.00	1.1203e+05
746.00	1.1182e+05
747.00	1.1222e+05
748.00	1.1252e+05
749.00	1.1385e+05
750.00	1.1487e+05
751.00	1.1635e+05
752.00	1.1775e+05
753.00	1.1979e+05
754.00	1.2201e+05
755.00	1.2398e+05
756.00	1.2627e+05
757.00	1.2793e+05
758.00	1.2996e+05
759.00	1.3153e+05
760.00	1.3266e+05
761.00	1.3381e+05
762.00	1.3398e+05
763.00	1.3400e+05
764.00	1.3269e+05
765.00	1.3177e+05
766.00	1.2973e+05
767.00	1.2688e+05
768.00	1.2353e+05
769.00	1.1965e+05
770.00	1.1598e+05
771.00	1.1150e+05
772.00	1.0685e+05
773.00	1.0124e+05
774.00	96163
775.00	90860
776.00	85433
777.00	79548
778.00	74435
779.00	68975
780.00	64152
781.00	59159
782.00	54386
783.00	49914
784.00	45808
785.00	41843
786.00	37933
787.00	34481
788.00	31285
789.00	28375
790.00	25604
791.00	23083
792.00	20847
793.00	18749
794.00	16725
795.00	15110
796.00	13755
797.00	12227
798.00	11012
799.00	9835.6
800.00	8896.4
801.00	8030.3
802.00	7276.3
803.00	6458.0
804.00	5799.4
805.00	5371.3
806.00	4748.1
807.00	4318.6
808.00	3847.8
809.00	3492.5
810.00	3249.0
811.00	2925.1
812.00	2653.9
813.00	2393.0
814.00	2152.6
815.00	1959.0
816.00	1858.4
817.00	1630.1
818.00	1544.3
819.00	1424.6
820.00	1333.3
821.00	1143.3
822.00	1071.1
823.00	986.57
824.00	853.34
825.00	870.22
826.00	847.90
827.00	717.80
828.00	596.78
829.00	571.21
830.00	570.82
831.00	562.06
832.00	540.52
833.00	476.08
834.00	421.41
835.00	344.18
836.00	338.88
837.00	327.43
838.00	350.77
839.00	313.24
840.00	322.13
841.00	278.59
842.00	243.56
843.00	222.27
844.00	292.14
845.00	292.59
846.00	235.44
847.00	282.87
848.00	180.77
849.00	223.93
850.00	207.37
851.00	239.34
852.00	157.89
853.00	166.20
854.00	184.42
855.00	169.65
856.00	202.38
857.00	162.11
858.00	193.94
859.00	161.28
860.00	131.87
861.00	184.23
862.00	156.80
863.00	147.21
864.00	66.400
865.00	147.15
866.00	119.34
867.00	87.753
868.00	111.66
869.00	163.64
870.00	149.38
871.00	88.776
872.00	201.62
873.00	66.848
874.00	130.97
875.00	99.325
876.00	120.29
877.00	72.538
878.00	41.275
879.00	140.05
880.00	68.254
881.00	155.90
882.00	73.624
883.00	170.48
884.00	33.539
885.00	86.155
886.00	108.60
887.00	108.47
888.00	119.66
889.00	149.77
890.00	122.40
891.00	172.14
892.00	117.35
893.00	109.30
894.00	68.702
895.00	151.69
896.00	78.036
897.00	211.91
898.00	83.598
899.00	104.18
900.00	156.54
