Wavelength (nm)	E25 abs e
210.00	18955
211.00	16500
212.00	14579
213.00	13074
214.00	11940
215.00	11090
216.00	10457
217.00	10013
218.00	9721.0
219.00	9576.3
220.00	9575.1
221.00	9711.3
222.00	9979.9
223.00	10356
224.00	10849
225.00	11418
226.00	12076
227.00	12787
228.00	13550
229.00	14355
230.00	15209
231.00	16092
232.00	16975
233.00	17878
234.00	18760
235.00	19637
236.00	20486
237.00	21289
238.00	22056
239.00	22759
240.00	23395
241.00	23989
242.00	24497
243.00	24943
244.00	25275
245.00	25486
246.00	25580
247.00	25600
248.00	25555
249.00	25407
250.00	25191
251.00	24928
252.00	24613
253.00	24226
254.00	23733
255.00	23179
256.00	22551
257.00	21886
258.00	21213
259.00	20527
260.00	19821
261.00	19107
262.00	18365
263.00	17641
264.00	16893
265.00	16174
266.00	15435
267.00	14691
268.00	13985
269.00	13299
270.00	12664
271.00	12101
272.00	11565
273.00	11069
274.00	10604
275.00	10178
276.00	9779.4
277.00	9404.2
278.00	9059.5
279.00	8739.1
280.00	8449.7
281.00	8189.1
282.00	7948.1
283.00	7720.9
284.00	7508.5
285.00	7312.2
286.00	7138.7
287.00	6974.8
288.00	6833.5
289.00	6699.0
290.00	6578.3
291.00	6467.4
292.00	6370.2
293.00	6277.4
294.00	6192.3
295.00	6121.4
296.00	6039.9
297.00	5979.2
298.00	5903.0
299.00	5838.5
300.00	5786.0
301.00	5728.9
302.00	5675.9
303.00	5624.5
304.00	5571.1
305.00	5522.5
306.00	5475.3
307.00	5427.4
308.00	5384.5
309.00	5343.1
310.00	5295.7
311.00	5251.8
312.00	5208.3
313.00	5154.8
314.00	5114.8
315.00	5073.1
316.00	5009.4
317.00	4962.3
318.00	4902.5
319.00	4843.0
320.00	4784.0
321.00	4708.8
322.00	4643.5
323.00	4569.1
324.00	4491.0
325.00	4406.4
326.00	4317.1
327.00	4228.4
328.00	4121.8
329.00	4026.6
330.00	3922.0
331.00	3813.2
332.00	3706.3
333.00	3598.3
334.00	3480.9
335.00	3350.6
336.00	3230.6
337.00	3111.9
338.00	2986.5
339.00	2863.4
340.00	2733.2
341.00	2613.1
342.00	2492.2
343.00	2361.7
344.00	2239.3
345.00	2122.3
346.00	1998.0
347.00	1886.2
348.00	1775.7
349.00	1668.4
350.00	1559.9
351.00	1460.3
352.00	1356.0
353.00	1257.0
354.00	1168.2
355.00	1075.7
356.00	997.96
357.00	926.19
358.00	852.59
359.00	784.04
360.00	715.97
361.00	655.30
362.00	588.97
363.00	535.74
364.00	487.17
365.00	438.62
366.00	401.95
367.00	364.42
368.00	326.96
369.00	288.27
370.00	262.62
371.00	239.02
372.00	212.97
373.00	196.74
374.00	182.54
375.00	160.51
376.00	149.29
377.00	130.20
378.00	112.35
379.00	100.20
380.00	95.018
381.00	95.296
382.00	82.146
383.00	72.591
384.00	59.859
385.00	65.715
386.00	58.247
387.00	55.290
388.00	51.556
389.00	51.649
390.00	47.567
391.00	44.877
392.00	39.543
393.00	37.548
394.00	39.322
395.00	33.953
396.00	43.949
397.00	37.212
398.00	30.822
399.00	33.918
400.00	34.916
