Wavelength (nm)	FL170 [14] 479-85-6, Gamatin [D]
220.00	27278
221.00	26397
222.00	25495
223.00	24628
224.00	23848
225.00	23084
226.00	22386
227.00	21688
228.00	21168
229.00	20692
230.00	20237
231.00	19935
232.00	19634
233.00	19422
234.00	19242
235.00	19216
236.00	19321
237.00	19554
238.00	19964
239.00	20622
240.00	21472
241.00	22576
242.00	23695
243.00	24824
244.00	26010
245.00	27206
246.00	28379
247.00	29534
248.00	30544
249.00	31444
250.00	32172
251.00	32750
252.00	33100
253.00	32771
254.00	32213
255.00	31264
256.00	29966
257.00	28676
258.00	27427
259.00	26178
260.00	25012
261.00	23970
262.00	22929
263.00	21924
264.00	21122
265.00	20321
266.00	19519
267.00	18785
268.00	18180
269.00	17574
270.00	16969
271.00	16459
272.00	15994
273.00	15529
274.00	15076
275.00	14759
276.00	14441
277.00	14124
278.00	13806
279.00	13485
280.00	13164
281.00	12844
282.00	12578
283.00	12330
284.00	12081
285.00	11833
286.00	11607
287.00	11384
288.00	11161
289.00	10962
290.00	10785
291.00	10609
292.00	10433
293.00	10274
294.00	10124
295.00	9974.1
296.00	9840.9
297.00	9724.1
298.00	9607.8
299.00	9520.4
300.00	9484.2
301.00	9569.7
302.00	9776.3
303.00	10071
304.00	10501
305.00	10927
306.00	11303
307.00	11678
308.00	12086
309.00	12582
310.00	13079
311.00	13579
312.00	14125
313.00	14671
314.00	15216
315.00	15803
316.00	16414
317.00	17024
318.00	17691
319.00	18410
320.00	19128
321.00	19768
322.00	20399
323.00	20982
324.00	21520
325.00	22059
326.00	22540
327.00	22965
328.00	23391
329.00	23705
330.00	23992
331.00	24199
332.00	24376
333.00	24497
334.00	24604
335.00	24499
336.00	24395
337.00	24185
338.00	23948
339.00	23703
340.00	23392
341.00	23080
342.00	22743
343.00	22368
344.00	21992
345.00	21544
346.00	21073
347.00	20566
348.00	20010
349.00	19440
350.00	18817
351.00	18192
352.00	17535
353.00	16858
354.00	16141
355.00	15420
