Wavelength (nm)	Chem Sci 2014_3388, Cu-1 abs [Z]
366.00	0.71868
367.00	0.71283
368.00	0.70549
369.00	0.69386
370.00	0.68224
371.00	0.67005
372.00	0.65641
373.00	0.64276
374.00	0.62757
375.00	0.61101
376.00	0.59445
377.00	0.57789
378.00	0.55932
379.00	0.54045
380.00	0.52159
381.00	0.50272
382.00	0.48924
383.00	0.47593
384.00	0.46262
385.00	0.44931
386.00	0.43647
387.00	0.42372
388.00	0.41097
389.00	0.39822
390.00	0.38566
391.00	0.37772
392.00	0.36978
393.00	0.36184
394.00	0.35390
395.00	0.34596
396.00	0.33983
397.00	0.33425
398.00	0.32867
399.00	0.32309
400.00	0.31751
401.00	0.31193
402.00	0.30635
403.00	0.30189
404.00	0.29801
405.00	0.29413
406.00	0.29026
407.00	0.28638
408.00	0.28250
409.00	0.27862
410.00	0.27474
411.00	0.27087
412.00	0.26782
413.00	0.26507
414.00	0.26233
415.00	0.25958
416.00	0.25684
417.00	0.25409
418.00	0.25135
419.00	0.24860
420.00	0.24586
421.00	0.24375
422.00	0.24180
423.00	0.23986
424.00	0.23792
425.00	0.23598
426.00	0.23403
427.00	0.23209
428.00	0.23015
429.00	0.22821
430.00	0.22626
431.00	0.22433
432.00	0.22263
433.00	0.22094
434.00	0.21924
435.00	0.21755
436.00	0.21585
437.00	0.21416
438.00	0.21246
439.00	0.21077
440.00	0.20908
441.00	0.20742
442.00	0.20577
443.00	0.20412
444.00	0.20246
445.00	0.20081
446.00	0.19915
447.00	0.19750
448.00	0.19585
449.00	0.19419
450.00	0.19092
451.00	0.18751
452.00	0.18410
453.00	0.18069
454.00	0.17728
455.00	0.17387
456.00	0.17046
457.00	0.16705
458.00	0.16394
459.00	0.16098
460.00	0.15803
461.00	0.15507
462.00	0.15212
463.00	0.14916
464.00	0.14621
465.00	0.14325
466.00	0.14030
467.00	0.13734
468.00	0.13439
469.00	0.13187
470.00	0.12991
471.00	0.12795
472.00	0.12599
473.00	0.12403
474.00	0.12207
475.00	0.12011
476.00	0.11815
477.00	0.11619
478.00	0.11423
