Wavelength (nm)	FL177 [15] 32884-30-3, JCS C 1971_1994, 13 [D]
213.00	23536
214.00	25747
215.00	27461
216.00	28707
217.00	29414
218.00	29740
219.00	29516
220.00	28806
221.00	27522
222.00	25896
223.00	24270
224.00	22126
225.00	19927
226.00	17668
227.00	15861
228.00	14402
229.00	13167
230.00	12389
231.00	11711
232.00	11207
233.00	10898
234.00	10682
235.00	10605
236.00	10528
237.00	10451
238.00	10486
239.00	10557
240.00	10627
241.00	10788
242.00	10968
243.00	11152
244.00	11410
245.00	11668
246.00	11925
247.00	12194
248.00	12505
249.00	12816
250.00	13132
251.00	13511
252.00	13891
253.00	14280
254.00	14673
255.00	14958
256.00	15198
257.00	15355
258.00	15420
259.00	15326
260.00	14976
261.00	14472
262.00	13938
263.00	13726
264.00	13613
265.00	13709
266.00	13908
267.00	14268
268.00	14739
269.00	15237
270.00	15783
271.00	16329
272.00	16992
273.00	17708
274.00	18643
275.00	19606
276.00	20629
277.00	21639
278.00	22642
279.00	23643
280.00	24641
281.00	25578
282.00	26457
283.00	27411
284.00	28478
285.00	29570
286.00	30672
287.00	30900
288.00	30636
289.00	29643
290.00	28494
291.00	27204
292.00	26020
293.00	25084
294.00	24242
295.00	23451
296.00	22643
297.00	21730
298.00	20810
299.00	19844
300.00	18880
301.00	17921
302.00	17052
303.00	16218
304.00	15408
305.00	14613
306.00	14108
307.00	13604
308.00	13228
309.00	12894
310.00	12567
311.00	12322
312.00	12077
313.00	11834
314.00	11649
315.00	11465
316.00	11280
317.00	11119
318.00	10986
319.00	10854
320.00	10734
321.00	10641
322.00	10547
323.00	10454
324.00	10390
325.00	10351
326.00	10311
327.00	10272
328.00	10255
329.00	10241
330.00	10228
331.00	10233
332.00	10241
333.00	10227
334.00	10184
335.00	10140
336.00	10077
337.00	10015
338.00	9939.5
339.00	9840.8
340.00	9742.1
341.00	9647.2
342.00	9557.1
343.00	9467.0
344.00	9376.9
345.00	9238.7
346.00	9085.2
347.00	8931.8
348.00	8778.4
349.00	8604.1
350.00	8421.4
351.00	8238.6
352.00	8053.7
353.00	7864.1
354.00	7674.5
355.00	7466.7
356.00	7226.4
357.00	6986.2
358.00	6696.9
359.00	6374.9
360.00	6074.0
361.00	5783.5
362.00	5557.4
